# 	H(r.l.u.)	K(r.l.u.)	L(r.l.u.)	Temperature(K)	e_fraction	e_fraction_err	e_sigma	e_sigma_err	e_amplitude	e_amplitude_err	e_height	e_height_err	e_FWHM	e_FWHM_err	PH_fraction	PH_fraction_err	PH_sigma	PH_sigma_err	PH_center	PH_center_err	PH_amplitude	PH_amplitude_err	PH_FWHM	PH_FWHM_err	TM_skew	TM_skew_err	TM_FWHM	TM_FWHM_err	TM_center	TM_center_err	TM_area	TM_area_err	CO_skew	CO_skew_err	CO_FWHM	CO_FWHM_err	CO_center	CO_center_err	CO_area	CO_area_err	LM_FWHM	LM_FWHM_err	LM_center	LM_center_err	LM_area	LM_area_err
    -0.750000     -1.000000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000      6.778113      6.576630      0.188189      0.182595     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     19.575680      0.000000     14.581033      6.552639     28.097159      0.000000      1.227696      0.538686     41.990000           nan    121.020000           nan    370.099333           nan      0.297814      0.124502    130.470000           nan    222.780000           nan     64.184729           nan           nan           nan           nan           nan           nan           nan
    -0.625000     -1.000000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000      9.680287      4.856711      0.268766      0.134843     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     18.242950      0.000000      6.436414      4.844251     28.097159      0.000000      0.818447      0.193443     52.880000           nan    141.660000           nan    438.772484           nan      0.107901      0.071395     77.260000           nan    243.630000           nan     43.982677           nan           nan           nan           nan           nan           nan           nan
    -0.562500     -0.937500     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     21.679407      4.114595      0.601913      0.114239     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.369607      0.119020     49.520000           nan    144.550000           nan    444.012408           nan      0.187413      0.083655     62.670000           nan    231.060000           nan     60.163858           nan           nan           nan           nan           nan           nan           nan
    -0.625000     -0.875000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     13.484079      4.120582      0.374376      0.114405     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      1.003645      0.300013     50.200000           nan    123.930000           nan    385.420504           nan      9.999998      3.618534     69.530000           nan    210.640000           nan     61.042642           nan           nan           nan           nan           nan           nan           nan
    -0.687500     -0.812500     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     10.185347      3.951266      0.282789      0.109704     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.918328      0.187686     35.140000           nan    105.530000           nan    302.474812           nan      0.587725      0.213435    147.980000           nan    187.100000           nan     88.105877           nan           nan           nan           nan           nan           nan           nan
    -0.500000      0.000000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     91.151302      9.528534      2.530750      0.264553     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     16.910221      0.000000      3.736553      9.749348     28.097159      0.000000      0.374381      0.111010     49.560000           nan    150.360000           nan    280.340429           nan      2.696340      5.218726     64.740000           nan    242.650000           nan    101.037650           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.125000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     81.688696      5.775329      2.268027      0.160348     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.698336      0.181619     45.860000           nan    132.040000           nan    238.840190           nan      0.296306      0.106047    114.960000           nan    227.720000           nan    134.096303           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.250000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000     72.896739      5.292149      2.023925      0.146933     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.379664      0.079209     36.930000           nan    107.040000           nan    335.005756           nan      0.315503      0.148801     98.540000           nan    225.880000           nan     46.574807           nan     62.440000           nan    169.090000           nan     74.645167           nan
    -0.500000     -0.375000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000    100.557499      6.558570      2.791906      0.182094     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.117164      0.053005     28.030800           nan     75.634500           nan    473.808753           nan      0.335835      0.076771     98.429900           nan    166.573600           nan     94.373006           nan     28.097159      0.000000     94.937774      2.738519    132.005508     28.675410
    -0.500000     -0.500000     28.250000     20.000000      0.526192      0.000000     14.048579      0.000000    138.286605     10.254308      3.839427      0.284703     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.795274      0.000000     41.282439     11.526639     28.097159      0.000000      0.063331      0.051040     28.077800           nan     77.899300           nan    777.186834           nan      0.379187      0.093187     98.576600           nan    165.677600           nan    144.637544           nan     28.097159      0.000000    102.866922      3.128929     86.589152     16.931072
