# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -196.5114477906         0.0008258094         0.0025605360         0.0000000000        -0.0196717297
     -196.4114477906         0.0008266122         0.0025647055         0.0000000000        -0.0197398361
     -196.3114477906         0.0008274161         0.0025688820         0.0000000000        -0.0198081567
     -196.2114477906         0.0008282213         0.0025730653         0.0000000000        -0.0198766917
     -196.1114477906         0.0008290276         0.0025772556         0.0000000000        -0.0199454416
     -196.0114477906         0.0008298351         0.0025814528         0.0000000000        -0.0200144067
     -195.9114477906         0.0008306438         0.0025856570         0.0000000000        -0.0200835873
     -195.8114477906         0.0008314537         0.0025898682         0.0000000000        -0.0201529837
     -195.7114477906         0.0008322648         0.0025940864         0.0000000000        -0.0202225964
     -195.6114477906         0.0008330771         0.0025983116         0.0000000000        -0.0202924256
     -195.5114477906         0.0008338905         0.0026025438         0.0000000000        -0.0203624716
     -195.4114477906         0.0008347052         0.0026067830         0.0000000000        -0.0204327349
     -195.3114477906         0.0008355210         0.0026110293         0.0000000000        -0.0205032157
     -195.2114477906         0.0008363381         0.0026152826         0.0000000000        -0.0205739143
     -195.1114477906         0.0008371563         0.0026195430         0.0000000000        -0.0206448310
     -195.0114477906         0.0008379758         0.0026238105         0.0000000000        -0.0207159662
     -194.9114477906         0.0008387964         0.0026280851         0.0000000000        -0.0207873202
     -194.8114477906         0.0008396183         0.0026323667         0.0000000000        -0.0208588933
     -194.7114477906         0.0008404414         0.0026366555         0.0000000000        -0.0209306857
     -194.6114477906         0.0008412657         0.0026409514         0.0000000000        -0.0210026978
     -194.5114477906         0.0008420912         0.0026452545         0.0000000000        -0.0210749299
     -194.4114477906         0.0008429179         0.0026495647         0.0000000000        -0.0211473822
     -194.3114477906         0.0008437459         0.0026538820         0.0000000000        -0.0212200550
     -194.2114477906         0.0008445751         0.0026582066         0.0000000000        -0.0212929486
     -194.1114477906         0.0008454055         0.0026625383         0.0000000000        -0.0213660634
     -194.0114477906         0.0008462371         0.0026668773         0.0000000000        -0.0214393995
     -193.9114477906         0.0008470700         0.0026712235         0.0000000000        -0.0215129572
     -193.8114477906         0.0008479041         0.0026755769         0.0000000000        -0.0215867368
     -193.7114477906         0.0008487394         0.0026799375         0.0000000000        -0.0216607386
     -193.6114477906         0.0008495760         0.0026843054         0.0000000000        -0.0217349627
     -193.5114477906         0.0008504138         0.0026886806         0.0000000000        -0.0218094095
     -193.4114477906         0.0008512529         0.0026930630         0.0000000000        -0.0218840792
     -193.3114477906         0.0008520932         0.0026974527         0.0000000000        -0.0219589721
     -193.2114477906         0.0008529348         0.0027018498         0.0000000000        -0.0220340883
     -193.1114477906         0.0008537776         0.0027062541         0.0000000000        -0.0221094281
     -193.0114477906         0.0008546216         0.0027106658         0.0000000000        -0.0221849917
     -192.9114477906         0.0008554670         0.0027150849         0.0000000000        -0.0222607794
     -192.8114477906         0.0008563135         0.0027195113         0.0000000000        -0.0223367914
     -192.7114477906         0.0008571614         0.0027239451         0.0000000000        -0.0224130278
     -192.6114477906         0.0008580105         0.0027283862         0.0000000000        -0.0224894889
     -192.5114477906         0.0008588608         0.0027328348         0.0000000000        -0.0225661749
     -192.4114477906         0.0008597125         0.0027372908         0.0000000000        -0.0226430859
     -192.3114477906         0.0008605654         0.0027417542         0.0000000000        -0.0227202223
     -192.2114477906         0.0008614196         0.0027462250         0.0000000000        -0.0227975840
     -192.1114477906         0.0008622750         0.0027507033         0.0000000000        -0.0228751715
     -192.0114477906         0.0008631317         0.0027551891         0.0000000000        -0.0229529847
     -191.9114477906         0.0008639898         0.0027596823         0.0000000000        -0.0230310239
     -191.8114477906         0.0008648491         0.0027641830         0.0000000000        -0.0231092892
     -191.7114477906         0.0008657096         0.0027686912         0.0000000000        -0.0231877808
     -191.6114477906         0.0008665715         0.0027732070         0.0000000000        -0.0232664989
     -191.5114477906         0.0008674347         0.0027777303         0.0000000000        -0.0233454435
     -191.4114477906         0.0008682991         0.0027822611         0.0000000000        -0.0234246149
     -191.3114477906         0.0008691649         0.0027867994         0.0000000000        -0.0235040132
     -191.2114477906         0.0008700320         0.0027913454         0.0000000000        -0.0235836384
     -191.1114477906         0.0008709003         0.0027958989         0.0000000000        -0.0236634908
     -191.0114477906         0.0008717700         0.0028004601         0.0000000000        -0.0237435704
     -190.9114477906         0.0008726410         0.0028050288         0.0000000000        -0.0238238774
     -190.8114477906         0.0008735132         0.0028096052         0.0000000000        -0.0239044118
     -190.7114477906         0.0008743868         0.0028141892         0.0000000000        -0.0239851737
     -190.6114477906         0.0008752617         0.0028187808         0.0000000000        -0.0240661633
     -190.5114477906         0.0008761380         0.0028233802         0.0000000000        -0.0241473807
     -190.4114477906         0.0008770155         0.0028279872         0.0000000000        -0.0242288258
     -190.3114477906         0.0008778944         0.0028326019         0.0000000000        -0.0243104988
     -190.2114477906         0.0008787746         0.0028372243         0.0000000000        -0.0243923997
     -190.1114477906         0.0008796561         0.0028418544         0.0000000000        -0.0244745287
     -190.0114477906         0.0008805390         0.0028464923         0.0000000000        -0.0245568856
     -189.9114477906         0.0008814231         0.0028511379         0.0000000000        -0.0246394707
     -189.8114477906         0.0008823087         0.0028557912         0.0000000000        -0.0247222840
     -189.7114477906         0.0008831955         0.0028604524         0.0000000000        -0.0248053254
     -189.6114477906         0.0008840837         0.0028651213         0.0000000000        -0.0248885950
     -189.5114477906         0.0008849733         0.0028697981         0.0000000000        -0.0249720928
     -189.4114477906         0.0008858642         0.0028744826         0.0000000000        -0.0250558188
     -189.3114477906         0.0008867564         0.0028791750         0.0000000000        -0.0251397730
     -189.2114477906         0.0008876500         0.0028838753         0.0000000000        -0.0252239555
     -189.1114477906         0.0008885450         0.0028885834         0.0000000000        -0.0253083662
     -189.0114477906         0.0008894413         0.0028932993         0.0000000000        -0.0253930051
     -188.9114477906         0.0008903390         0.0028980232         0.0000000000        -0.0254778721
     -188.8114477906         0.0008912380         0.0029027549         0.0000000000        -0.0255629673
     -188.7114477906         0.0008921384         0.0029074946         0.0000000000        -0.0256482906
     -188.6114477906         0.0008930402         0.0029122422         0.0000000000        -0.0257338419
     -188.5114477906         0.0008939434         0.0029169978         0.0000000000        -0.0258196212
     -188.4114477906         0.0008948479         0.0029217613         0.0000000000        -0.0259056284
     -188.3114477906         0.0008957538         0.0029265328         0.0000000000        -0.0259918635
     -188.2114477906         0.0008966611         0.0029313123         0.0000000000        -0.0260783263
     -188.1114477906         0.0008975697         0.0029360997         0.0000000000        -0.0261650168
     -188.0114477906         0.0008984798         0.0029408952         0.0000000000        -0.0262519350
     -187.9114477906         0.0008993912         0.0029456987         0.0000000000        -0.0263390805
     -187.8114477906         0.0009003041         0.0029505103         0.0000000000        -0.0264264535
     -187.7114477906         0.0009012183         0.0029553299         0.0000000000        -0.0265140537
     -187.6114477906         0.0009021339         0.0029601576         0.0000000000        -0.0266018810
     -187.5114477906         0.0009030509         0.0029649934         0.0000000000        -0.0266899353
     -187.4114477906         0.0009039694         0.0029698373         0.0000000000        -0.0267782164
     -187.3114477906         0.0009048892         0.0029746893         0.0000000000        -0.0268667242
     -187.2114477906         0.0009058104         0.0029795494         0.0000000000        -0.0269554586
     -187.1114477906         0.0009067331         0.0029844177         0.0000000000        -0.0270444192
     -187.0114477906         0.0009076572         0.0029892942         0.0000000000        -0.0271336060
     -186.9114477906         0.0009085827         0.0029941788         0.0000000000        -0.0272230188
     -186.8114477906         0.0009095096         0.0029990716         0.0000000000        -0.0273126574
     -186.7114477906         0.0009104379         0.0030039726         0.0000000000        -0.0274025215
     -186.6114477906         0.0009113677         0.0030088818         0.0000000000        -0.0274926110
     -186.5114477906         0.0009122988         0.0030137993         0.0000000000        -0.0275829256
     -186.4114477906         0.0009132315         0.0030187250         0.0000000000        -0.0276734650
