# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -199.7517469645         0.0006999356         0.0027327756         0.0000000000         0.0000000000
     -199.6517469645         0.0007006334         0.0027399223         0.0000000000         0.0000000000
     -199.5517469645         0.0007013322         0.0027470887         0.0000000000         0.0000000000
     -199.4517469645         0.0007020320         0.0027542749         0.0000000000         0.0000000000
     -199.3517469645         0.0007027329         0.0027614810         0.0000000000         0.0000000000
     -199.2517469645         0.0007034349         0.0027687070         0.0000000000         0.0000000000
     -199.1517469645         0.0007041379         0.0027759530         0.0000000000         0.0000000000
     -199.0517469645         0.0007048419         0.0027832189         0.0000000000         0.0000000000
     -198.9517469645         0.0007055470         0.0027905050         0.0000000000         0.0000000000
     -198.8517469645         0.0007062532         0.0027978111         0.0000000000         0.0000000000
     -198.7517469645         0.0007069604         0.0028051375         0.0000000000         0.0000000000
     -198.6517469645         0.0007076687         0.0028124840         0.0000000000         0.0000000000
     -198.5517469645         0.0007083780         0.0028198509         0.0000000000         0.0000000000
     -198.4517469645         0.0007090884         0.0028272381         0.0000000000         0.0000000000
     -198.3517469645         0.0007097999         0.0028346456         0.0000000000         0.0000000000
     -198.2517469645         0.0007105124         0.0028420736         0.0000000000         0.0000000000
     -198.1517469645         0.0007112260         0.0028495222         0.0000000000         0.0000000000
     -198.0517469645         0.0007119407         0.0028569912         0.0000000000         0.0000000000
     -197.9517469645         0.0007126565         0.0028644809         0.0000000000         0.0000000000
     -197.8517469645         0.0007133734         0.0028719912         0.0000000000         0.0000000000
     -197.7517469645         0.0007140913         0.0028795222         0.0000000000         0.0000000000
     -197.6517469645         0.0007148103         0.0028870741         0.0000000000         0.0000000000
     -197.5517469645         0.0007155304         0.0028946467         0.0000000000         0.0000000000
     -197.4517469645         0.0007162516         0.0029022402         0.0000000000         0.0000000000
     -197.3517469645         0.0007169738         0.0029098546         0.0000000000         0.0000000000
     -197.2517469645         0.0007176972         0.0029174900         0.0000000000         0.0000000000
     -197.1517469645         0.0007184216         0.0029251465         0.0000000000         0.0000000000
     -197.0517469645         0.0007191472         0.0029328240         0.0000000000         0.0000000000
     -196.9517469645         0.0007198738         0.0029405227         0.0000000000         0.0000000000
     -196.8517469645         0.0007206016         0.0029482426         0.0000000000         0.0000000000
     -196.7517469645         0.0007213304         0.0029559838         0.0000000000         0.0000000000
     -196.6517469645         0.0007220604         0.0029637463         0.0000000000         0.0000000000
     -196.5517469645         0.0007227915         0.0029715301         0.0000000000         0.0000000000
     -196.4517469645         0.0007235236         0.0029793354         0.0000000000         0.0000000000
     -196.3517469645         0.0007242569         0.0029871621         0.0000000000         0.0000000000
     -196.2517469645         0.0007249913         0.0029950104         0.0000000000         0.0000000000
     -196.1517469645         0.0007257268         0.0030028803         0.0000000000         0.0000000000
     -196.0517469645         0.0007264635         0.0030107718         0.0000000000         0.0000000000
     -195.9517469645         0.0007272012         0.0030186850         0.0000000000         0.0000000000
     -195.8517469645         0.0007279401         0.0030266200         0.0000000000         0.0000000000
     -195.7517469645         0.0007286801         0.0030345768         0.0000000000         0.0000000000
     -195.6517469645         0.0007294212         0.0030425554         0.0000000000         0.0000000000
     -195.5517469645         0.0007301635         0.0030505560         0.0000000000         0.0000000000
     -195.4517469645         0.0007309069         0.0030585786         0.0000000000         0.0000000000
     -195.3517469645         0.0007316514         0.0030666232         0.0000000000         0.0000000000
     -195.2517469645         0.0007323970         0.0030746899         0.0000000000         0.0000000000
     -195.1517469645         0.0007331438         0.0030827787         0.0000000000         0.0000000000
     -195.0517469645         0.0007338918         0.0030908898         0.0000000000         0.0000000000
     -194.9517469645         0.0007346409         0.0030990231         0.0000000000         0.0000000000
     -194.8517469645         0.0007353911         0.0031071787         0.0000000000         0.0000000000
     -194.7517469645         0.0007361425         0.0031153567         0.0000000000         0.0000000000
     -194.6517469645         0.0007368950         0.0031235572         0.0000000000         0.0000000000
     -194.5517469645         0.0007376487         0.0031317801         0.0000000000         0.0000000000
     -194.4517469645         0.0007384035         0.0031400256         0.0000000000         0.0000000000
     -194.3517469645         0.0007391595         0.0031482936         0.0000000000         0.0000000000
     -194.2517469645         0.0007399166         0.0031565844         0.0000000000         0.0000000000
     -194.1517469645         0.0007406750         0.0031648978         0.0000000000         0.0000000000
     -194.0517469645         0.0007414344         0.0031732341         0.0000000000         0.0000000000
     -193.9517469645         0.0007421951         0.0031815931         0.0000000000         0.0000000000
     -193.8517469645         0.0007429569         0.0031899751         0.0000000000         0.0000000000
     -193.7517469645         0.0007437199         0.0031983800         0.0000000000         0.0000000000
     -193.6517469645         0.0007444840         0.0032068078         0.0000000000         0.0000000000
     -193.5517469645         0.0007452494         0.0032152588         0.0000000000         0.0000000000
     -193.4517469645         0.0007460159         0.0032237329         0.0000000000         0.0000000000
     -193.3517469645         0.0007467836         0.0032322301         0.0000000000         0.0000000000
     -193.2517469645         0.0007475525         0.0032407506         0.0000000000         0.0000000000
     -193.1517469645         0.0007483225         0.0032492944         0.0000000000         0.0000000000
     -193.0517469645         0.0007490938         0.0032578615         0.0000000000         0.0000000000
     -192.9517469645         0.0007498662         0.0032664520         0.0000000000         0.0000000000
     -192.8517469645         0.0007506399         0.0032750660         0.0000000000         0.0000000000
     -192.7517469645         0.0007514147         0.0032837036         0.0000000000         0.0000000000
     -192.6517469645         0.0007521907         0.0032923647         0.0000000000         0.0000000000
     -192.5517469645         0.0007529680         0.0033010494         0.0000000000         0.0000000000
     -192.4517469645         0.0007537464         0.0033097578         0.0000000000         0.0000000000
     -192.3517469645         0.0007545261         0.0033184900         0.0000000000         0.0000000000
     -192.2517469645         0.0007553069         0.0033272460         0.0000000000         0.0000000000
     -192.1517469645         0.0007560890         0.0033360259         0.0000000000         0.0000000000
     -192.0517469645         0.0007568723         0.0033448297         0.0000000000         0.0000000000
     -191.9517469645         0.0007576567         0.0033536575         0.0000000000         0.0000000000
     -191.8517469645         0.0007584425         0.0033625094         0.0000000000         0.0000000000
     -191.7517469645         0.0007592294         0.0033713854         0.0000000000         0.0000000000
     -191.6517469645         0.0007600175         0.0033802855         0.0000000000         0.0000000000
     -191.5517469645         0.0007608069         0.0033892098         0.0000000000         0.0000000000
     -191.4517469645         0.0007615975         0.0033981585         0.0000000000         0.0000000000
     -191.3517469645         0.0007623894         0.0034071315         0.0000000000         0.0000000000
     -191.2517469645         0.0007631824         0.0034161288         0.0000000000         0.0000000000
     -191.1517469645         0.0007639768         0.0034251507         0.0000000000         0.0000000000
     -191.0517469645         0.0007647723         0.0034341971         0.0000000000         0.0000000000
     -190.9517469645         0.0007655691         0.0034432680         0.0000000000         0.0000000000
     -190.8517469645         0.0007663671         0.0034523636         0.0000000000         0.0000000000
     -190.7517469645         0.0007671664         0.0034614839         0.0000000000         0.0000000000
     -190.6517469645         0.0007679669         0.0034706289         0.0000000000         0.0000000000
     -190.5517469645         0.0007687687         0.0034797988         0.0000000000         0.0000000000
     -190.4517469645         0.0007695718         0.0034889935         0.0000000000         0.0000000000
     -190.3517469645         0.0007703761         0.0034982132         0.0000000000         0.0000000000
     -190.2517469645         0.0007711816         0.0035074579         0.0000000000         0.0000000000
     -190.1517469645         0.0007719884         0.0035167276         0.0000000000         0.0000000000
     -190.0517469645         0.0007727965         0.0035260225         0.0000000000         0.0000000000
     -189.9517469645         0.0007736058         0.0035353425         0.0000000000         0.0000000000
     -189.8517469645         0.0007744165         0.0035446878         0.0000000000         0.0000000000
     -189.7517469645         0.0007752284         0.0035540584         0.0000000000         0.0000000000
     -189.6517469645         0.0007760415         0.0035634543         0.0000000000         0.0000000000
     -189.5517469645         0.0007768560         0.0035728756         0.0000000000         0.0000000000
     -189.4517469645         0.0007776717         0.0035823224         0.0000000000         0.0000000000
     -189.3517469645         0.0007784887         0.0035917948         0.0000000000         0.0000000000
     -189.2517469645         0.0007793070         0.0036012927         0.0000000000         0.0000000000
     -189.1517469645         0.0007801266         0.0036108163         0.0000000000         0.0000000000
     -189.0517469645         0.0007809474         0.0036203657         0.0000000000         0.0000000000
     -188.9517469645         0.0007817696         0.0036299408         0.0000000000         0.0000000000
     -188.8517469645         0.0007825931         0.0036395417         0.0000000000         0.0000000000
     -188.7517469645         0.0007834178         0.0036491686         0.0000000000         0.0000000000
     -188.6517469645         0.0007842439         0.0036588214         0.0000000000         0.0000000000
     -188.5517469645         0.0007850713         0.0036685002         0.0000000000         0.0000000000
     -188.4517469645         0.0007858999         0.0036782051         0.0000000000         0.0000000000
     -188.3517469645         0.0007867299         0.0036879362         0.0000000000         0.0000000000
     -188.2517469645         0.0007875612         0.0036976934         0.0000000000         0.0000000000
     -188.1517469645         0.0007883939         0.0037074770         0.0000000000         0.0000000000
     -188.0517469645         0.0007892278         0.0037172868         0.0000000000         0.0000000000
     -187.9517469645         0.0007900631         0.0037271231         0.0000000000         0.0000000000
     -187.8517469645         0.0007908996         0.0037369858         0.0000000000         0.0000000000
     -187.7517469645         0.0007917376         0.0037468750         0.0000000000         0.0000000000
     -187.6517469645         0.0007925768         0.0037567907         0.0000000000         0.0000000000
     -187.5517469645         0.0007934174         0.0037667331         0.0000000000         0.0000000000
     -187.4517469645         0.0007942593         0.0037767022         0.0000000000         0.0000000000
     -187.3517469645         0.0007951025         0.0037866981         0.0000000000         0.0000000000
     -187.2517469645         0.0007959471         0.0037967207         0.0000000000         0.0000000000
     -187.1517469645         0.0007967930         0.0038067703         0.0000000000         0.0000000000
     -187.0517469645         0.0007976403         0.0038168468         0.0000000000         0.0000000000
     -186.9517469645         0.0007984890         0.0038269502         0.0000000000         0.0000000000
     -186.8517469645         0.0007993389         0.0038370808         0.0000000000         0.0000000000
     -186.7517469645         0.0008001903         0.0038472384         0.0000000000         0.0000000000
     -186.6517469645         0.0008010430         0.0038574233         0.0000000000         0.0000000000
     -186.5517469645         0.0008018970         0.0038676354         0.0000000000         0.0000000000
     -186.4517469645         0.0008027525         0.0038778748         0.0000000000         0.0000000000
     -186.3517469645         0.0008036093         0.0038881416         0.0000000000         0.0000000000
     -186.2517469645         0.0008044674         0.0038984358         0.0000000000         0.0000000000
     -186.1517469645         0.0008053270         0.0039087575         0.0000000000         0.0000000000
     -186.0517469645         0.0008061879         0.0039191068         0.0000000000         0.0000000000
     -185.9517469645         0.0008070502         0.0039294836         0.0000000000         0.0000000000
     -185.8517469645         0.0008079138         0.0039398882         0.0000000000         0.0000000000
     -185.7517469645         0.0008087789         0.0039503205         0.0000000000         0.0000000000
     -185.6517469645         0.0008096453         0.0039607806         0.0000000000         0.0000000000
     -185.5517469645         0.0008105132         0.0039712686         0.0000000000         0.0000000000
     -185.4517469645         0.0008113824         0.0039817845         0.0000000000         0.0000000000
     -185.3517469645         0.0008122530         0.0039923284         0.0000000000         0.0000000000
     -185.2517469645         0.0008131250         0.0040029003         0.0000000000         0.0000000000
     -185.1517469645         0.0008139985         0.0040135004         0.0000000000         0.0000000000
     -185.0517469645         0.0008148733         0.0040241286         0.0000000000         0.0000000000
     -184.9517469645         0.0008157495         0.0040347851         0.0000000000         0.0000000000
     -184.8517469645         0.0008166272         0.0040454699         0.0000000000         0.0000000000
     -184.7517469645         0.0008175063         0.0040561830         0.0000000000         0.0000000000
     -184.6517469645         0.0008183867         0.0040669246         0.0000000000         0.0000000000
     -184.5517469645         0.0008192686         0.0040776946         0.0000000000         0.0000000000
     -184.4517469645         0.0008201520         0.0040884933         0.0000000000         0.0000000000
     -184.3517469645         0.0008210367         0.0040993205         0.0000000000         0.0000000000
     -184.2517469645         0.0008219229         0.0041101764         0.0000000000         0.0000000000
     -184.1517469645         0.0008228105         0.0041210610         0.0000000000         0.0000000000
     -184.0517469645         0.0008236996         0.0041319745         0.0000000000         0.0000000000
     -183.9517469645         0.0008245901         0.0041429168         0.0000000000         0.0000000000
     -183.8517469645         0.0008254820         0.0041538881         0.0000000000         0.0000000000
     -183.7517469645         0.0008263754         0.0041648883         0.0000000000         0.0000000000
     -183.6517469645         0.0008272702         0.0041759176         0.0000000000         0.0000000000
     -183.5517469645         0.0008281665         0.0041869760         0.0000000000         0.0000000000
     -183.4517469645         0.0008290643         0.0041980636         0.0000000000         0.0000000000
     -183.3517469645         0.0008299635         0.0042091804         0.0000000000         0.0000000000
     -183.2517469645         0.0008308641         0.0042203265         0.0000000000         0.0000000000
     -183.1517469645         0.0008317662         0.0042315020         0.0000000000         0.0000000000
     -183.0517469645         0.0008326698         0.0042427070         0.0000000000         0.0000000000
     -182.9517469645         0.0008335749         0.0042539414         0.0000000000         0.0000000000
     -182.8517469645         0.0008344814         0.0042652054         0.0000000000         0.0000000000
     -182.7517469645         0.0008353894         0.0042764990         0.0000000000         0.0000000000
     -182.6517469645         0.0008362989         0.0042878223         0.0000000000         0.0000000000
     -182.5517469645         0.0008372099         0.0042991753         0.0000000000         0.0000000000
     -182.4517469645         0.0008381224         0.0043105582         0.0000000000         0.0000000000
     -182.3517469645         0.0008390363         0.0043219709         0.0000000000         0.0000000000
     -182.2517469645         0.0008399517         0.0043334136         0.0000000000         0.0000000000
     -182.1517469645         0.0008408687         0.0043448862         0.0000000000         0.0000000000
     -182.0517469645         0.0008417871         0.0043563890         0.0000000000         0.0000000000
     -181.9517469645         0.0008427071         0.0043679218         0.0000000000         0.0000000000
     -181.8517469645         0.0008436285         0.0043794849         0.0000000000         0.0000000000
     -181.7517469645         0.0008445515         0.0043910782         0.0000000000         0.0000000000
     -181.6517469645         0.0008454759         0.0044027018         0.0000000000         0.0000000000
     -181.5517469645         0.0008464019         0.0044143558         0.0000000000         0.0000000000
     -181.4517469645         0.0008473294         0.0044260402         0.0000000000         0.0000000000
     -181.3517469645         0.0008482585         0.0044377552         0.0000000000         0.0000000000
     -181.2517469645         0.0008491890         0.0044495007         0.0000000000         0.0000000000
     -181.1517469645         0.0008501211         0.0044612768         0.0000000000         0.0000000000
     -181.0517469645         0.0008510547         0.0044730837         0.0000000000         0.0000000000
     -180.9517469645         0.0008519899         0.0044849213         0.0000000000         0.0000000000
     -180.8517469645         0.0008529266         0.0044967897         0.0000000000         0.0000000000
     -180.7517469645         0.0008538648         0.0045086890         0.0000000000         0.0000000000
     -180.6517469645         0.0008548046         0.0045206193         0.0000000000         0.0000000000
     -180.5517469645         0.0008557459         0.0045325806         0.0000000000         0.0000000000
     -180.4517469645         0.0008566888         0.0045445729         0.0000000000         0.0000000000
