# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -182.7126380386         0.0275584311         0.0144598739         0.0000000000         0.0000000000
     -182.6126380386         0.0275882714         0.0144897761         0.0000000000         0.0000000000
     -182.5126380386         0.0276181606         0.0145197432         0.0000000000         0.0000000000
     -182.4126380386         0.0276480988         0.0145497756         0.0000000000         0.0000000000
     -182.3126380386         0.0276780862         0.0145798733         0.0000000000         0.0000000000
     -182.2126380386         0.0277081227         0.0146100365         0.0000000000         0.0000000000
     -182.1126380386         0.0277382086         0.0146402655         0.0000000000         0.0000000000
     -182.0126380386         0.0277683440         0.0146705604         0.0000000000         0.0000000000
     -181.9126380386         0.0277985289         0.0147009215         0.0000000000         0.0000000000
     -181.8126380386         0.0278287635         0.0147313488         0.0000000000         0.0000000000
     -181.7126380386         0.0278590478         0.0147618426         0.0000000000         0.0000000000
     -181.6126380386         0.0278893821         0.0147924030         0.0000000000         0.0000000000
     -181.5126380386         0.0279197663         0.0148230304         0.0000000000         0.0000000000
     -181.4126380386         0.0279502007         0.0148537247         0.0000000000         0.0000000000
     -181.3126380386         0.0279806852         0.0148844863         0.0000000000         0.0000000000
     -181.2126380386         0.0280112201         0.0149153154         0.0000000000         0.0000000000
     -181.1126380386         0.0280418055         0.0149462120         0.0000000000         0.0000000000
     -181.0126380386         0.0280724414         0.0149771765         0.0000000000         0.0000000000
     -180.9126380386         0.0281031279         0.0150082089         0.0000000000         0.0000000000
     -180.8126380386         0.0281338653         0.0150393096         0.0000000000         0.0000000000
     -180.7126380386         0.0281646535         0.0150704787         0.0000000000         0.0000000000
     -180.6126380386         0.0281954927         0.0151017163         0.0000000000         0.0000000000
     -180.5126380386         0.0282263831         0.0151330228         0.0000000000         0.0000000000
     -180.4126380386         0.0282573247         0.0151643982         0.0000000000         0.0000000000
     -180.3126380386         0.0282883176         0.0151958427         0.0000000000         0.0000000000
     -180.2126380386         0.0283193620         0.0152273567         0.0000000000         0.0000000000
     -180.1126380386         0.0283504580         0.0152589402         0.0000000000         0.0000000000
     -180.0126380386         0.0283816057         0.0152905935         0.0000000000         0.0000000000
     -179.9126380386         0.0284128051         0.0153223168         0.0000000000         0.0000000000
     -179.8126380386         0.0284440566         0.0153541102         0.0000000000         0.0000000000
     -179.7126380386         0.0284753600         0.0153859740         0.0000000000         0.0000000000
     -179.6126380386         0.0285067156         0.0154179084         0.0000000000         0.0000000000
     -179.5126380386         0.0285381235         0.0154499136         0.0000000000         0.0000000000
     -179.4126380386         0.0285695838         0.0154819897         0.0000000000         0.0000000000
     -179.3126380386         0.0286010965         0.0155141370         0.0000000000         0.0000000000
     -179.2126380386         0.0286326620         0.0155463557         0.0000000000         0.0000000000
     -179.1126380386         0.0286642801         0.0155786460         0.0000000000         0.0000000000
     -179.0126380386         0.0286959511         0.0156110081         0.0000000000         0.0000000000
     -178.9126380386         0.0287276751         0.0156434422         0.0000000000         0.0000000000
     -178.8126380386         0.0287594522         0.0156759485         0.0000000000         0.0000000000
     -178.7126380386         0.0287912826         0.0157085272         0.0000000000         0.0000000000
     -178.6126380386         0.0288231662         0.0157411786         0.0000000000         0.0000000000
     -178.5126380386         0.0288551034         0.0157739027         0.0000000000         0.0000000000
     -178.4126380386         0.0288870941         0.0158067000         0.0000000000         0.0000000000
     -178.3126380386         0.0289191385         0.0158395705         0.0000000000         0.0000000000
     -178.2126380386         0.0289512367         0.0158725144         0.0000000000         0.0000000000
     -178.1126380386         0.0289833889         0.0159055321         0.0000000000         0.0000000000
     -178.0126380386         0.0290155952         0.0159386236         0.0000000000         0.0000000000
     -177.9126380386         0.0290478556         0.0159717892         0.0000000000         0.0000000000
     -177.8126380386         0.0290801704         0.0160050292         0.0000000000         0.0000000000
