# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -217.7844433244         0.0006871412         0.0000804516         0.0000000000        -0.0543952786
     -217.6844433244         0.0006877700         0.0000807571         0.0000000000        -0.0545491961
     -217.5844433244         0.0006883997         0.0000810636         0.0000000000        -0.0547035569
     -217.4844433244         0.0006890303         0.0000813712         0.0000000000        -0.0548583621
     -217.3844433244         0.0006896617         0.0000816800         0.0000000000        -0.0550136125
     -217.2844433244         0.0006902940         0.0000819899         0.0000000000        -0.0551693092
     -217.1844433244         0.0006909272         0.0000823009         0.0000000000        -0.0553254531
     -217.0844433244         0.0006915612         0.0000826130         0.0000000000        -0.0554820452
     -216.9844433244         0.0006921961         0.0000829262         0.0000000000        -0.0556390864
     -216.8844433244         0.0006928319         0.0000832406         0.0000000000        -0.0557965778
     -216.7844433244         0.0006934686         0.0000835561         0.0000000000        -0.0559545202
     -216.6844433244         0.0006941061         0.0000838728         0.0000000000        -0.0561129147
     -216.5844433244         0.0006947446         0.0000841906         0.0000000000        -0.0562717621
     -216.4844433244         0.0006953839         0.0000845096         0.0000000000        -0.0564310635
     -216.3844433244         0.0006960240         0.0000848297         0.0000000000        -0.0565908198
     -216.2844433244         0.0006966651         0.0000851509         0.0000000000        -0.0567510319
     -216.1844433244         0.0006973070         0.0000854734         0.0000000000        -0.0569117008
     -216.0844433244         0.0006979499         0.0000857970         0.0000000000        -0.0570728275
     -215.9844433244         0.0006985936         0.0000861217         0.0000000000        -0.0572344128
     -215.8844433244         0.0006992382         0.0000864477         0.0000000000        -0.0573964577
     -215.7844433244         0.0006998837         0.0000867748         0.0000000000        -0.0575589631
     -215.6844433244         0.0007005301         0.0000871030         0.0000000000        -0.0577219301
     -215.5844433244         0.0007011774         0.0000874325         0.0000000000        -0.0578853594
     -215.4844433244         0.0007018256         0.0000877632         0.0000000000        -0.0580492520
     -215.3844433244         0.0007024747         0.0000880950         0.0000000000        -0.0582136089
     -215.2844433244         0.0007031247         0.0000884281         0.0000000000        -0.0583784310
     -215.1844433244         0.0007037756         0.0000887623         0.0000000000        -0.0585437191
     -215.0844433244         0.0007044273         0.0000890978         0.0000000000        -0.0587094743
     -214.9844433244         0.0007050800         0.0000894345         0.0000000000        -0.0588756973
     -214.8844433244         0.0007057336         0.0000897723         0.0000000000        -0.0590423892
     -214.7844433244         0.0007063881         0.0000901114         0.0000000000        -0.0592095507
     -214.6844433244         0.0007070436         0.0000904518         0.0000000000        -0.0593771829
     -214.5844433244         0.0007076999         0.0000907933         0.0000000000        -0.0595452866
     -214.4844433244         0.0007083571         0.0000911361         0.0000000000        -0.0597138626
     -214.3844433244         0.0007090153         0.0000914801         0.0000000000        -0.0598829120
     -214.2844433244         0.0007096744         0.0000918253         0.0000000000        -0.0600524355
     -214.1844433244         0.0007103344         0.0000921718         0.0000000000        -0.0602224341
     -214.0844433244         0.0007109953         0.0000925196         0.0000000000        -0.0603929085
     -213.9844433244         0.0007116571         0.0000928685         0.0000000000        -0.0605638598
     -213.8844433244         0.0007123199         0.0000932188         0.0000000000        -0.0607352887
     -213.7844433244         0.0007129835         0.0000935703         0.0000000000        -0.0609071962
     -213.6844433244         0.0007136481         0.0000939231         0.0000000000        -0.0610795830
     -213.5844433244         0.0007143137         0.0000942771         0.0000000000        -0.0612524501
     -213.4844433244         0.0007149801         0.0000946324         0.0000000000        -0.0614257982
     -213.3844433244         0.0007156475         0.0000949890         0.0000000000        -0.0615996283
     -213.2844433244         0.0007163159         0.0000953469         0.0000000000        -0.0617739411
     -213.1844433244         0.0007169851         0.0000957060         0.0000000000        -0.0619487375
     -213.0844433244         0.0007176553         0.0000960665         0.0000000000        -0.0621240184
     -212.9844433244         0.0007183265         0.0000964282         0.0000000000        -0.0622997845
     -212.8844433244         0.0007189986         0.0000967912         0.0000000000        -0.0624760367
     -212.7844433244         0.0007196716         0.0000971556         0.0000000000        -0.0626527758
     -212.6844433244         0.0007203456         0.0000975212         0.0000000000        -0.0628300026
     -212.5844433244         0.0007210205         0.0000978882         0.0000000000        -0.0630077180
     -212.4844433244         0.0007216963         0.0000982565         0.0000000000        -0.0631859226
     -212.3844433244         0.0007223732         0.0000986261         0.0000000000        -0.0633646173
     -212.2844433244         0.0007230509         0.0000989970         0.0000000000        -0.0635438030
     -212.1844433244         0.0007237296         0.0000993693         0.0000000000        -0.0637234803
     -212.0844433244         0.0007244093         0.0000997429         0.0000000000        -0.0639036500
     -211.9844433244         0.0007250899         0.0001001178         0.0000000000        -0.0640843130
     -211.8844433244         0.0007257715         0.0001004941         0.0000000000        -0.0642654700
     -211.7844433244         0.0007264541         0.0001008717         0.0000000000        -0.0644471218
     -211.6844433244         0.0007271376         0.0001012507         0.0000000000        -0.0646292690
     -211.5844433244         0.0007278220         0.0001016310         0.0000000000        -0.0648119125
     -211.4844433244         0.0007285075         0.0001020127         0.0000000000        -0.0649950530
     -211.3844433244         0.0007291939         0.0001023958         0.0000000000        -0.0651786913
     -211.2844433244         0.0007298813         0.0001027802         0.0000000000        -0.0653628280
     -211.1844433244         0.0007305696         0.0001031660         0.0000000000        -0.0655474639
     -211.0844433244         0.0007312589         0.0001035532         0.0000000000        -0.0657325997
     -210.9844433244         0.0007319492         0.0001039418         0.0000000000        -0.0659182361
     -210.8844433244         0.0007326405         0.0001043318         0.0000000000        -0.0661043738
     -210.7844433244         0.0007333327         0.0001047231         0.0000000000        -0.0662910135
     -210.6844433244         0.0007340259         0.0001051159         0.0000000000        -0.0664781560
     -210.5844433244         0.0007347202         0.0001055101         0.0000000000        -0.0666658018
     -210.4844433244         0.0007354153         0.0001059057         0.0000000000        -0.0668539517
     -210.3844433244         0.0007361115         0.0001063027         0.0000000000        -0.0670426063
     -210.2844433244         0.0007368087         0.0001067011         0.0000000000        -0.0672317663
     -210.1844433244         0.0007375068         0.0001071009         0.0000000000        -0.0674214323
     -210.0844433244         0.0007382060         0.0001075022         0.0000000000        -0.0676116050
     -209.9844433244         0.0007389061         0.0001079049         0.0000000000        -0.0678022850
     -209.8844433244         0.0007396073         0.0001083090         0.0000000000        -0.0679934730
     -209.7844433244         0.0007403094         0.0001087146         0.0000000000        -0.0681851695
     -209.6844433244         0.0007410125         0.0001091217         0.0000000000        -0.0683773753
     -209.5844433244         0.0007417166         0.0001095301         0.0000000000        -0.0685700908
     -209.4844433244         0.0007424218         0.0001099401         0.0000000000        -0.0687633167
     -209.3844433244         0.0007431279         0.0001103515         0.0000000000        -0.0689570536
     -209.2844433244         0.0007438351         0.0001107644         0.0000000000        -0.0691513020
     -209.1844433244         0.0007445432         0.0001111787         0.0000000000        -0.0693460626
     -209.0844433244         0.0007452524         0.0001115946         0.0000000000        -0.0695413358
     -208.9844433244         0.0007459626         0.0001120119         0.0000000000        -0.0697371224
     -208.8844433244         0.0007466737         0.0001124307         0.0000000000        -0.0699334227
     -208.7844433244         0.0007473859         0.0001128510         0.0000000000        -0.0701302373
     -208.6844433244         0.0007480992         0.0001132728         0.0000000000        -0.0703275668
     -208.5844433244         0.0007488134         0.0001136961         0.0000000000        -0.0705254117
     -208.4844433244         0.0007495287         0.0001141209         0.0000000000        -0.0707237724
     -208.3844433244         0.0007502450         0.0001145472         0.0000000000        -0.0709226495
     -208.2844433244         0.0007509623         0.0001149750         0.0000000000        -0.0711220436
     -208.1844433244         0.0007516806         0.0001154044         0.0000000000        -0.0713219549
     -208.0844433244         0.0007524000         0.0001158353         0.0000000000        -0.0715223841
     -207.9844433244         0.0007531204         0.0001162677         0.0000000000        -0.0717233316
     -207.8844433244         0.0007538418         0.0001167017         0.0000000000        -0.0719247978
     -207.7844433244         0.0007545643         0.0001171372         0.0000000000        -0.0721267833
     -207.6844433244         0.0007552878         0.0001175742         0.0000000000        -0.0723292883
     -207.5844433244         0.0007560124         0.0001180128         0.0000000000        -0.0725323133
     -207.4844433244         0.0007567380         0.0001184530         0.0000000000        -0.0727358588
     -207.3844433244         0.0007574646         0.0001188948         0.0000000000        -0.0729399251
     -207.2844433244         0.0007581923         0.0001193381         0.0000000000        -0.0731445127
     -207.1844433244         0.0007589210         0.0001197830         0.0000000000        -0.0733496218
     -207.0844433244         0.0007596508         0.0001202294         0.0000000000        -0.0735552530
     -206.9844433244         0.0007603816         0.0001206775         0.0000000000        -0.0737614064
     -206.8844433244         0.0007611135         0.0001211271         0.0000000000        -0.0739680826
     -206.7844433244         0.0007618464         0.0001215784         0.0000000000        -0.0741752817
     -206.6844433244         0.0007625804         0.0001220312         0.0000000000        -0.0743830042
     -206.5844433244         0.0007633155         0.0001224857         0.0000000000        -0.0745912502
     -206.4844433244         0.0007640516         0.0001229418         0.0000000000        -0.0748000203
     -206.3844433244         0.0007647888         0.0001233995         0.0000000000        -0.0750093145
     -206.2844433244         0.0007655270         0.0001238588         0.0000000000        -0.0752191332
     -206.1844433244         0.0007662663         0.0001243197         0.0000000000        -0.0754294767
     -206.0844433244         0.0007670067         0.0001247823         0.0000000000        -0.0756403452
     -205.9844433244         0.0007677482         0.0001252465         0.0000000000        -0.0758517389
     -205.8844433244         0.0007684907         0.0001257124         0.0000000000        -0.0760636581
     -205.7844433244         0.0007692343         0.0001261799         0.0000000000        -0.0762761029
     -205.6844433244         0.0007699790         0.0001266491         0.0000000000        -0.0764890736
     -205.5844433244         0.0007707247         0.0001271200         0.0000000000        -0.0767025704
     -205.4844433244         0.0007714716         0.0001275925         0.0000000000        -0.0769165934
     -205.3844433244         0.0007722195         0.0001280667         0.0000000000        -0.0771311428
     -205.2844433244         0.0007729685         0.0001285425         0.0000000000        -0.0773462188
     -205.1844433244         0.0007737186         0.0001290201         0.0000000000        -0.0775618214
     -205.0844433244         0.0007744698         0.0001294994         0.0000000000        -0.0777779507
     -204.9844433244         0.0007752221         0.0001299803         0.0000000000        -0.0779946070
     -204.8844433244         0.0007759755         0.0001304630         0.0000000000        -0.0782117903
     -204.7844433244         0.0007767300         0.0001309473         0.0000000000        -0.0784295006
     -204.6844433244         0.0007774856         0.0001314334         0.0000000000        -0.0786477380
     -204.5844433244         0.0007782422         0.0001319212         0.0000000000        -0.0788665026
     -204.4844433244         0.0007790000         0.0001324107         0.0000000000        -0.0790857944
     -204.3844433244         0.0007797589         0.0001329020         0.0000000000        -0.0793056135
     -204.2844433244         0.0007805189         0.0001333950         0.0000000000        -0.0795259597
     -204.1844433244         0.0007812800         0.0001338897         0.0000000000        -0.0797468332
     -204.0844433244         0.0007820422         0.0001343862         0.0000000000        -0.0799682338
     -203.9844433244         0.0007828056         0.0001348844         0.0000000000        -0.0801901616
     -203.8844433244         0.0007835700         0.0001353844         0.0000000000        -0.0804126165
     -203.7844433244         0.0007843356         0.0001358862         0.0000000000        -0.0806355984
     -203.6844433244         0.0007851023         0.0001363898         0.0000000000        -0.0808591073
     -203.5844433244         0.0007858701         0.0001368951         0.0000000000        -0.0810831429
     -203.4844433244         0.0007866390         0.0001374022         0.0000000000        -0.0813077053
     -203.3844433244         0.0007874091         0.0001379111         0.0000000000        -0.0815327942
     -203.2844433244         0.0007881803         0.0001384218         0.0000000000        -0.0817584096
     -203.1844433244         0.0007889526         0.0001389343         0.0000000000        -0.0819845511
     -203.0844433244         0.0007897261         0.0001394486         0.0000000000        -0.0822112188
     -202.9844433244         0.0007905007         0.0001399648         0.0000000000        -0.0824384123
     -202.8844433244         0.0007912764         0.0001404827         0.0000000000        -0.0826661315
     -202.7844433244         0.0007920533         0.0001410025         0.0000000000        -0.0828943760
     -202.6844433244         0.0007928313         0.0001415241         0.0000000000        -0.0831231457
     -202.5844433244         0.0007936105         0.0001420476         0.0000000000        -0.0833524403
     -202.4844433244         0.0007943908         0.0001425729         0.0000000000        -0.0835822595
     -202.3844433244         0.0007951722         0.0001431000         0.0000000000        -0.0838126029
     -202.2844433244         0.0007959548         0.0001436290         0.0000000000        -0.0840434703
     -202.1844433244         0.0007967386         0.0001441599         0.0000000000        -0.0842748614
     -202.0844433244         0.0007975235         0.0001446926         0.0000000000        -0.0845067757
     -201.9844433244         0.0007983096         0.0001452273         0.0000000000        -0.0847392128
     -201.8844433244         0.0007990969         0.0001457638         0.0000000000        -0.0849721724
     -201.7844433244         0.0007998853         0.0001463022         0.0000000000        -0.0852056541
     -201.6844433244         0.0008006748         0.0001468425         0.0000000000        -0.0854396575
     -201.5844433244         0.0008014656         0.0001473847         0.0000000000        -0.0856741819
     -201.4844433244         0.0008022575         0.0001479288         0.0000000000        -0.0859092271
     -201.3844433244         0.0008030506         0.0001484748         0.0000000000        -0.0861447925
     -201.2844433244         0.0008038448         0.0001490228         0.0000000000        -0.0863808776
     -201.1844433244         0.0008046402         0.0001495726         0.0000000000        -0.0866174819
     -201.0844433244         0.0008054369         0.0001501245         0.0000000000        -0.0868546047
     -200.9844433244         0.0008062346         0.0001506782         0.0000000000        -0.0870922456
     -200.8844433244         0.0008070336         0.0001512339         0.0000000000        -0.0873304039
     -200.7844433244         0.0008078338         0.0001517916         0.0000000000        -0.0875690791
     -200.6844433244         0.0008086351         0.0001523512         0.0000000000        -0.0878082705
     -200.5844433244         0.0008094377         0.0001529128         0.0000000000        -0.0880479774
     -200.4844433244         0.0008102414         0.0001534763         0.0000000000        -0.0882881992
     -200.3844433244         0.0008110464         0.0001540419         0.0000000000        -0.0885289351
     -200.2844433244         0.0008118525         0.0001546094         0.0000000000        -0.0887701845
     -200.1844433244         0.0008126598         0.0001551789         0.0000000000        -0.0890119467
     -200.0844433244         0.0008134684         0.0001557504         0.0000000000        -0.0892542208
     -199.9844433244         0.0008142781         0.0001563239         0.0000000000        -0.0894970060
     -199.8844433244         0.0008150890         0.0001568995         0.0000000000        -0.0897403017
     -199.7844433244         0.0008159012         0.0001574771         0.0000000000        -0.0899841069
     -199.6844433244         0.0008167146         0.0001580566         0.0000000000        -0.0902284208
     -199.5844433244         0.0008175291         0.0001586383         0.0000000000        -0.0904732425
     -199.4844433244         0.0008183449         0.0001592219         0.0000000000        -0.0907185712
     -199.3844433244         0.0008191620         0.0001598077         0.0000000000        -0.0909644059
     -199.2844433244         0.0008199802         0.0001603954         0.0000000000        -0.0912107457
     -199.1844433244         0.0008207997         0.0001609853         0.0000000000        -0.0914575896
     -199.0844433244         0.0008216204         0.0001615772         0.0000000000        -0.0917049367
     -198.9844433244         0.0008224423         0.0001621711         0.0000000000        -0.0919527858
     -198.8844433244         0.0008232655         0.0001627672         0.0000000000        -0.0922011361
     -198.7844433244         0.0008240898         0.0001633653         0.0000000000        -0.0924499865
     -198.6844433244         0.0008249155         0.0001639656         0.0000000000        -0.0926993358
     -198.5844433244         0.0008257423         0.0001645679         0.0000000000        -0.0929491830
     -198.4844433244         0.0008265704         0.0001651724         0.0000000000        -0.0931995269
     -198.3844433244         0.0008273998         0.0001657790         0.0000000000        -0.0934503664
     -198.2844433244         0.0008282304         0.0001663877         0.0000000000        -0.0937017003
     -198.1844433244         0.0008290622         0.0001669985         0.0000000000        -0.0939535274
     -198.0844433244         0.0008298953         0.0001676115         0.0000000000        -0.0942058465
     -197.9844433244         0.0008307297         0.0001682266         0.0000000000        -0.0944586564
     -197.8844433244         0.0008315653         0.0001688438         0.0000000000        -0.0947119557
     -197.7844433244         0.0008324022         0.0001694633         0.0000000000        -0.0949657431
     -197.6844433244         0.0008332403         0.0001700849         0.0000000000        -0.0952200174
     -197.5844433244         0.0008340797         0.0001707086         0.0000000000        -0.0954747771
