# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -243.9070133475         0.0052550409         0.0000000182         0.0006945239        -0.0836310894
     -243.7930133475         0.0052599356         0.0000000185         0.0006949358        -0.0837955573
     -243.6790133475         0.0052648371         0.0000000187         0.0006953481        -0.0839601673
     -243.5650133475         0.0052697454         0.0000000189         0.0006957607        -0.0841249182
     -243.4510133475         0.0052746606         0.0000000192         0.0006961737        -0.0842898091
     -243.3370133475         0.0052795826         0.0000000194         0.0006965870        -0.0844548388
     -243.2230133475         0.0052845115         0.0000000197         0.0006970008        -0.0846200062
     -243.1090133475         0.0052894474         0.0000000199         0.0006974149        -0.0847853103
     -242.9950133475         0.0052943901         0.0000000202         0.0006978293        -0.0849507500
     -242.8810133475         0.0052993397         0.0000000204         0.0006982442        -0.0851163242
     -242.7670133475         0.0053042963         0.0000000207         0.0006986594        -0.0852820317
     -242.6530133475         0.0053092599         0.0000000209         0.0006990749        -0.0854478715
     -242.5390133475         0.0053142304         0.0000000212         0.0006994909        -0.0856138424
     -242.4250133475         0.0053192078         0.0000000215         0.0006999072        -0.0857799433
     -242.3110133475         0.0053241923         0.0000000218         0.0007003239        -0.0859461731
     -242.1970133475         0.0053291837         0.0000000220         0.0007007409        -0.0861125305
     -242.0830133475         0.0053341822         0.0000000223         0.0007011584        -0.0862790146
     -241.9690133475         0.0053391877         0.0000000226         0.0007015762        -0.0864456240
     -241.8550133475         0.0053442002         0.0000000229         0.0007019943        -0.0866123576
     -241.7410133475         0.0053492198         0.0000000232         0.0007024129        -0.0867792143
     -241.6270133475         0.0053542465         0.0000000235         0.0007028318        -0.0869461928
     -241.5130133475         0.0053592802         0.0000000238         0.0007032511        -0.0871132920
     -241.3990133475         0.0053643210         0.0000000241         0.0007036708        -0.0872805107
     -241.2850133475         0.0053693689         0.0000000244         0.0007040908        -0.0874478477
     -241.1710133475         0.0053744240         0.0000000247         0.0007045113        -0.0876153017
     -241.0570133475         0.0053794861         0.0000000250         0.0007049321        -0.0877828716
     -240.9430133475         0.0053845555         0.0000000254         0.0007053532        -0.0879505561
     -240.8290133475         0.0053896319         0.0000000257         0.0007057748        -0.0881183540
     -240.7150133475         0.0053947156         0.0000000260         0.0007061967        -0.0882862641
     -240.6010133475         0.0053998064         0.0000000264         0.0007066190        -0.0884542850
     -240.4870133475         0.0054049045         0.0000000267         0.0007070417        -0.0886224156
     -240.3730133475         0.0054100097         0.0000000271         0.0007074648        -0.0887906546
     -240.2590133475         0.0054151222         0.0000000274         0.0007078882        -0.0889590007
     -240.1450133475         0.0054202419         0.0000000278         0.0007083121        -0.0891274526
     -240.0310133475         0.0054253688         0.0000000281         0.0007087363        -0.0892960091
     -239.9170133475         0.0054305031         0.0000000285         0.0007091609        -0.0894646689
     -239.8030133475         0.0054356446         0.0000000289         0.0007095858        -0.0896334306
     -239.6890133475         0.0054407934         0.0000000293         0.0007100112        -0.0898022930
     -239.5750133475         0.0054459495         0.0000000297         0.0007104369        -0.0899712547
     -239.4610133475         0.0054511129         0.0000000300         0.0007108631        -0.0901403145
     -239.3470133475         0.0054562837         0.0000000304         0.0007112896        -0.0903094710
     -239.2330133475         0.0054614618         0.0000000308         0.0007117164        -0.0904787228
     -239.1190133475         0.0054666473         0.0000000313         0.0007121437        -0.0906480686
     -239.0050133475         0.0054718402         0.0000000317         0.0007125714        -0.0908175072
     -238.8910133475         0.0054770404         0.0000000321         0.0007129994        -0.0909870370
     -238.7770133475         0.0054822481         0.0000000325         0.0007134278        -0.0911566569
     -238.6630133475         0.0054874632         0.0000000330         0.0007138566        -0.0913263653
     -238.5490133475         0.0054926857         0.0000000334         0.0007142858        -0.0914961609
     -238.4350133475         0.0054979156         0.0000000338         0.0007147154        -0.0916660423
     -238.3210133475         0.0055031531         0.0000000343         0.0007151454        -0.0918360082
     -238.2070133475         0.0055083980         0.0000000348         0.0007155758        -0.0920060572
     -238.0930133475         0.0055136503         0.0000000352         0.0007160065        -0.0921761877
     -237.9790133475         0.0055189102         0.0000000357         0.0007164376        -0.0923463985
     -237.8650133475         0.0055241776         0.0000000362         0.0007168692        -0.0925166881
     -237.7510133475         0.0055294526         0.0000000367         0.0007173011        -0.0926870550
     -237.6370133475         0.0055347351         0.0000000372         0.0007177334        -0.0928574979
     -237.5230133475         0.0055400251         0.0000000377         0.0007181661        -0.0930280153
     -237.4090133475         0.0055453228         0.0000000382         0.0007185992        -0.0931986058
     -237.2950133475         0.0055506280         0.0000000387         0.0007190327        -0.0933692678
     -237.1810133475         0.0055559408         0.0000000392         0.0007194665        -0.0935400000
     -237.0670133475         0.0055612613         0.0000000398         0.0007199008        -0.0937108009
     -236.9530133475         0.0055665894         0.0000000403         0.0007203355        -0.0938816689
     -236.8390133475         0.0055719251         0.0000000409         0.0007207705        -0.0940526026
     -236.7250133475         0.0055772685         0.0000000414         0.0007212060        -0.0942236006
     -236.6110133475         0.0055826196         0.0000000420         0.0007216418        -0.0943946613
     -236.4970133475         0.0055879783         0.0000000426         0.0007220780        -0.0945657832
     -236.3830133475         0.0055933448         0.0000000432         0.0007225147        -0.0947369648
     -236.2690133475         0.0055987190         0.0000000438         0.0007229517        -0.0949082045
     -236.1550133475         0.0056041009         0.0000000444         0.0007233891        -0.0950795010
     -236.0410133475         0.0056094906         0.0000000450         0.0007238269        -0.0952508526
     -235.9270133475         0.0056148881         0.0000000457         0.0007242651        -0.0954222577
     -235.8130133475         0.0056202933         0.0000000463         0.0007247038        -0.0955937150
     -235.6990133475         0.0056257063         0.0000000469         0.0007251428        -0.0957652227
     -235.5850133475         0.0056311272         0.0000000476         0.0007255822        -0.0959367793
     -235.4710133475         0.0056365558         0.0000000483         0.0007260220        -0.0961083833
     -235.3570133475         0.0056419924         0.0000000490         0.0007264622        -0.0962800332
     -235.2430133475         0.0056474367         0.0000000497         0.0007269028        -0.0964517272
     -235.1290133475         0.0056528890         0.0000000504         0.0007273438        -0.0966234639
     -235.0150133475         0.0056583491         0.0000000511         0.0007277852        -0.0967952416
