# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -186.0259315008         0.0270298431         0.0020188571         0.0000000000        -0.2399419347
     -185.9259315008         0.0270585370         0.0020265839         0.0000000000        -0.2397065300
     -185.8259315008         0.0270872768         0.0020343465         0.0000000000        -0.2394708891
     -185.7259315008         0.0271160626         0.0020421449         0.0000000000        -0.2392350153
     -185.6259315008         0.0271448944         0.0020499794         0.0000000000        -0.2389989125
     -185.5259315008         0.0271737725         0.0020578500         0.0000000000        -0.2387625841
     -185.4259315008         0.0272026968         0.0020657570         0.0000000000        -0.2385260336
     -185.3259315008         0.0272316675         0.0020737003         0.0000000000        -0.2382892647
     -185.2259315008         0.0272606847         0.0020816802         0.0000000000        -0.2380522808
     -185.1259315008         0.0272897485         0.0020896968         0.0000000000        -0.2378150855
     -185.0259315008         0.0273188589         0.0020977502         0.0000000000        -0.2375776822
     -184.9259315008         0.0273480162         0.0021058406         0.0000000000        -0.2373400745
     -184.8259315008         0.0273772203         0.0021139680         0.0000000000        -0.2371022657
     -184.7259315008         0.0274064715         0.0021221327         0.0000000000        -0.2368642593
     -184.6259315008         0.0274357697         0.0021303347         0.0000000000        -0.2366260587
     -184.5259315008         0.0274651151         0.0021385742         0.0000000000        -0.2363876674
     -184.4259315008         0.0274945078         0.0021468513         0.0000000000        -0.2361490887
     -184.3259315008         0.0275239478         0.0021551661         0.0000000000        -0.2359103260
     -184.2259315008         0.0275534354         0.0021635188         0.0000000000        -0.2356713828
     -184.1259315008         0.0275829706         0.0021719095         0.0000000000        -0.2354322622
     -184.0259315008         0.0276125535         0.0021803383         0.0000000000        -0.2351929677
     -183.9259315008         0.0276421842         0.0021888054         0.0000000000        -0.2349535025
     -183.8259315008         0.0276718628         0.0021973108         0.0000000000        -0.2347138700
     -183.7259315008         0.0277015894         0.0022058548         0.0000000000        -0.2344740734
     -183.6259315008         0.0277313641         0.0022144373         0.0000000000        -0.2342341161
     -183.5259315008         0.0277611870         0.0022230586         0.0000000000        -0.2339940011
     -183.4259315008         0.0277910583         0.0022317188         0.0000000000        -0.2337537319
     -183.3259315008         0.0278209780         0.0022404180         0.0000000000        -0.2335133116
     -183.2259315008         0.0278509462         0.0022491563         0.0000000000        -0.2332727433
     -183.1259315008         0.0278809631         0.0022579338         0.0000000000        -0.2330320304
     -183.0259315008         0.0279110287         0.0022667507         0.0000000000        -0.2327911758
     -182.9259315008         0.0279411432         0.0022756071         0.0000000000        -0.2325501829
     -182.8259315008         0.0279713066         0.0022845030         0.0000000000        -0.2323090547
     -182.7259315008         0.0280015191         0.0022934387         0.0000000000        -0.2320677944
     -182.6259315008         0.0280317808         0.0023024142         0.0000000000        -0.2318264050
     -182.5259315008         0.0280620917         0.0023114297         0.0000000000        -0.2315848897
     -182.4259315008         0.0280924520         0.0023204852         0.0000000000        -0.2313432515
     -182.3259315008         0.0281228619         0.0023295809         0.0000000000        -0.2311014934
     -182.2259315008         0.0281533213         0.0023387169         0.0000000000        -0.2308596186
     -182.1259315008         0.0281838304         0.0023478933         0.0000000000        -0.2306176300
     -182.0259315008         0.0282143894         0.0023571102         0.0000000000        -0.2303755306
     -181.9259315008         0.0282449983         0.0023663678         0.0000000000        -0.2301333234
     -181.8259315008         0.0282756572         0.0023756661         0.0000000000        -0.2298910115
     -181.7259315008         0.0283063662         0.0023850052         0.0000000000        -0.2296485977
     -181.6259315008         0.0283371256         0.0023943853         0.0000000000        -0.2294060850
     -181.5259315008         0.0283679353         0.0024038064         0.0000000000        -0.2291634763
