# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -214.6657851064         0.0441251161         0.0259992875         0.0000000000         0.0000000000
     -214.5517851064         0.0441719795         0.0260571628         0.0000000000         0.0000000000
     -214.4377851064         0.0442189178         0.0261151817         0.0000000000         0.0000000000
     -214.3237851064         0.0442659313         0.0261733446         0.0000000000         0.0000000000
     -214.2097851064         0.0443130201         0.0262316520         0.0000000000         0.0000000000
     -214.0957851064         0.0443601844         0.0262901043         0.0000000000         0.0000000000
     -213.9817851064         0.0444074244         0.0263487018         0.0000000000         0.0000000000
     -213.8677851064         0.0444547401         0.0264074451         0.0000000000         0.0000000000
     -213.7537851064         0.0445021318         0.0264663344         0.0000000000         0.0000000000
     -213.6397851064         0.0445495996         0.0265253703         0.0000000000         0.0000000000
     -213.5257851064         0.0445971438         0.0265845531         0.0000000000         0.0000000000
     -213.4117851064         0.0446447643         0.0266438832         0.0000000000         0.0000000000
     -213.2977851064         0.0446924615         0.0267033611         0.0000000000         0.0000000000
     -213.1837851064         0.0447402355         0.0267629872         0.0000000000         0.0000000000
     -213.0697851064         0.0447880864         0.0268227619         0.0000000000         0.0000000000
     -212.9557851064         0.0448360145         0.0268826856         0.0000000000         0.0000000000
     -212.8417851064         0.0448840198         0.0269427588         0.0000000000         0.0000000000
     -212.7277851064         0.0449321026         0.0270029818         0.0000000000         0.0000000000
     -212.6137851064         0.0449802630         0.0270633552         0.0000000000         0.0000000000
     -212.4997851064         0.0450285012         0.0271238792         0.0000000000         0.0000000000
     -212.3857851064         0.0450768173         0.0271845544         0.0000000000         0.0000000000
     -212.2717851064         0.0451252116         0.0272453811         0.0000000000         0.0000000000
     -212.1577851064         0.0451736842         0.0273063599         0.0000000000         0.0000000000
     -212.0437851064         0.0452222352         0.0273674911         0.0000000000         0.0000000000
     -211.9297851064         0.0452708648         0.0274287752         0.0000000000         0.0000000000
     -211.8157851064         0.0453195733         0.0274902125         0.0000000000         0.0000000000
     -211.7017851064         0.0453683607         0.0275518036         0.0000000000         0.0000000000
