# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -243.4395231355         0.0039756285         0.0000000000         0.0000000000        -0.2652217499
     -243.3255231355         0.0039792963         0.0000000000         0.0000000000        -0.2646159774
     -243.2115231355         0.0039829691         0.0000000000         0.0000000000        -0.2640109270
     -243.0975231355         0.0039866471         0.0000000000         0.0000000000        -0.2634066087
     -242.9835231355         0.0039903301         0.0000000000         0.0000000000        -0.2628030322
     -242.8695231355         0.0039940182         0.0000000000         0.0000000000        -0.2622002071
     -242.7555231355         0.0039977114         0.0000000000         0.0000000000        -0.2615981430
     -242.6415231355         0.0040014098         0.0000000000         0.0000000000        -0.2609968492
     -242.5275231355         0.0040051133         0.0000000000         0.0000000000        -0.2603963349
     -242.4135231355         0.0040088219         0.0000000000         0.0000000000        -0.2597966093
     -242.2995231355         0.0040125357         0.0000000000         0.0000000000        -0.2591976813
     -242.1855231355         0.0040162546         0.0000000000         0.0000000000        -0.2585995598
     -242.0715231355         0.0040199787         0.0000000000         0.0000000000        -0.2580022534
     -241.9575231355         0.0040237080         0.0000000000         0.0000000000        -0.2574057708
     -241.8435231355         0.0040274425         0.0000000000         0.0000000000        -0.2568101205
     -241.7295231355         0.0040311822         0.0000000000         0.0000000000        -0.2562153108
     -241.6155231355         0.0040349271         0.0000000000         0.0000000000        -0.2556213498
     -241.5015231355         0.0040386772         0.0000000000         0.0000000000        -0.2550282457
     -241.3875231355         0.0040424325         0.0000000000         0.0000000000        -0.2544360065
     -241.2735231355         0.0040461931         0.0000000000         0.0000000000        -0.2538446400
     -241.1595231355         0.0040499589         0.0000000000         0.0000000000        -0.2532541540
     -241.0455231355         0.0040537299         0.0000000000         0.0000000000        -0.2526645560
     -240.9315231355         0.0040575063         0.0000000000         0.0000000000        -0.2520758535
     -240.8175231355         0.0040612879         0.0000000000         0.0000000000        -0.2514880539
     -240.7035231355         0.0040650748         0.0000000000         0.0000000000        -0.2509011645
     -240.5895231355         0.0040688670         0.0000000000         0.0000000000        -0.2503151924
     -240.4755231355         0.0040726645         0.0000000000         0.0000000000        -0.2497301445
     -240.3615231355         0.0040764673         0.0000000000         0.0000000000        -0.2491460280
     -240.2475231355         0.0040802754         0.0000000000         0.0000000000        -0.2485628494
     -240.1335231355         0.0040840889         0.0000000000         0.0000000000        -0.2479806155
     -240.0195231355         0.0040879077         0.0000000000         0.0000000000        -0.2473993329
     -239.9055231355         0.0040917319         0.0000000000         0.0000000000        -0.2468190080
     -239.7915231355         0.0040955614         0.0000000000         0.0000000000        -0.2462396472
     -239.6775231355         0.0040993963         0.0000000000         0.0000000000        -0.2456612567
     -239.5635231355         0.0041032366         0.0000000000         0.0000000000        -0.2450838427
     -239.4495231355         0.0041070823         0.0000000000         0.0000000000        -0.2445074111
     -239.3355231355         0.0041109334         0.0000000000         0.0000000000        -0.2439319679
     -239.2215231355         0.0041147899         0.0000000000         0.0000000000        -0.2433575189
     -239.1075231355         0.0041186518         0.0000000000         0.0000000000        -0.2427840698
     -238.9935231355         0.0041225192         0.0000000000         0.0000000000        -0.2422116262
     -238.8795231355         0.0041263920         0.0000000000         0.0000000000        -0.2416401936
     -238.7655231355         0.0041302703         0.0000000000         0.0000000000        -0.2410697775
     -238.6515231355         0.0041341541         0.0000000000         0.0000000000        -0.2405003830
     -238.5375231355         0.0041380433         0.0000000000         0.0000000000        -0.2399320153
     -238.4235231355         0.0041419380         0.0000000000         0.0000000000        -0.2393646797
     -238.3095231355         0.0041458382         0.0000000000         0.0000000000        -0.2387983811
     -238.1955231355         0.0041497439         0.0000000000         0.0000000000        -0.2382331243
     -238.0815231355         0.0041536551         0.0000000000         0.0000000000        -0.2376689142
     -237.9675231355         0.0041575719         0.0000000000         0.0000000000        -0.2371057556
     -237.8535231355         0.0041614942         0.0000000000         0.0000000000        -0.2365436529
     -237.7395231355         0.0041654220         0.0000000000         0.0000000000        -0.2359826107
     -237.6255231355         0.0041693554         0.0000000000         0.0000000000        -0.2354226335
     -237.5115231355         0.0041732944         0.0000000000         0.0000000000        -0.2348637256
     -237.3975231355         0.0041772390         0.0000000000         0.0000000000        -0.2343058911
     -237.2835231355         0.0041811891         0.0000000000         0.0000000000        -0.2337491344
     -237.1695231355         0.0041851449         0.0000000000         0.0000000000        -0.2331934593
     -237.0555231355         0.0041891062         0.0000000000         0.0000000000        -0.2326388700
     -236.9415231355         0.0041930732         0.0000000000         0.0000000000        -0.2320853702
     -236.8275231355         0.0041970459         0.0000000000         0.0000000000        -0.2315329637
     -236.7135231355         0.0042010241         0.0000000000         0.0000000000        -0.2309816544
     -236.5995231355         0.0042050080         0.0000000000         0.0000000000        -0.2304314457
     -236.4855231355         0.0042089976         0.0000000000         0.0000000000        -0.2298823413
     -236.3715231355         0.0042129929         0.0000000000         0.0000000000        -0.2293343445
     -236.2575231355         0.0042169938         0.0000000000         0.0000000000        -0.2287874588
     -236.1435231355         0.0042210005         0.0000000000         0.0000000000        -0.2282416874
     -236.0295231355         0.0042250129         0.0000000000         0.0000000000        -0.2276970335
     -235.9155231355         0.0042290309         0.0000000000         0.0000000000        -0.2271535003
     -235.8015231355         0.0042330547         0.0000000000         0.0000000000        -0.2266110908
     -235.6875231355         0.0042370843         0.0000000000         0.0000000000        -0.2260698079
     -235.5735231355         0.0042411196         0.0000000000         0.0000000000        -0.2255296546
     -235.4595231355         0.0042451607         0.0000000000         0.0000000000        -0.2249906336
     -235.3455231355         0.0042492075         0.0000000000         0.0000000000        -0.2244527477
     -235.2315231355         0.0042532601         0.0000000000         0.0000000000        -0.2239159996
     -235.1175231355         0.0042573185         0.0000000000         0.0000000000        -0.2233803917
     -235.0035231355         0.0042613828         0.0000000000         0.0000000000        -0.2228459267
     -234.8895231355         0.0042654528         0.0000000000         0.0000000000        -0.2223126069
     -234.7755231355         0.0042695287         0.0000000000         0.0000000000        -0.2217804347
     -234.6615231355         0.0042736104         0.0000000000         0.0000000000        -0.2212494124
     -234.5475231355         0.0042776980         0.0000000000         0.0000000000        -0.2207195422
     -234.4335231355         0.0042817914         0.0000000000         0.0000000000        -0.2201908263
     -234.3195231355         0.0042858907         0.0000000000         0.0000000000        -0.2196632666
     -234.2055231355         0.0042899959         0.0000000000         0.0000000000        -0.2191368653
     -234.0915231355         0.0042941070         0.0000000000         0.0000000000        -0.2186116242
     -233.9775231355         0.0042982240         0.0000000000         0.0000000000        -0.2180875452
     -233.8635231355         0.0043023469         0.0000000000         0.0000000000        -0.2175646302
     -233.7495231355         0.0043064758         0.0000000000         0.0000000000        -0.2170428808
     -233.6355231355         0.0043106106         0.0000000000         0.0000000000        -0.2165222987
     -233.5215231355         0.0043147513         0.0000000000         0.0000000000        -0.2160028855
     -233.4075231355         0.0043188980         0.0000000000         0.0000000000        -0.2154846428
     -233.2935231355         0.0043230507         0.0000000000         0.0000000000        -0.2149675721
     -233.1795231355         0.0043272094         0.0000000000         0.0000000000        -0.2144516746
     -233.0655231355         0.0043313741         0.0000000000         0.0000000000        -0.2139369519
     -232.9515231355         0.0043355448         0.0000000000         0.0000000000        -0.2134234051
     -232.8375231355         0.0043397215         0.0000000000         0.0000000000        -0.2129110356
     -232.7235231355         0.0043439042         0.0000000000         0.0000000000        -0.2123998444
     -232.6095231355         0.0043480930         0.0000000000         0.0000000000        -0.2118898328
     -232.4955231355         0.0043522878         0.0000000000         0.0000000000        -0.2113810017
     -232.3815231355         0.0043564887         0.0000000000         0.0000000000        -0.2108733521
     -232.2675231355         0.0043606957         0.0000000000         0.0000000000        -0.2103668849
     -232.1535231355         0.0043649088         0.0000000000         0.0000000000        -0.2098616012
     -232.0395231355         0.0043691280         0.0000000000         0.0000000000        -0.2093575016
     -231.9255231355         0.0043733533         0.0000000000         0.0000000000        -0.2088545869
     -231.8115231355         0.0043775848         0.0000000000         0.0000000000        -0.2083528579
     -231.6975231355         0.0043818223         0.0000000000         0.0000000000        -0.2078523153
     -231.5835231355         0.0043860661         0.0000000000         0.0000000000        -0.2073529595
