# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -212.1903568728         0.0404762697         0.0072340128         0.0011086659        -0.1127749949
     -212.0763568728         0.0405194296         0.0072474752         0.0011093712        -0.1128992017
     -211.9623568728         0.0405626587         0.0072609518         0.0011100772        -0.1130230266
     -211.8483568728         0.0406059573         0.0072744429         0.0011107838        -0.1131464673
     -211.7343568728         0.0406493254         0.0072879484         0.0011114911        -0.1132695213
     -211.6203568728         0.0406927631         0.0073014683         0.0011121991        -0.1133921864
     -211.5063568728         0.0407362708         0.0073150028         0.0011129078        -0.1135144602
     -211.3923568728         0.0407798484         0.0073285517         0.0011136171        -0.1136363403
     -211.2783568728         0.0408234961         0.0073421153         0.0011143271        -0.1137578245
     -211.1643568728         0.0408672142         0.0073556936         0.0011150378        -0.1138789104
     -211.0503568728         0.0409110027         0.0073692865         0.0011157492        -0.1139995957
     -210.9363568728         0.0409548618         0.0073828942         0.0011164613        -0.1141198781
     -210.8223568728         0.0409987917         0.0073965166         0.0011171740        -0.1142397553
     -210.7083568728         0.0410427924         0.0074101539         0.0011178874        -0.1143592250
     -210.5943568728         0.0410868643         0.0074238061         0.0011186015        -0.1144782850
     -210.4803568728         0.0411310073         0.0074374732         0.0011193163        -0.1145969328
     -210.3663568728         0.0411752217         0.0074511554         0.0011200318        -0.1147151664
     -210.2523568728         0.0412195076         0.0074648525         0.0011207479        -0.1148329833
     -210.1383568728         0.0412638652         0.0074785648         0.0011214648        -0.1149503814
     -210.0243568728         0.0413082946         0.0074922922         0.0011221823        -0.1150673584
     -209.9103568728         0.0413527960         0.0075060349         0.0011229005        -0.1151839120
     -209.7963568728         0.0413973696         0.0075197928         0.0011236194        -0.1153000401
     -209.6823568728         0.0414420154         0.0075335660         0.0011243390        -0.1154157403
     -209.5683568728         0.0414867337         0.0075473547         0.0011250593        -0.1155310105
     -209.4543568728         0.0415315246         0.0075611587         0.0011257803        -0.1156458485
     -209.3403568728         0.0415763883         0.0075749783         0.0011265020        -0.1157602520
     -209.2263568728         0.0416213249         0.0075888134         0.0011272244        -0.1158742189
     -209.1123568728         0.0416663346         0.0076026641         0.0011279474        -0.1159877470
     -208.9983568728         0.0417114175         0.0076165305         0.0011286712        -0.1161008341
     -208.8843568728         0.0417565739         0.0076304126         0.0011293956        -0.1162134780
     -208.7703568728         0.0418018038         0.0076443105         0.0011301208        -0.1163256766
     -208.6563568728         0.0418471074         0.0076582243         0.0011308466        -0.1164374277
     -208.5423568728         0.0418924849         0.0076721541         0.0011315732        -0.1165487292
     -208.4283568728         0.0419379365         0.0076860998         0.0011323004        -0.1166595789
     -208.3143568728         0.0419834623         0.0077000615         0.0011330284        -0.1167699748
     -208.2003568728         0.0420290624         0.0077140394         0.0011337570        -0.1168799146
     -208.0863568728         0.0420747371         0.0077280335         0.0011344864        -0.1169893964
     -207.9723568728         0.0421204864         0.0077420438         0.0011352165        -0.1170984180
     -207.8583568728         0.0421663107         0.0077560705         0.0011359472        -0.1172069774
     -207.7443568728         0.0422122099         0.0077701135         0.0011366787        -0.1173150724
     -207.6303568728         0.0422581844         0.0077841730         0.0011374109        -0.1174227010
     -207.5163568728         0.0423042341         0.0077982490         0.0011381437        -0.1175298611
     -207.4023568728         0.0423503594         0.0078123416         0.0011388773        -0.1176365507
     -207.2883568728         0.0423965604         0.0078264509         0.0011396116        -0.1177427678
     -207.1743568728         0.0424428373         0.0078405769         0.0011403466        -0.1178485103
     -207.0603568728         0.0424891901         0.0078547198         0.0011410824        -0.1179537763
     -206.9463568728         0.0425356192         0.0078688795         0.0011418188        -0.1180585636
     -206.8323568728         0.0425821245         0.0078830562         0.0011425559        -0.1181628704
     -206.7183568728         0.0426287065         0.0078972499         0.0011432938        -0.1182666947
     -206.6043568728         0.0426753650         0.0079114607         0.0011440324        -0.1183700344
     -206.4903568728         0.0427221005         0.0079256888         0.0011447717        -0.1184728876
     -206.3763568728         0.0427689130         0.0079399340         0.0011455117        -0.1185752524
     -206.2623568728         0.0428158026         0.0079541967         0.0011462524        -0.1186771269
     -206.1483568728         0.0428627696         0.0079684767         0.0011469938        -0.1187785091
     -206.0343568728         0.0429098142         0.0079827743         0.0011477360        -0.1188793970
     -205.9203568728         0.0429569365         0.0079970894         0.0011484789        -0.1189797889
     -205.8063568728         0.0430041366         0.0080114222         0.0011492225        -0.1190796828
     -205.6923568728         0.0430514148         0.0080257727         0.0011499668        -0.1191790768
     -205.5783568728         0.0430987712         0.0080401411         0.0011507118        -0.1192779691
     -205.4643568728         0.0431462061         0.0080545273         0.0011514576        -0.1193763578
     -205.3503568728         0.0431937195         0.0080689316         0.0011522041        -0.1194742411
     -205.2363568728         0.0432413116         0.0080833539         0.0011529513        -0.1195716171
     -205.1223568728         0.0432889826         0.0080977944         0.0011536992        -0.1196684841
     -205.0083568728         0.0433367328         0.0081122531         0.0011544479        -0.1197648402
     -204.8943568728         0.0433845622         0.0081267302         0.0011551973        -0.1198606836
     -204.7803568728         0.0434324711         0.0081412256         0.0011559474        -0.1199560125
     -204.6663568728         0.0434804595         0.0081557396         0.0011566983        -0.1200508253
     -204.5523568728         0.0435285278         0.0081702722         0.0011574499        -0.1201451201
     -204.4383568728         0.0435766761         0.0081848234         0.0011582022        -0.1202388952
     -204.3243568728         0.0436249045         0.0081993934         0.0011589553        -0.1203321488
     -204.2103568728         0.0436732132         0.0082139823         0.0011597091        -0.1204248793
     -204.0963568728         0.0437216025         0.0082285901         0.0011604636        -0.1205170850
