# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -193.4384166443         0.0053606451         0.0044136690         0.0000000000        -0.0537130092
     -193.3384166443         0.0053661613         0.0044224354         0.0000000000        -0.0537890139
     -193.2384166443         0.0053716861         0.0044312109         0.0000000000        -0.0538649129
     -193.1384166443         0.0053772193         0.0044399954         0.0000000000        -0.0539407049
     -193.0384166443         0.0053827611         0.0044487890         0.0000000000        -0.0540163885
     -192.9384166443         0.0053883115         0.0044575917         0.0000000000        -0.0540919624
     -192.8384166443         0.0053938704         0.0044664034         0.0000000000        -0.0541674255
     -192.7384166443         0.0053994380         0.0044752242         0.0000000000        -0.0542427764
     -192.6384166443         0.0054050141         0.0044840541         0.0000000000        -0.0543180137
     -192.5384166443         0.0054105989         0.0044928930         0.0000000000        -0.0543931363
     -192.4384166443         0.0054161923         0.0045017410         0.0000000000        -0.0544681429
     -192.3384166443         0.0054217944         0.0045105980         0.0000000000        -0.0545430321
     -192.2384166443         0.0054274052         0.0045194641         0.0000000000        -0.0546178026
     -192.1384166443         0.0054330246         0.0045283393         0.0000000000        -0.0546924533
     -192.0384166443         0.0054386528         0.0045372235         0.0000000000        -0.0547669826
     -191.9384166443         0.0054442897         0.0045461169         0.0000000000        -0.0548413895
     -191.8384166443         0.0054499354         0.0045550193         0.0000000000        -0.0549156726
     -191.7384166443         0.0054555899         0.0045639308         0.0000000000        -0.0549898305
     -191.6384166443         0.0054612531         0.0045728513         0.0000000000        -0.0550638621
     -191.5384166443         0.0054669252         0.0045817810         0.0000000000        -0.0551377659
     -191.4384166443         0.0054726061         0.0045907198         0.0000000000        -0.0552115408
     -191.3384166443         0.0054782958         0.0045996677         0.0000000000        -0.0552851853
     -191.2384166443         0.0054839944         0.0046086246         0.0000000000        -0.0553586983
     -191.1384166443         0.0054897019         0.0046175907         0.0000000000        -0.0554320783
     -191.0384166443         0.0054954183         0.0046265660         0.0000000000        -0.0555053242
     -190.9384166443         0.0055011436         0.0046355503         0.0000000000        -0.0555784346
     -190.8384166443         0.0055068778         0.0046445438         0.0000000000        -0.0556514082
     -190.7384166443         0.0055126210         0.0046535464         0.0000000000        -0.0557242437
     -190.6384166443         0.0055183732         0.0046625582         0.0000000000        -0.0557969398
     -190.5384166443         0.0055241344         0.0046715792         0.0000000000        -0.0558694953
     -190.4384166443         0.0055299046         0.0046806093         0.0000000000        -0.0559419087
     -190.3384166443         0.0055356838         0.0046896486         0.0000000000        -0.0560141789
     -190.2384166443         0.0055414720         0.0046986971         0.0000000000        -0.0560863045
     -190.1384166443         0.0055472694         0.0047077548         0.0000000000        -0.0561582842
     -190.0384166443         0.0055530758         0.0047168218         0.0000000000        -0.0562301167
     -189.9384166443         0.0055588913         0.0047258979         0.0000000000        -0.0563018008
     -189.8384166443         0.0055647160         0.0047349833         0.0000000000        -0.0563733351
     -189.7384166443         0.0055705498         0.0047440779         0.0000000000        -0.0564447183
     -189.6384166443         0.0055763928         0.0047531818         0.0000000000        -0.0565159491
     -189.5384166443         0.0055822449         0.0047622950         0.0000000000        -0.0565870263
     -189.4384166443         0.0055881063         0.0047714175         0.0000000000        -0.0566579486
     -189.3384166443         0.0055939769         0.0047805492         0.0000000000        -0.0567287145
     -189.2384166443         0.0055998567         0.0047896903         0.0000000000        -0.0567993230
     -189.1384166443         0.0056057458         0.0047988407         0.0000000000        -0.0568697725
     -189.0384166443         0.0056116442         0.0048080005         0.0000000000        -0.0569400620
     -188.9384166443         0.0056175518         0.0048171696         0.0000000000        -0.0570101900
     -188.8384166443         0.0056234688         0.0048263482         0.0000000000        -0.0570801554
     -188.7384166443         0.0056293951         0.0048355361         0.0000000000        -0.0571499567
     -188.6384166443         0.0056353308         0.0048447334         0.0000000000        -0.0572195927
     -188.5384166443         0.0056412759         0.0048539402         0.0000000000        -0.0572890622
     -188.4384166443         0.0056472304         0.0048631564         0.0000000000        -0.0573583638
     -188.3384166443         0.0056531942         0.0048723821         0.0000000000        -0.0574274962
