# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -292.0088867201      -0.0007046439       0.2733038445
   -280.6088867205       0.0217590953       0.2692562863
   -269.2088867209       0.1651148396       0.2709641115
   -257.8088867214       0.2510813484       0.2700341434
   -246.4088867218       0.0570168640       0.2569982729
   -235.0088867202       0.0530856797       0.2526687745
   -223.6088867206      -0.0370038011       0.2447674044
   -212.2088867211       0.0866965421       0.2463183597
   -200.8088867215       0.0211326057       0.2399218566
   -189.4088867219       0.1163604933       0.2403881948
   -178.0088867203       0.1871051532       0.2398515113
   -166.6088867208       0.0130804443       0.2296700834
   -155.2088867212      -0.0425995649       0.2274091604
   -143.8088867216       0.1734182347       0.2329382825
   -132.4088867200       0.1667581970       0.2296707178
   -121.0088867205      -0.4747096400       0.2010365043
   -109.6088867209      -0.2472424654       0.2079457690
    -98.2088867213       0.0019011429       0.2151367947
    -86.8088867218       0.3120313317       0.2265964798
    -75.4088867202      -0.0025921427       0.2099946781
    -64.0088867206       0.3463671615       0.2200876172
    -52.6088867210      -0.0064604314       0.2052209173
    -41.2088867215       0.9124456011       0.2337641997
    -29.8088867219       0.9917812279       0.2337534486
    -18.4088867203       3.0573902947       0.2871669838
     -7.0088867207       3.8182446752       0.3020921032
      4.3911132788       5.1406822409       0.3275018462
     15.7911132784       6.4383003641       0.3497257266
     27.1911132780       4.0480511601       0.3012357022
     38.5911132796       2.0552123683       0.2538547682
     49.9911132791       0.9138437677       0.2200956095
     61.3911132787       0.3917995392       0.2061125615
     72.7911132783       0.4311334250       0.2073597971
     84.1911132799       0.3909810268       0.2060601616
     95.5911132794       0.6283468390       0.2135203277
    106.9911132790       0.7222450040       0.2184890335
    118.3911132786       0.8911369505       0.2214583766
    129.7911132781       1.4184285444       0.2366320396
    141.1911132797       2.0110282873       0.2525838198
    152.5911132793       2.9731425034       0.2765482055
    163.9911132789       4.3962026238       0.3085933118
    175.3911132784       5.3446704302       0.3282135715
    186.7911132780       6.0290707942       0.3416604984
    198.1911132796       5.6446864422       0.3341215232
    209.5911132792       4.2342983041       0.3050353922
    220.9911132787       3.1931826390       0.2816488273
    232.3911132783       3.1653646699       0.2809630305
    243.7911132799       2.4534078992       0.2637300179
    255.1911132795       2.3080931068       0.2600651247
    266.5911132790       2.2367896215       0.2557994750
    277.9911132786       2.3723856115       0.2616488079
    289.3911132782       1.7755680337       0.2485575166
    300.7911132798       1.8578217892       0.2483364827
    312.1911132793       1.5804727633       0.2408486642
    323.5911132789       1.5407990265       0.2397570095
    334.9911132785       1.2634775767       0.2342648187
    346.3911132780       0.9350370288       0.2269065005
    357.7911132796       1.2352811608       0.2381809569
    369.1911132792       1.2483047425       0.2410240378
    380.5911132788       1.2325462031       0.2430854668
    391.9911132783       0.9930375108       0.2383361475
    403.3911132799       0.8497505081       0.2364007171
    414.7911132795       0.9478962781       0.2422098484
    426.1911132791       1.0792976425       0.2522008803
    437.5911132786       0.8669883498       0.2452304943
    448.9911132782       1.2096932938       0.2533337057
    460.3911132798       1.4230688591       0.2661985812
    471.7911132794       1.2554948294       0.2641251950
    483.1911132789       1.6225916974       0.2792412557
    494.5911132785       1.6670768629       0.2842798097
    505.9911132781       1.7512793643       0.2907706616
    517.3911132797       2.1435222185       0.3071281752
    528.7911132792       1.2311313414       0.2814349752
    540.1911132788       2.1143298074       0.3150975143
    551.5911132784       2.6364748826       0.3363017384
    562.9911132800       3.3825544194       0.3640563445
    574.3911132795       4.3966881428       0.3989046091
    585.7911132791       3.9538987295       0.3928521932
    597.1911132787       4.0221964481       0.4015528243
    608.5911132782       4.6808519219       0.4204027673
    619.9911132798       4.6556474140       0.4349654760
