# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -252.0045243210       0.3371210737       0.3006962014
   -242.0045243214       0.5311655667       0.3042011379
   -232.0045243218       0.0658453658       0.2770726678
   -222.0045243222      -0.1350463007       0.2625165145
   -212.0045243225      -0.0220355022       0.2635237878
   -202.0045243212      -0.2817324846       0.2467024028
   -192.0045243215      -0.1946011710       0.2469949945
   -182.0045243219       0.1614717187       0.2594000313
   -172.0045243223      -0.1709993242       0.2405832097
   -162.0045243227       0.1868749582       0.2529052091
   -152.0045243213       0.1690896065       0.2486776999
   -142.0045243216      -0.4020118498       0.2201690064
   -132.0045243220       0.2306232919       0.2477597983
   -122.0045243224       0.1923640828       0.2429570467
   -112.0045243210      -0.3268995305       0.2179430875
   -102.0045243214       0.1065551341       0.2335874710
    -92.0045243218      -0.1470680877       0.2203888740
    -82.0045243221       0.2080748765       0.2321000790
    -72.0045243225       0.0511568388       0.2261378994
    -62.0045243211       0.3939792692       0.2341323622
    -52.0045243215      -0.0100058119       0.2164382668
    -42.0045243219       0.1667442947       0.2209876089
    -32.0045243223       0.1902971399       0.2196767779
    -22.0045243226       1.5228814084       0.2619430852
    -12.0045243212       1.8191131324       0.2682919098
     -2.0045243216       3.2600695435       0.3047314132
      7.9954756780       4.4399372592       0.3302716575
     17.9954756776       5.2200173609       0.3446165810
     27.9954756772       2.6618534972       0.2844891781
     37.9954756786       1.6885678888       0.2580367496
     47.9954756783       0.5708316427       0.2214708343
     57.9954756779       0.5993378357       0.2248428304
     67.9954756775       0.5721326958       0.2240270527
     77.9954756789       0.3603883796       0.2167620773
     87.9954756785       0.7148644987       0.2285175569
     97.9954756781       0.5298328616       0.2242315831
    107.9954756778       1.0748614249       0.2395763534
    117.9954756774       1.3335160476       0.2472015548
    127.9954756788       2.7387953162       0.2861739698
    137.9954756784       3.2334200643       0.2984765492
    147.9954756780       4.5249013184       0.3286946644
    157.9954756777       6.0470773002       0.3609942004
    167.9954756773       6.5224194534       0.3703505119
    177.9954756787       5.6922326794       0.3533446999
    187.9954756783       4.8889389677       0.3360116092
    197.9954756779       3.3851284675       0.3012188084
    207.9954756775       2.2660316732       0.2724960983
    217.9954756789       2.5961212983       0.2810485976
    227.9954756786       2.1009730769       0.2675107422
    237.9954756782       2.0140797340       0.2623470465
    247.9954756778       2.5104954542       0.2780947407
    257.9954756774       2.4976864377       0.2805465463
    267.9954756788       1.9846831076       0.2635205677
    277.9954756784       2.3712794711       0.2738185824
    287.9954756781       2.1614282252       0.2680178980
    297.9954756777       1.5739114765       0.2539670761
    307.9954756773       0.9472325823       0.2372127880
    317.9954756787       1.4210499271       0.2543201004
    327.9954756783       1.6023099731       0.2624319238
    337.9954756779       1.4679015125       0.2610281932
    347.9954756776       0.8855890910       0.2450176454
    357.9954756790       1.4195306499       0.2651781861
    367.9954756786       1.2064447686       0.2612833479
    377.9954756782       1.2182393483       0.2678948904
    387.9954756778       0.7274233522       0.2506923371
    397.9954756775       0.9327769090       0.2551371743
    407.9954756788       1.5059841735       0.2803455300
    417.9954756785       1.6865618884       0.2896994607
    427.9954756781       1.7965699189       0.2968452501
    437.9954756777       1.4178155196       0.2878473130
    447.9954756773       1.7688229647       0.3034836648
    457.9954756787       1.9089450177       0.3121499758
    467.9954756784       2.5080825574       0.3360466188
    477.9954756780       2.3058948316       0.3341867888
    487.9954756776       2.6378552296       0.3500188334
    497.9954756790       3.1085985289       0.3705250706
    507.9954756786       2.8720876783       0.3682647879
    517.9954756782       3.6819821563       0.3995722203
    527.9954756779       4.1058326081       0.4186509595
    537.9954756775       4.5106384538       0.4292104618
    547.9954756789       5.7046633896       0.4792030844
