# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -308.1822037628       0.1569128825       0.2894817777
   -303.1822037630       0.4790299073       0.3233437782
   -298.1822037632      -0.3268456380       0.2248874815
   -293.1822037634      -0.0791860891       0.2567246611
   -288.1822037636       0.0038612643       0.2618895879
   -283.1822037638      -0.2365634780       0.2326696051
   -278.1822037639      -0.1157133208       0.2478655062
   -273.1822037641       0.1379534588       0.2719678826
   -268.1822037643       0.5436392517       0.3122148153
   -263.1822037645       0.3206834031       0.2860103561
   -258.1822037629       0.1509838066       0.2687068518
   -253.1822037631       0.0017239386       0.2486402840
   -248.1822037633       0.1095517672       0.2600676744
   -243.1822037635       0.1238460458       0.2575097596
   -238.1822037637      -0.0865774227       0.2350356902
   -233.1822037639       0.0858079070       0.2497452570
   -228.1822037641       0.1353393347       0.2546056637
   -223.1822037643      -0.0983121426       0.2268106214
   -218.1822037644      -0.0010755620       0.2370002816
   -213.1822037629       0.3997325777       0.2717803029
   -208.1822037630      -0.3960667930       0.1914860263
   -203.1822037632       0.2643467160       0.2559755264
   -198.1822037634      -0.0173048264       0.2286974584
   -193.1822037636      -0.1103822365       0.2190225344
   -188.1822037638       0.5438126172       0.2764371603
   -183.1822037640      -0.0021725459       0.2271032876
   -178.1822037642       0.0126984181       0.2256095312
   -173.1822037644      -0.0761968318       0.2166761782
   -168.1822037628      -0.1893075734       0.2021955961
   -163.1822037630      -0.2326519354       0.1974952753
   -158.1822037632       0.1653292521       0.2340289838
   -153.1822037634      -0.0456539512       0.2141656900
   -148.1822037635      -0.1532660816       0.2009444835
   -143.1822037637      -0.3591791335       0.1786024086
   -138.1822037639      -0.2569523356       0.1877736843
   -133.1822037641       0.4229150324       0.2498966399
   -128.1822037643       0.2703982401       0.2346812040
   -123.1822037645       0.1907731135       0.2278293701
   -118.1822037629       0.1133926154       0.2211620706
   -113.1822037631      -0.1445317606       0.1947741562
   -108.1822037633       0.3136619987       0.2354402189
   -103.1822037635      -0.3734940825       0.1708791747
    -98.1822037637      -0.2041915640       0.1866994840
    -93.1822037638      -0.2971273687       0.1752692126
    -88.1822037640      -0.2975505903       0.1751809648
