# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -253.0023564832      -0.6439682634       0.2446544648
   -243.0023564836       0.0296700184       0.2732474626
   -233.0023564839      -0.1732641332       0.2589512043
   -223.0023564843      -0.2213639526       0.2522042472
   -213.0023564847       0.1205083458       0.2631741934
   -203.0023564833      -0.3299485417       0.2389815991
   -193.0023564837      -0.0910699253       0.2458155545
   -183.0023564841       0.2159037992       0.2548382532
   -173.0023564844      -0.1574812265       0.2356679842
   -163.0023564848       0.1727603607       0.2457439698
   -153.0023564834      -0.7089903737       0.2049582852
   -143.0023564838      -0.0315491644       0.2309985894
   -133.0023564842      -0.1418442826       0.2265675700
   -123.0023564846       0.1438645876       0.2347548331
   -113.0023564832      -0.0743254496       0.2233567230
   -103.0023564835       0.2295309149       0.2319958056
    -93.0023564839       0.3521308344       0.2335538166
    -83.0023564843       0.0628989077       0.2203411002
    -73.0023564847       0.3388926614       0.2302844710
    -63.0023564833       0.6088783542       0.2340999381
    -53.0023564837       0.4998385189       0.2278802750
    -43.0023564840       1.7898863325       0.2644511489
    -33.0023564844       3.0099414661       0.2935111008
    -23.0023564848       7.5621870220       0.3860737766
    -13.0023564834      18.8471188286       0.5505557906
     -3.0023564838      33.3508500294       0.7035092962
      6.9976435159      29.3636371881       0.6571944737
     16.9976435155      16.7250223920       0.5077246038
     26.9976435151       9.3535948098       0.4013695826
     36.9976435165       5.7193954513       0.3367749689
     46.9976435161       5.6473829174       0.3322100264
     56.9976435157      10.4843702675       0.4194824592
     66.9976435154      21.9006542110       0.5707643123
     76.9976435168      33.4620361506       0.6910080775
     86.9976435164      33.0146950575       0.6867361193
     96.9976435160      21.3184691174       0.5695511639
    106.9976435156      13.3736735265       0.4625054565
    116.9976435152       8.1247218949       0.3808314131
    126.9976435166       4.9489248638       0.3214905505
    136.9976435163       4.2803933057       0.3075593738
    146.9976435159       3.8729178262       0.2987252426
    156.9976435155       3.6237708411       0.2932059162
    166.9976435151       3.4275805262       0.2887969873
    176.9976435165       3.1258457948       0.2818603791
    186.9976435161       2.9290131463       0.2772406914
    196.9976435158       2.8631051762       0.2756694462
    206.9976435154       2.5620471491       0.2684268710
    216.9976435168       1.7090764327       0.2466977348
    226.9976435164       2.6412620012       0.2703678706
    236.9976435160       2.3047809303       0.2595969758
    246.9976435156       1.7623239178       0.2481299372
    256.9976435153       1.7614761600       0.2505536381
    266.9976435167       1.5666486733       0.2429320865
    276.9976435163       1.3962220086       0.2382892324
    286.9976435159       2.0008111765       0.2544170181
    296.9976435155       1.3611746193       0.2396577305
    306.9976435152       1.1735970036       0.2366876410
    316.9976435166       1.4248782167       0.2463173243
    326.9976435162       1.0318302972       0.2373720796
    336.9976435158       1.0143317444       0.2393552640
    346.9976435154       1.4713166009       0.2555861153
    356.9976435168       1.2954369119       0.2531821537
    366.9976435164       1.0500066620       0.2484974910
    376.9976435161       1.0441406749       0.2541592160
    386.9976435157       1.2235286515       0.2598506327
    396.9976435153       0.9364938455       0.2477760931
    406.9976435167       1.4916067036       0.2713685473
    416.9976435163       1.1749116787       0.2647096893
    426.9976435159       1.2275429179       0.2697985649
    436.9976435156       1.4088985249       0.2792323459
    446.9976435152       1.6367813022       0.2903198437
    456.9976435166       1.4413999981       0.2879747415
    466.9976435162       1.8009416661       0.3038563099
    476.9976435158       1.9004246990       0.3115413533
    486.9976435154       1.7776482233       0.3121889909
    496.9976435168       1.9894072907       0.3241092723
    506.9976435165       2.9201041017       0.3591204449
    516.9976435161       3.0465526719       0.3689826446
    526.9976435157       2.6162863125       0.3615358418
    536.9976435153       2.6639041163       0.3631002509
    546.9976435167       4.2679670318       0.4268806287
