# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -305.5381215026       0.0673113512       0.1876709855
   -300.5381215028      -0.0951028776       0.1625657118
   -295.5381215030      -0.0090991689       0.1729773129
   -290.5381215032      -0.0091773123       0.1729537517
   -285.5381215034       0.0207928131       0.1742422403
   -280.5381215035       0.3223603061       0.2133483332
   -275.5381215037       0.0208655653       0.1742632420
   -270.5381215039       0.1933192627       0.1940298189
   -265.5381215041       0.1458250425       0.1881301803
   -260.5381215043      -0.0668887466       0.1555530996
   -255.5381215027      -0.0667053667       0.1556083907
   -250.5381215029      -0.1742235387       0.1361921581
   -245.5381215031      -0.1286888125       0.1436025704
   -240.5381215033      -0.0992456952       0.1457971125
   -235.5381215035       0.1645143591       0.1812503583
   -230.5381215037      -0.1992083917       0.1278638737
   -225.5381215039       0.1844783281       0.1808492393
   -220.5381215040      -0.0038250104       0.1547375782
   -215.5381215042      -0.1692552644       0.1307743319
   -210.5381215026      -0.1407745461       0.1332756928
   -205.5381215028       0.0790332852       0.1654583245
   -200.5381215030      -0.0750059204       0.1408367414
   -195.5381215032       0.3541343130       0.1912509184
   -190.5381215034      -0.1919691549       0.1235915691
   -185.5381215036      -0.3169098064       0.1004970518
   -180.5381215038      -0.0508005491       0.1421828374
   -175.5381215040       0.2311869471       0.1735426030
   -170.5381215042       0.1572667189       0.1654839520
   -165.5381215026      -0.2945002549       0.1019293569
   -160.5381215028      -0.0060935890       0.1441766060
   -155.5381215029      -0.1259465859       0.1267083428
   -150.5381215031      -0.1258445818       0.1267366336
   -145.5381215033      -0.2057040794       0.1136987019
   -140.5381215035      -0.0340980497       0.1371754908
   -135.5381215037       0.0197741841       0.1420281003
   -130.5381215039       0.2206380593       0.1640011097
   -125.5381215041      -0.1577605038       0.1178847495
   -120.5381215043       0.1033695534       0.1497344751
   -115.5381215027       0.2674919578       0.1667559750
   -110.5381215029       0.1517380566       0.1531617752
   -105.5381215031       0.1835100344       0.1564223834
   -100.5381215033      -0.1036643889       0.1237122862
    -95.5381215034      -0.0207494075       0.1324765982
    -90.5381215036       0.0585226412       0.1399480765
    -85.5381215038       0.3027922199       0.1644503492
    -80.5381215040       0.1346341270       0.1464456306
    -75.5381215042       0.0149038242       0.1336506410
    -70.5381215026      -0.0561466725       0.1241333828
    -65.5381215028       0.2366513270       0.1548617469
    -60.5381215030       0.3060150693       0.1596359013
    -55.5381215032       0.0478692740       0.1344591437
    -50.5381215034       0.0916041679       0.1376621769
    -45.5381215036      -0.2177775646       0.1012390119
    -40.5381215037       0.1198808665       0.1405361759
    -35.5381215039       0.0779567717       0.1348764139
    -30.5381215041      -0.0322867914       0.1230984986
    -25.5381215043       0.1462019758       0.1402964981
