# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -298.9342541049       0.0901249188       0.0924904439
   -293.9342541051      -0.0383037123       0.0724962666
   -288.9342541053       0.0036866229       0.0781211420
   -283.9342541055       0.0777495368       0.0890581305
   -278.9342541057       0.0900956198       0.0891181914
   -273.9342541059      -0.0053507278       0.0752632808
   -268.9342541060       0.0187281223       0.0790207690
   -263.9342541062      -0.0364072533       0.0689822887
   -258.9342541064      -0.0822770345       0.0608814154
   -253.9342541066       0.0234275896       0.0770132457
   -248.9342541050       0.0234471101       0.0770188808
   -243.9342541052      -0.0066112364       0.0713806649
   -238.9342541054       0.0150230333       0.0745870593
   -233.9342541056      -0.0557618004       0.0625307730
   -228.9342541058      -0.1182621088       0.0510685994
   -223.9342541060       0.0599829955       0.0783213062
   -218.9342541062      -0.0614121213       0.0606473326
   -213.9342541064       0.0118176732       0.0707719217
   -208.9342541065      -0.0077904058       0.0680013867
   -203.9342541050      -0.0527434847       0.0602763751
   -198.9342541051      -0.0668297568       0.0588414541
   -193.9342541053      -0.0394692298       0.0614736071
   -188.9342541055      -0.0024462420       0.0668158234
   -183.9342541057      -0.0765069239       0.0556157318
   -178.9342541059      -0.0449608164       0.0598178315
   -173.9342541061      -0.0811298851       0.0540747447
   -168.9342541063      -0.0501648082       0.0582487689
   -163.9342541065       0.0200319695       0.0680059957
   -158.9342541049      -0.0038801955       0.0640020982
   -153.9342541051       0.0815526821       0.0745387323
   -148.9342541053      -0.0098022904       0.0624193518
   -143.9342541054      -0.0266468850       0.0601037727
   -138.9342541056       0.0332819832       0.0670941100
   -133.9342541058      -0.0155437299       0.0608848876
   -128.9342541060       0.0424730092       0.0673701003
   -123.9342541062       0.0106196496       0.0634934422
   -118.9342541064       0.0824915091       0.0711053456
   -113.9342541066       0.0822585551       0.0710545108
   -108.9342541050       0.0048585941       0.0620531783
   -103.9342541052       0.0598128110       0.0677901865
    -98.9342541054       0.0901258442       0.0710981671
    -93.9342541056       0.2418327026       0.0857697230
    -88.9342541058       0.0827962561       0.0695354937
    -83.9342541059       0.1481944868       0.0753535644
    -78.9342541061       0.3799609731       0.0950546604
    -73.9342541063       0.2535441283       0.0839911336
    -68.9342541065       0.4091513258       0.0962066792
    -63.9342541049       0.4793925360       0.1002269279
    -58.9342541051       0.5209141014       0.1030539059
    -53.9342541053       0.4372201461       0.0962477356
    -48.9342541055       0.7497810043       0.1162376742
    -43.9342541057       1.1711787380       0.1373915766
    -38.9342541059       1.1969199553       0.1385904374
    -33.9342541061       1.3042310289       0.1436896737
    -28.9342541062       1.5743836431       0.1541785047
    -23.9342541064       1.7967858971       0.1633419272
    -18.9342541066       2.1174702786       0.1740422837
    -13.9342541050       2.0395735729       0.1711126649
     -8.9342541052       2.0858833151       0.1712489420
     -3.9342541054       2.3719871378       0.1849325538
      1.0657458944       2.6405156441       0.1905714781
      6.0657458942       2.8977697020       0.2006790397
     11.0657458940       2.8234054382       0.1983721850
     16.0657458938       3.0908076251       0.2067759335
     21.0657458936       3.4772411822       0.2184808790
     26.0657458934       3.1403460311       0.2063078393
     31.0657458950       2.9891966614       0.2036315587
     36.0657458948       3.2681961128       0.2121405077
     41.0657458947       3.2839881707       0.2127067433
     46.0657458945       3.1786875046       0.2094255463
     51.0657458943       3.5268127148       0.2198805950
     56.0657458941       3.4356006495       0.2171618336
     61.0657458939       3.2563659032       0.2118126914
     66.0657458937       3.3339448493       0.2141672872
     71.0657458935       3.6544097900       0.2235520919
     76.0657458951       3.2318250865       0.2111021029
     81.0657458949       3.4347144575       0.2171095234
     86.0657458947       3.3618698991       0.2150696339
     91.0657458945       3.1528253660       0.2086256474
     96.0657458943       3.0652955759       0.2059875326
    101.0657458942       2.6921738918       0.1939851512
    106.0657458940       2.8339618284       0.1986398903
    111.0657458938       2.5241857541       0.1883072370
    116.0657458936       2.3603085955       0.1827412978
    121.0657458934       2.2938331007       0.1803100443
    126.0657458950       2.1546704625       0.1753609249
    131.0657458948       1.7819135821       0.1611216472
    136.0657458946       1.5898125369       0.1532970969
    141.0657458944       1.7697656258       0.1606644465
    146.0657458942       1.9879933166       0.1691580126
    151.0657458940       1.7565049676       0.1601168717
    156.0657458939       1.6821159434       0.1556650284
    161.0657458937       1.4495101782       0.1473449244
    166.0657458935       1.3206151065       0.1415951206
    171.0657458951       1.2446367045       0.1381564796
    176.0657458949       1.3911530308       0.1461947639
    181.0657458947       1.2182413820       0.1368909609
    186.0657458945       1.3077207244       0.1410068040
    191.0657458943       0.9877544556       0.1256494928
    196.0657458941       0.9100034250       0.1215745599
    201.0657458939       0.8889322568       0.1193534637
    206.0657458937       0.9866693704       0.1255387467
    211.0657458935       1.1412719164       0.1332357024
    216.0657458951       0.8147913671       0.1175717207
    221.0657458949       1.0386468361       0.1282000955
    226.0657458948       1.1152123911       0.1319556445
    231.0657458946       0.9616234946       0.1242839512
    236.0657458944       1.0251104324       0.1274854842
    241.0657458942       0.7368193500       0.1131806833
    246.0657458940       0.7630754495       0.1146932938
    251.0657458938       0.8626285488       0.1213973691
    256.0657458936       0.8363544746       0.1199676215
    261.0657458934       0.8813287202       0.1249647599
    266.0657458950       0.8449471347       0.1216757792
    271.0657458948       0.6449280483       0.1110352709
    276.0657458946       0.9370083487       0.1280282853
    281.0657458945       0.6356554581       0.1116343280
    286.0657458943       0.6498207995       0.1125294625
    291.0657458941       0.6633104833       0.1133330753
    296.0657458939       0.8430229384       0.1254440173
    301.0657458937       0.7061074850       0.1159951966
    306.0657458935       0.2600883761       0.0863396757
    311.0657458951       0.4523279980       0.1014756661
    316.0657458949       0.7261458951       0.1211875018
    321.0657458947       0.5738471070       0.1112070012
    326.0657458945       0.4848428125       0.1062184393
    331.0657458943       0.5778129016       0.1127959651
    336.0657458941       0.4542602868       0.1051693288
    341.0657458940       0.6922282145       0.1218024452
    346.0657458938       0.6447529253       0.1186782958
    351.0657458936       0.5039629637       0.1101858926
    356.0657458934       0.6053234996       0.1188386367
    361.0657458950       0.5729172544       0.1166101962
    366.0657458948       0.6440837708       0.1230654929
    371.0657458946       0.7472650249       0.1300746661
    376.0657458944       0.7463492796       0.1299544229
    381.0657458942       0.2299709953       0.0910914608
    386.0657458940       0.5928947645       0.1194641263
    391.0657458938       0.5669415188       0.1207917419
    396.0657458937       0.8001020523       0.1370125077
    401.0657458935       0.4417161771       0.1126248630
    406.0657458950       0.4407191176       0.1124609474
    411.0657458949       0.7279290742       0.1360068512
    416.0657458947       0.4604466484       0.1157041335
    421.0657458945       0.4424126274       0.1159157367
    426.0657458943       0.7558675850       0.1399190252
    431.0657458941       0.3217221759       0.1067893820
    436.0657458939       0.7253466542       0.1398199131
    441.0657458937       0.6511840905       0.1364157981
    446.0657458935       0.4644382985       0.1213853982
    451.0657458951       0.6157229253       0.1358320073
    456.0657458949       0.7235926533       0.1441439143
    461.0657458947       0.6154562532       0.1357898428
    466.0657458946       0.9555831694       0.1631546995
    471.0657458944       1.1318296342       0.1746485113
    476.0657458942       1.0197467341       0.1703164843
    481.0657458940       0.9499075231       0.1654756168
    486.0657458938       0.8993112191       0.1649295352
    491.0657458936       0.7070563607       0.1502730914
    496.0657458934       0.8428982705       0.1637587093
    501.0657458950       0.8900829647       0.1671161808
