# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -314.1297002186      -0.2487565752       0.2163294497
   -309.1297002188      -0.1933602623       0.2233091672
   -304.1297002189      -0.2801224247       0.2082308222
   -299.1297002191      -0.1190473611       0.2280536207
   -294.1297002193      -0.1534986279       0.2199333792
   -289.1297002195      -0.2054657743       0.2137056959
   -284.1297002197       0.3647180847       0.2742727576
   -279.1297002199      -0.2355890825       0.2063997205
   -274.1297002201      -0.1360800400       0.2180635301
   -269.1297002203      -0.0707442107       0.2216772374
   -264.1297002187       0.2194599999       0.2513507735
   -259.1297002189       0.1770223103       0.2431836364
   -254.1297002191      -0.1035748459       0.2145130055
   -249.1297002193      -0.2244868158       0.1977816248
   -244.1297002194       0.0472461721       0.2267686206
   -239.1297002196       0.0577718853       0.2244291894
   -234.1297002198      -0.1188075143       0.2063333969
   -229.1297002200      -0.3178565787       0.1811938387
   -224.1297002202      -0.1474382755       0.2002292981
   -219.1297002186      -0.2569553644       0.1855134940
   -214.1297002188      -0.1904151519       0.1955628971
   -209.1297002190       0.1634792833       0.2245203160
   -204.1297002192      -0.1591468357       0.1933867132
   -199.1297002194      -0.1597183052       0.1932675536
   -194.1297002196       0.3252335495       0.2353050801
   -189.1297002197       0.1294794417       0.2184137642
   -184.1297002199      -0.0940576200       0.1946529737
   -179.1297002201       0.2114378977       0.2226111366
   -174.1297002185       0.2159678861       0.2201736394
   -169.1297002187      -0.1566091630       0.1859975536
   -164.1297002189      -0.0707082875       0.1919849079
   -159.1297002191       0.2190979369       0.2176158113
   -154.1297002193       0.1875282758       0.2123542011
   -149.1297002195       0.0454990732       0.2001281904
   -144.1297002197      -0.1884429001       0.1761424973
   -139.1297002199      -0.3614933120       0.1582305819
   -134.1297002201       0.0942039218       0.1995917730
   -129.1297002202       0.1279542832       0.2024252024
   -124.1297002187      -0.1756480543       0.1753121931
   -119.1297002188      -0.1636419192       0.1744221023
   -114.1297002190       0.2657928274       0.2112077961
   -109.1297002192      -0.0643618001       0.1835988494
   -104.1297002194      -0.1192851685       0.1766061575
    -99.1297002196      -0.2347800119       0.1639322425
    -94.1297002198      -0.1085958353       0.1756541822
    -89.1297002200      -0.2528217998       0.1604600988
    -84.1297002202       0.0558818440       0.1878223536
    -79.1297002186      -0.2701067815       0.1571336025
    -74.1297002188      -0.1493896383       0.1683273989
    -69.1297002190      -0.0499539105       0.1752246519
    -64.1297002191      -0.4056369741       0.1419899664
    -59.1297002193      -0.3901194010       0.1421678805
    -54.1297002195       0.0448949602       0.1811837076
    -49.1297002197      -0.1291707155       0.1666665113
    -44.1297002199       0.0505424153       0.1797975176
    -39.1297002201       0.0799157559       0.1821786746
    -34.1297002203       0.0010035423       0.1741554559
    -29.1297002187       0.2525539714       0.1932897835
    -24.1297002189       0.9373933713       0.2352840935
    -19.1297002191       0.8180330710       0.2326875891
    -14.1297002193       0.6641435775       0.2188425636
     -9.1297002195       1.6165251359       0.2744604625
     -4.1297002196       1.5050483847       0.2687411002
      0.8702997802       2.2574074919       0.3052644425
      5.8702997800       1.8666080318       0.2868406229
     10.8702997798       1.8648881961       0.2840067888
     15.8702997814       0.8909948924       0.2346969704
     20.8702997812       0.7218213506       0.2243066816
     25.8702997810       0.4448675923       0.2065026342
     30.8702997808       0.3610606699       0.2007539888
     35.8702997806       0.0270660770       0.1760855826
     40.8702997804      -0.0295488236       0.1714758462
     45.8702997802       0.2500128785       0.1929230083
     50.8702997800       0.3036240985       0.1966069435
     55.8702997799       0.2765631611       0.1947371560
     60.8702997814       0.2762422601       0.1946913130
     65.8702997813       0.4711342557       0.2081605858
     70.8702997811       0.9712924998       0.2392247871
     75.8702997809       1.2777325579       0.2564475392
     80.8702997807       1.5550477803       0.2710270288
     85.8702997805       2.8889665314       0.3324533181
     90.8702997803       4.5017808446       0.3941737764
     95.8702997801       6.0837497169       0.4464062835
    100.8702997799       6.1138967281       0.4474169060
    105.8702997797       6.8580169985       0.4697748698
    110.8702997813       5.9740124518       0.4430220345
    115.8702997811       5.7428792659       0.4354314986
    120.8702997810       4.7769410333       0.4036626005
    125.8702997808       4.7428533407       0.4022702862
    130.8702997806       3.3021700476       0.3491515538
    135.8702997804       2.2441543299       0.3040545998
    140.8702997802       2.3730145834       0.3069908797
    145.8702997800       2.3267860612       0.3077743796
    150.8702997798       1.5775527062       0.2719086337
    155.8702997814       1.6886581399       0.2775255071
    160.8702997812       1.6017872007       0.2758223921
    165.8702997810       1.7717968004       0.2816459032
    170.8702997808       1.7438339527       0.2802544185
    175.8702997806       1.6599637646       0.2760397361
    180.8702997805       1.0486321751       0.2433319398
    185.8702997803       1.5273000921       0.2667797478
    190.8702997801       1.4649246689       0.2660145157
    195.8702997799       1.3557102233       0.2603508174
    200.8702997815       1.2325781214       0.2561100403
    205.8702997813       1.0224985878       0.2419298481
    210.8702997811       1.2699200193       0.2556001505
    215.8702997809       0.6333891182       0.2184384467
    220.8702997807       0.6043592587       0.2165047546
    225.8702997805       0.7516150735       0.2280021381
    230.8702997803       1.0333912332       0.2447951475
    235.8702997802       0.7881064332       0.2325283342
    240.8702997800       0.6719940743       0.2251645054
    245.8702997798       0.5661422528       0.2228553061
    250.8702997814       0.5899746460       0.2220673303
