# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -331.1748165631       0.0108540476       0.0579814180
   -325.4748165633      -0.0667001761       0.0464641257
   -319.7748165635      -0.0121505438       0.0537898354
   -314.0748165637      -0.0123001590       0.0537483396
   -308.3748165640      -0.0333807976       0.0498575893
   -302.6748165642      -0.0192519014       0.0518202731
   -296.9748165644      -0.0046775959       0.0538304116
   -291.2748165646       0.0576349417       0.0605032368
   -285.5748165648      -0.0533904521       0.0460414158
   -279.8748165650      -0.0584775607       0.0445075949
   -274.1748165632      -0.0451116602       0.0464711810
   -268.4748165634      -0.0113507886       0.0502821074
   -262.7748165637       0.0665459243       0.0594945934
   -257.0748165639      -0.0551747163       0.0435662269
   -251.3748165641      -0.0049003739       0.0502980448
   -245.6748165643       0.1110156386       0.0621900330
   -239.9748165645      -0.0598081229       0.0422286776
   -234.2748165647       0.0898016145       0.0591788336
   -228.5748165650      -0.1351214833       0.0289738180
   -222.8748165632       0.0124340694       0.0501334455
   -217.1748165634       0.0068218251       0.0501844003
   -211.4748165636      -0.0049016642       0.0474211473
   -205.7748165638      -0.0049952098       0.0473990984
   -200.0748165640       0.0397340870       0.0524104158
   -194.3748165642      -0.0103713068       0.0461319402
   -188.6748165644       0.0113083356       0.0486123166
   -182.9748165647      -0.0155595295       0.0449090644
   -177.2748165649       0.0585463219       0.0529277750
   -171.5748165631      -0.0204667321       0.0437524256
   -165.8748165633      -0.0101357445       0.0449555751
   -160.1748165635       0.0553834369       0.0512796606
   -154.4748165637      -0.0452353614       0.0402142980
   -148.7748165639       0.0881902499       0.0537284432
   -143.0748165641      -0.0393890974       0.0404315269
   -137.3748165644       0.1195741766       0.0558513834
   -131.6748165646      -0.0625233537       0.0370694079
   -125.9748165648       0.0370868172       0.0476913983
   -120.2748165650      -0.0564898765       0.0374006692
   -114.5748165632      -0.0565203811       0.0373930430
   -108.8748165634      -0.0233099038       0.0408714429
   -103.1748165636      -0.0599252642       0.0365418223
    -97.4748165638      -0.0598918099       0.0365501859
    -91.7748165641      -0.0274045020       0.0399558629
    -86.0748165643       0.0123706799       0.0436926466
    -80.3748165645       0.1172351734       0.0531547508
    -74.6748165647      -0.0007987585       0.0419054204
    -68.9748165649       0.0247977311       0.0444348559
    -63.2748165631      -0.0134920244       0.0401599864
    -57.5748165633       0.0701788523       0.0480926787
    -51.8748165636      -0.0666045360       0.0338308135
    -46.1748165638       0.0563329197       0.0463907079
    -40.4748165640       0.0109699765       0.0417737033
    -34.7748165642       0.0592036074       0.0461821338
    -29.0748165644       0.2198211212       0.0585037425
    -23.3748165646       0.2983766179       0.0630586464
    -17.6748165648       0.2823758116       0.0620355444
    -11.9748165651       0.7059338442       0.0839588352
     -6.2748165633       0.6363344446       0.0806898722
     -0.5748165635       0.9996728618       0.0956234174
      5.1251834363       0.9602132810       0.0958697490
     10.8251834361       0.6963362801       0.0827255155
     16.5251834359       0.9685192572       0.0952735986
     22.2251834357       0.6361720431       0.0806743170
     27.9251834355       0.6670391670       0.0821373230
     33.6251834352       0.4970581569       0.0737102227
     39.3251834350       0.3472398441       0.0647626586
     45.0251834368       0.2807021062       0.0613303623
     50.7251834366       0.2187623024       0.0572874171
     56.4251834364       0.1337392340       0.0512315696
     62.1251834362       0.2110465105       0.0567654366
     67.8251834360       0.1954643198       0.0556859191
     73.5251834358       0.3732183720       0.0668930637
     79.2251834355       0.3652777693       0.0664204508
     84.9251834353       0.5199293156       0.0748834381
     90.6251834351       1.1066404269       0.1006820236
     96.3251834369       1.2840027830       0.1072594093
    102.0251834367       1.6622658187       0.1201026250
    107.7251834365       1.5314957761       0.1158392220
    113.4251834363       1.3918847626       0.1110671012
    119.1251834361       1.0059557067       0.0967319820
    124.8251834358       0.7665345400       0.0866485083
    130.5251834356       0.4424469104       0.0707614567
    136.2251834354       0.3959439045       0.0681672055
    141.9251834352       0.4268394842       0.0698956508
