# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -290.4105452176       0.1297293439       0.2849227306
   -279.0105452180      -0.4665173932       0.2510899620
   -267.6105452184      -0.1639145396       0.2611450993
   -256.2105452189       0.1417034131       0.2703139538
   -244.8105452193      -0.1208925750       0.2542572243
   -233.4105452177      -0.0571520406       0.2529398721
   -222.0105452181      -0.0398798450       0.2497277810
   -210.6105452186      -0.1277345178       0.2421943049
   -199.2105452190      -0.2912749925       0.2316021577
   -187.8105452194       0.1419208614       0.2461535433
   -176.4105452178       0.1134596153       0.2416063429
   -165.0105452183       0.1048580382       0.2379901820
   -153.6105452187      -0.1358737426       0.2284326991
   -142.2105452191      -0.1200493404       0.2260287293
   -130.8105452175      -0.0870007714       0.2244182512
   -119.4105452180      -0.0901696429       0.2214691035
   -108.0105452184       0.4918644927       0.2399580337
    -96.6105452188       0.9479753150       0.2522801528
    -85.2105452193       0.5066800824       0.2375555682
    -73.8105452177       1.2368002274       0.2554067054
    -62.4105452181       1.4784840949       0.2597301994
    -51.0105452185       1.8586113704       0.2676796591
    -39.6105452190       3.1120563349       0.2973237070
    -28.2105452194       7.2818162247       0.3821956375
    -16.8105452178      17.7690959775       0.5382603857
     -5.4105452182      33.0990683022       0.7028455468
      5.9894547813      34.0438387049       0.7049738966
     17.3894547809      19.5389235479       0.5443698048
     28.7894547805      11.9518652047       0.4431725900
     40.1894547821       8.0526044976       0.3808363130
     51.5894547816       8.0016624322       0.3763785215
     62.9894547812      13.4604625625       0.4651509020
     74.3894547808      24.4173591696       0.6006947407
     85.7894547824      31.9604402080       0.6784587823
     97.1894547819      28.0187115925       0.6390167123
    108.5894547815      18.5037067308       0.5370689546
    119.9894547811      11.4973994665       0.4364655460
    131.3894547806       7.4628935419       0.3705517301
    142.7894547822       5.9989290220       0.3435120829
    154.1894547818       4.4695085045       0.3127869285
    165.5894547814       4.4819076930       0.3130316121
    176.9894547809       4.5735057749       0.3149401979
    188.3894547805       3.7161034258       0.2964414101
    199.7894547821       3.4659149314       0.2908316968
    211.1894547817       2.8594786392       0.2767457066
    222.5894547812       2.9512834481       0.2789124881
    233.9894547808       2.4773071415       0.2674916914
    245.3894547824       2.1093704309       0.2582962251
    256.7894547820       1.7936384971       0.2501266601
    268.1894547815       2.0672787802       0.2548244721
    279.5894547811       2.0986696583       0.2580864227
    290.9894547807       1.4054468598       0.2420904478
    302.3894547823       1.4938370143       0.2421900446
    313.7894547818       1.5735415298       0.2443660581
    325.1894547814       1.8640859914       0.2520949466
    336.5894547810       1.3131151750       0.2395629115
    347.9894547805       1.5085511239       0.2474369096
    359.3894547821       1.2772950560       0.2433790098
    370.7894547817       0.9933354461       0.2374921937
    382.1894547813       1.3543101858       0.2507336223
    393.5894547808       1.5518245609       0.2591764076
    404.9894547824       0.9351025706       0.2434311524
    416.3894547820       1.3977655619       0.2604245007
    427.7894547816       1.1304776831       0.2582100196
    439.1894547811       1.3105276168       0.2638550518
    450.5894547807       1.4347187443       0.2645400202
    461.9894547823       1.1975441012       0.2635078202
    473.3894547819       0.9752853189       0.2595342929
    484.7894547814       0.6889054547       0.2530730168
    496.1894547810       1.7052852491       0.2899611958
    507.5894547806       1.2936860319       0.2805748042
    518.9894547822       1.5452938104       0.2927606869
    530.3894547817       1.9490222999       0.3099793267
    541.7894547813       2.0131983968       0.3165810403
    553.1894547809       1.3531081575       0.2992382959
    564.5894547825       1.4453780641       0.3071388618
    575.9894547820       1.6545590985       0.3194199685
    587.3894547816       1.9457065375       0.3348127130
    598.7894547812       2.7781299006       0.3683583489
    610.1894547807       3.2762165611       0.3840594589
    621.5894547823       2.8225301633       0.3832810550
