# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -335.3315675350       0.1691468274       0.1736169688
   -329.6315675352      -0.1414341698       0.0776383471
   -323.9315675355       0.1542519005       0.1669557550
   -318.2315675357       0.0053933162       0.1295954091
   -312.5315675359       0.0689333077       0.1440029123
   -306.8315675361      -0.2190725169       0.0000000000
   -301.1315675363      -0.0027394262       0.1248999681
   -295.4315675365      -0.0801407907       0.0982395657
   -289.7315675368      -0.0800741668       0.0982866759
   -284.0315675370       0.0495938334       0.1343331752
   -278.3315675352       0.0497813296       0.1344269232
   -272.6315675354      -0.0242320990       0.1124911677
   -266.9315675356       0.2360793832       0.1720312481
   -261.2315675358       0.1584734644       0.1541325014
   -255.5315675360      -0.0303204299       0.1089760682
   -249.8315675362      -0.0359468288       0.1057276653
   -244.1315675365       0.1472171157       0.1495371163
   -238.4315675367      -0.1006597454       0.0837304737
   -232.7315675369       0.0180827675       0.1185776422
   -227.0315675351       0.1259949904       0.1408732199
   -221.3315675353       0.0178351089       0.1184538129
   -215.6315675355       0.0048357846       0.1119541507
   -209.9315675357       0.0045366536       0.1118045853
   -204.2315675359       0.0047919753       0.1119322461
   -198.5315675362      -0.0014358745       0.1088183212
   -192.8315675364       0.1079255201       0.1334963896
   -187.1315675366      -0.0071527056       0.1059599056
   -181.4315675368      -0.0068381388       0.1061171890
   -175.7315675350      -0.0641756699       0.0894297363
   -170.0315675352      -0.0641368235       0.0894521643
   -164.3315675354      -0.1183536257       0.0712190109
   -158.6315675356      -0.0679703170       0.0872388958
   -152.9315675359       0.1737956684       0.1388998790
   -147.2315675361      -0.1699136545       0.0491588624
   -141.5315675363      -0.0273941562       0.0958391803
   -135.8315675365      -0.0273668173       0.0958528498
   -130.1315675367       0.0151654685       0.1047544117
   -124.4315675369       0.0148656620       0.1046203341
   -118.7315675351       0.1556769397       0.1324939410
   -113.0315675353       0.0553090020       0.1120157860
   -107.3315675356       0.1928619760       0.1373114976
   -101.6315675358       0.0552897554       0.1120079286
    -95.9315675360       0.0943728568       0.1184712155
