# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -256.4070335505      -0.1558426492       0.2904323002
   -246.4070335509      -0.3257683064       0.2772403245
   -236.4070335512      -0.2388607265       0.2760370649
   -226.4070335516       0.0818288469       0.2849331618
   -216.4070335520      -0.3074672691       0.2637191038
   -206.4070335506      -0.4719598970       0.2522852125
   -196.4070335510      -0.1330492759       0.2625081079
   -186.4070335513      -0.2922543431       0.2520154900
   -176.4070335517       0.2057965841       0.2678381497
   -166.4070335521      -0.4268172746       0.2392458859
   -156.4070335507      -0.2794989013       0.2417458650
   -146.4070335511      -0.5475535730       0.2277874835
   -136.4070335515      -0.3977911154       0.2338602674
   -126.4070335518      -0.0035509083       0.2457723374
   -116.4070335504       0.4059052830       0.2570891398
   -106.4070335508       0.4190151215       0.2544144417
    -96.4070335512       0.9167491271       0.2674541211
    -86.4070335516       0.9300692999       0.2646552943
    -76.4070335520       2.3228102736       0.3047338134
    -66.4070335506       1.7393479340       0.2820398349
    -56.4070335509       3.6481047961       0.3271247867
    -46.4070335513       4.9230363026       0.3519051012
    -36.4070335517       7.9573839439       0.4070346458
    -26.4070335521      12.7624868941       0.4808605901
    -16.4070335507      16.5512680402       0.5289082234
     -6.4070335511      17.8556858006       0.5404000684
      3.5929664486      19.6220069634       0.5568466623
     13.5929664482      21.6051795924       0.5747985562
     23.5929664478      20.6671719872       0.5637603207
     33.5929664492      15.0419616476       0.4933270850
     43.5929664488      11.5381978917       0.4396132611
     53.5929664484       9.3349976034       0.4096394389
     63.5929664481       7.7728132987       0.3835660925
     73.5929664495       7.5641283127       0.3800023114
     83.5929664491       7.1946362786       0.3735317372
     93.5929664487       5.4462570586       0.3445221627
    103.5929664483       6.3671891522       0.3586907941
    113.5929664480       5.3367096385       0.3391833191
    123.5929664494       5.0599572602       0.3337637582
    133.5929664490       4.7695128865       0.3279693398
    143.5929664486       4.3338161921       0.3190792433
    153.5929664482       3.8319774560       0.3085195533
    163.5929664478       3.5129367475       0.3015678994
    173.5929664492       3.4998424997       0.3012835403
    183.5929664489       3.1433642693       0.2933690150
    193.5929664485       3.0129783516       0.2904581315
    203.5929664481       2.4929861091       0.2782676716
    213.5929664495       2.3338492094       0.2744494897
    223.5929664491       2.5486466036       0.2796530453
    233.5929664487       2.0847931593       0.2658433763
    243.5929664484       2.3197586100       0.2740887329
    253.5929664480       1.9399613879       0.2672280166
    263.5929664494       1.8393651431       0.2621341278
    273.5929664490       1.2807687638       0.2475581743
    283.5929664486       1.6525878207       0.2573373790
    293.5929664482       1.4930075610       0.2556506426
    303.5929664479       2.1722791693       0.2758274132
    313.5929664493       2.0456365479       0.2754185285
    323.5929664489       1.8273993924       0.2725860551
    333.5929664485       1.2759121718       0.2603425233
    343.5929664481       1.4534151065       0.2682324196
    353.5929664495       1.7446322988       0.2793320592
    363.5929664491       1.7361995353       0.2823009101
    373.5929664488       1.7016892061       0.2880637897
    383.5929664484       1.5034528255       0.2823224676
    393.5929664480       1.3407995865       0.2742391049
    403.5929664494       1.9248489153       0.2979144301
    413.5929664490       2.3849754193       0.3145285002
    423.5929664487       1.8037328810       0.3018959031
    433.5929664483       2.1729585323       0.3165600510
    443.5929664479       1.8554697787       0.3114457790
    453.5929664493       2.0186811611       0.3206583413
    463.5929664489       1.8752023323       0.3208115944
    473.5929664485       2.1697652250       0.3345345856
    483.5929664482       2.3362583941       0.3446483254
    493.5929664496       3.0071025700       0.3700171016
    503.5929664492       2.6758605450       0.3659535019
    513.5929664488       3.0646146912       0.3839654717
    523.5929664484       2.3593887207       0.3684926301
    533.5929664480       2.4575149050       0.3717419819
    543.5929664494       3.1687671138       0.4082312933
