# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -293.3700669339      -0.2548396232       0.2688138441
   -281.9700669344       0.1905885440       0.2849559993
   -270.5700669348      -0.7362086136       0.2354334434
   -259.1700669352       0.1072052875       0.2719649050
   -247.7700669356      -0.2647591074       0.2511499052
   -236.3700669341      -0.3893590174       0.2416735451
   -224.9700669345      -0.0919880695       0.2514291627
   -213.5700669349      -0.2800171201       0.2396183448
   -202.1700669354       0.3501864929       0.2624621569
   -190.7700669358      -0.0645557386       0.2420975526
   -179.3700669342      -0.2225324905       0.2321802595
   -167.9700669346      -0.0274284989       0.2370971191
   -156.5700669351       0.0147040866       0.2389456695
   -145.1700669355       0.2890392073       0.2463395228
   -133.7700669339       0.2222009563       0.2406005749
   -122.3700669343      -0.2107803631       0.2208924652
   -110.9700669348      -0.0708165320       0.2236557496
    -99.5700669352       0.1762437506       0.2300561196
    -88.1700669356       0.4026366693       0.2378681484
    -76.7700669340       0.8821620992       0.2486383315
    -65.3700669345       0.5130454878       0.2337483421
    -53.9700669349       1.2803541367       0.2553625886
    -42.5700669353       2.9875611099       0.2989876880
    -31.1700669357       5.6228652832       0.3552599417
    -19.7700669342       8.4346640535       0.4049817783
     -8.3700669346      10.2412345932       0.4313531661
      3.0299330650      11.3098952778       0.4438605282
     14.4299330645      12.5522848160       0.4581176751
     25.8299330641       9.3882234592       0.4087646490
     37.2299330657       6.0066158858       0.3483496380
     48.6299330653       3.8853748761       0.3014870081
     60.0299330648       2.5301374719       0.2726181293
     71.4299330644       2.3012767128       0.2669076163
     82.8299330660       2.1799410784       0.2638254554
     94.2299330656       2.2461684350       0.2654820555
    105.6299330651       2.3919458505       0.2718475727
    117.0299330647       2.3540529151       0.2682081256
    128.4299330643       2.3537053450       0.2681906153
    139.8299330659       2.1624809109       0.2632766784
    151.2299330654       2.3080230925       0.2669072628
    162.6299330650       2.2546829349       0.2655716499
    174.0299330646       2.3766952923       0.2686677973
    185.4299330642       3.2755370772       0.2902420064
    196.8299330657       2.6790082925       0.2759587465
    208.2299330653       2.5832114583       0.2735736111
    219.6299330649       2.8259530191       0.2794924785
    231.0299330644       2.1228090408       0.2619317579
    242.4299330660       2.3639379745       0.2680267180
    253.8299330656       2.0785670867       0.2606927531
    265.2299330652       1.4824616235       0.2425261338
    276.6299330647       2.4600483649       0.2701413898
    288.0299330643       1.7573101531       0.2544950914
    299.4299330659       1.7264861112       0.2510231160
    310.8299330655       1.5733938725       0.2467484210
    322.2299330650       1.7784852001       0.2520089039
    333.6299330646       1.7712919622       0.2541452591
    345.0299330642       1.7636556841       0.2563270092
    356.4299330658       1.6119890340       0.2545397446
    367.8299330653       1.1779058339       0.2444015714
    379.2299330649       2.0792320893       0.2722215962
    390.6299330645       1.6100215901       0.2618067651
    402.0299330661       1.6879366225       0.2666970071
    413.4299330656       1.4754012904       0.2633066381
    424.8299330652       1.6643881017       0.2749841028
    436.2299330648       2.0478429429       0.2859025456
    447.6299330643       1.7483847595       0.2737725753
    459.0299330659       2.1068111724       0.2906816940
    470.4299330655       2.7401021238       0.3119612558
    481.8299330651       1.8671777634       0.2906214031
    493.2299330646       2.2941461908       0.3069952820
    504.6299330642       2.4864572430       0.3165998846
    516.0299330658       2.3138045027       0.3157513628
    527.4299330654       2.5576115336       0.3274112404
    538.8299330649       3.0153611865       0.3455491911
    550.2299330645       2.3715293336       0.3312506167
    561.6299330661       3.1078087485       0.3587455550
    573.0299330657       3.4554958887       0.3747265718
    584.4299330652       3.0134196727       0.3675417397
    595.8299330648       3.3356694521       0.3837341695
    607.2299330644       3.2889218916       0.3823077902
    618.6299330660       2.3474070296       0.3651822211
