# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -341.7169915388      -0.0588986040       0.1354370401
   -335.0664583843       0.1017208102       0.1493727877
   -329.3664583845      -0.2398656943       0.0536167443
   -323.6664583847      -0.0266574273       0.1193277727
   -317.9664583849      -0.1917013406       0.0719701046
   -312.2664583851       0.1112585967       0.1430975653
   -306.5664583853      -0.0951973370       0.0991425508
   -300.8664583856      -0.0468114851       0.1103146040
   -295.1664583858      -0.0105668749       0.1154997952
   -289.4664583860      -0.0642094925       0.1025339786
   -283.7664583852       0.0213345866       0.1189896510
   -278.0664583844       0.0132683263       0.1159408912
   -272.3664583846       0.1368501569       0.1360831153
   -266.6664583848       0.0011508663       0.1113609218
   -260.9664583850      -0.0419141092       0.1027023404
   -255.2664583853      -0.1724535673       0.0698760514
   -249.5664583855      -0.0521040521       0.0985423136
   -243.8664583857      -0.1384482758       0.0775170814
   -238.1664583859      -0.1389913259       0.0772455563
   -232.4664583851      -0.1815589578       0.0646190517
   -226.7664583843      -0.0665393633       0.0926491225
   -221.0664583845       0.0729117407       0.1158640128
   -215.3664583847      -0.1145809240       0.0800071896
   -209.6664583850       0.0239507823       0.1058110736
   -203.9664583852      -0.0517207029       0.0913773470
   -198.2664583854      -0.1572800844       0.0681011771
   -192.5664583856       0.1069096921       0.1155832522
   -186.8664583858       0.0357489569       0.1041121087
   -181.1664583850      -0.0993575570       0.0792511511
   -175.4664583842       0.2229837128       0.1291165378
   -169.7664583844      -0.0742159221       0.0828749534
   -164.0664583847      -0.1371594749       0.0699097547
   -158.3664583849       0.1012651712       0.1094832883
   -152.6664583851       0.0397010429       0.1004585995
   -146.9664583853      -0.1755930026       0.0589447180
   -141.2664583855       0.0590175530       0.1017579825
   -135.5664583857       0.1643896780       0.1144680292
   -129.8664583860      -0.0369003819       0.0855273522
   -124.1664583852       0.1859386103       0.1162766837
   -118.4664583844      -0.0994695274       0.0733299877
   -112.7664583846      -0.1015956899       0.0725263738
   -107.0664583848       0.0345210476       0.0946864505
   -101.3664583850       0.0312722823       0.0937486128
    -95.6664583852      -0.0568039280       0.0788928369
    -89.9664583854      -0.0834642673       0.0742526365
    -84.2664583857       0.0650191854       0.0958135893
    -78.5664583859       0.1668582401       0.1085033385
    -72.8664583851      -0.0937777968       0.0706062532
    -67.1664583843      -0.0194595358       0.0826210139
    -61.4664583845       0.0231355899       0.0878140413
    -55.7664583847      -0.0748775816       0.0728682857
    -50.0664583849      -0.1033449554       0.0672237519
    -44.3664583851       0.1093545003       0.0977023088
    -38.6664583854       0.1292313444       0.0996345942
    -32.9664583856       0.1463715965       0.1009094363
    -27.2664583858       0.3256728217       0.1191564854
    -21.5664583860       0.2720692045       0.1131103286
    -15.8664583852       0.4015526300       0.1248319834
    -10.1664583844       0.3707045377       0.1212633964
     -4.4664583846       0.6785061610       0.1482268718
      1.2335416152       0.3931492934       0.1233226996
      6.9335416149       0.7451854888       0.1515052884
     12.6335416147       0.5157109076       0.1330305667
     18.3335416145       0.5146999670       0.1328643690
     24.0335416143       0.4633477593       0.1279276524
     29.7335416141       0.3686912443       0.1189299043
     35.4335416149       0.4043334611       0.1214741561
     41.1335416157       0.3468816297       0.1169139484
     46.8335416155       0.4258345657       0.1233618485
     52.5335416152       0.4242133560       0.1230838133
     58.2335416150       0.3972338241       0.1202382679
     63.9335416148       0.4579590767       0.1252402526
     69.6335416146       0.3899877924       0.1189768957
     75.3335416144       0.5741444680       0.1338777382
     81.0335416142       0.8338706650       0.1520122615
     86.7335416150       0.6482988531       0.1388580759
     92.4335416158       0.8109218932       0.1502903935
     98.1335416155       0.6585029817       0.1388613452
    103.8335416153       0.8401807880       0.1514921209
    109.5335416151       0.6286531906       0.1359614810
    115.2335416149       1.3286269525       0.1802343768
    120.9335416147       1.1751605452       0.1707262790
    126.6335416145       1.3313473704       0.1794324354
    132.3335416142       1.0814184703       0.1643320901
    138.0335416140       1.5492521607       0.1900635617
    143.7335416148       1.3988874360       0.1814410956
    149.4335416156       1.5503224449       0.1891703896
    155.1335416154       1.9401749971       0.2073898865
    160.8335416152       1.3785028710       0.1792556408
    166.5335416150       1.4609830193       0.1829156685
    172.2335416148       1.5929285616       0.1895914390
    177.9335416145       1.7062411468       0.1942303247
    183.6335416143       1.7247038869       0.1942000697
    189.3335416141       1.7090736542       0.1945054422
    195.0335416149       1.4811535873       0.1830397302
    200.7335416157       1.6323376414       0.1916262601
    206.4335416155       1.2513062492       0.1716431875
    212.1335416153       1.6135986782       0.1897616636
    217.8335416151       1.3678428157       0.1770978672
    223.5335416148       1.1980453813       0.1678099904
    229.2335416146       1.2962161351       0.1724270197
    234.9335416144       1.1826829099       0.1660815773
    240.6335416142       1.2924461158       0.1730389916
    246.3335416150       1.3832042091       0.1787353972
    252.0335416158       1.0605124757       0.1606896330
    257.7335416156       0.9898899621       0.1556317637
    263.4335416154       1.1978482860       0.1677878155
    269.1335416151       1.0842580760       0.1612523304
    274.8335416149       0.8687040816       0.1488027359
    280.5335416147       0.6878994009       0.1374209445
    286.2335416145       0.8533988413       0.1493112249
    291.9335416143       0.7268276980       0.1414915582
    297.6335416141       0.8475806671       0.1511375005
    303.3335416149       0.7588269718       0.1459290591
    309.0335416157       0.7785423346       0.1472539274
    314.7335416154       0.8714811467       0.1543031964
    320.4335416152       0.4915094097       0.1273424932
    326.1335416150       0.6875668617       0.1431007478
    331.8335416148       0.3119077721       0.1124181399
    337.5335416146       0.7612644074       0.1491637294
    343.2335416144       0.5510041345       0.1335250512
    348.9335416141       0.6450142476       0.1414836989
    354.6335416149       0.6878217967       0.1462841985
    360.3335416157       0.3240122171       0.1166955211
    366.0335416155       0.5318548266       0.1356846106
    371.7335416153       0.4960641095       0.1334577249
    377.4335416151       0.6197958932       0.1444019833
    383.1335416149       0.6073463794       0.1442480555
    388.8335416147       0.7114858911       0.1532562335
    394.5335416144       0.2908760699       0.1168717017
    400.2335416142       0.6288758091       0.1476955234
    405.9335416140       0.5062992452       0.1392241208
    411.6335416148       0.3199903163       0.1226945510
    417.3335416156       0.6508890601       0.1531972866
    423.0335416154       0.4867486991       0.1401336491
    428.7335416152       0.3860137195       0.1307690966
    434.4335416150       0.2926716338       0.1222215729
    440.1335416147       0.4719131102       0.1397414692
    445.8335416145       0.4551950484       0.1390259191
    451.5335416143       0.4497186122       0.1404517968
    457.2335416141       0.7548076632       0.1678607586
    462.9335416149       0.7701499993       0.1703174986
    468.6335416157       0.5910239179       0.1563601107
    474.3335416155       1.0245496083       0.1922547333
    480.0335416153       0.7588998620       0.1730105845
    485.7335416150       0.7461715830       0.1732756703
    491.4335416148       0.9073027929       0.1875311468
    497.1335416146       1.1044562859       0.2039103202
    502.8335416144       1.0948813704       0.2047030759
    508.5335416142       1.0556262681       0.2033857901
    514.2335416150       0.9525014439       0.1970073498
    519.9335416158       1.0358412746       0.2051191021
    525.6335416156       1.0361058034       0.2051599198
    531.3335416153       0.8637574696       0.1928733180
    537.0335416151       1.4072853861       0.2358540615
    542.7335416149       1.5679226563       0.2487407187
    548.4335416147       1.2974434617       0.2320603929
    554.1335416145       0.8415917707       0.1975910577
    559.8335416143       1.4248916835       0.2454820174
    565.5335416140       1.5606702662       0.2571247173
    571.2335416148       1.3061320834       0.2411509627
    577.8840747704       1.4710420506       0.3529048978
