# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -294.2027379318      -0.5760645524       0.2454668712
   -282.8027379322       0.0396636179       0.2710133882
   -271.4027379326       0.1520697270       0.2711689675
   -260.0027379331      -0.2329121782       0.2490271349
   -248.6027379335       0.3772168324       0.2714766051
   -237.2027379319      -0.1429905501       0.2448829088
   -225.8027379323      -0.1445304899       0.2409509830
   -214.4027379328       0.2024643602       0.2518072055
   -203.0027379332      -0.0475659719       0.2378463284
   -191.6027379336       0.1221518406       0.2413088223
   -180.2027379320      -0.0743325521       0.2300447953
   -168.8027379325      -0.1873247876       0.2223060314
   -157.4027379329      -0.2056182578       0.2215520728
   -146.0027379333       0.1327838367       0.2319745601
   -134.6027379317      -0.5860235077       0.1999356914
   -123.2027379322       0.3027931125       0.2323720479
   -111.8027379326       0.3406719270       0.2308904508
   -100.4027379330      -0.2194572972       0.2074135835
    -89.0027379334       0.4726437432       0.2327230515
    -77.6027379319       0.1045550482       0.2145730396
    -66.2027379323       0.1734292474       0.2146085802
    -54.8027379327       0.7973248600       0.2328551419
    -43.4027379332       1.6533515726       0.2556844362
    -32.0027379336       3.0937124083       0.2903397262
    -20.6027379320       5.7861101644       0.3460107136
     -9.2027379324       6.7479709648       0.3610120494
      2.1972620671       8.2286360336       0.3839198936
     13.5972620667       8.8206838016       0.3901992224
     24.9972620663       7.3762253667       0.3653197483
     36.3972620679       4.4511228121       0.3089188482
     47.7972620674       2.2848315839       0.2569116331
     59.1972620670       1.6564060931       0.2431115416
     70.5972620666       1.4481170422       0.2374693878
     81.9972620682       2.1759417568       0.2566147946
     93.3972620677       1.9285464460       0.2502596265
    104.7972620673       2.1418254276       0.2582192480
    116.1972620669       1.8878489901       0.2491561344
    127.5972620665       2.0309770734       0.2528657847
    138.9972620680       2.6146762384       0.2674178534
    150.3972620676       2.6402639198       0.2680291006
    161.7972620672       3.0808732347       0.2784770636
    173.1972620668       3.3015572230       0.2835740898
    184.5972620663       3.4185000901       0.2862407702
    195.9972620679       3.1321299430       0.2796536663
    207.3972620675       2.7037920458       0.2695299143
    218.7972620670       2.6513455765       0.2682513442
    230.1972620666       2.8981720144       0.2741628550
    241.5972620682       2.0153683287       0.2523972151
    252.9972620678       2.2879992384       0.2593140265
    264.3972620673       2.7506586274       0.2680810328
    275.7972620669       1.9244334217       0.2500460889
    287.1972620665       2.0055094199       0.2545987014
    298.5972620681       2.0277631911       0.2527006987
    309.9972620676       1.8719379896       0.2486648058
    321.3972620672       1.8334228123       0.2476686769
    332.7972620668       1.8331317959       0.2500696116
    344.1972620664       1.4957853470       0.2433791338
    355.5972620679       1.6958201258       0.2513997265
    366.9972620675       1.5242439019       0.2492114580
    378.3972620671       1.5748616124       0.2532808247
    389.7972620667       1.5253648325       0.2546008246
    401.1972620682       1.0835893199       0.2442058797
    412.5972620678       1.0360045700       0.2454874346
    423.9972620674       1.4480497441       0.2641145028
    435.3972620669       1.6398912583       0.2698579529
    446.7972620665       1.2678607783       0.2555255854
    458.1972620681       1.9317025056       0.2817916971
    469.5972620677       1.1410281341       0.2608616031
    480.9972620672       2.4556466871       0.3042052940
    492.3972620668       1.6544515569       0.2841403713
    503.7972620664       2.7251426214       0.3200546895
    515.1972620680       2.4689363067       0.3169866509
    526.5972620675       2.6215487545       0.3260108141
    537.9972620671       2.7434728645       0.3343915905
    549.3972620667       3.3837175137       0.3581623819
    560.7972620683       2.8211450400       0.3470363554
    572.1972620678       4.0504707791       0.3886922274
    583.5972620674       3.2026730089       0.3702125290
    594.9972620670       3.6911196277       0.3913136203
    606.3972620666       3.9476907171       0.3988868715
    617.7972620681       4.1545718049       0.4196050003
