# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -291.1308974458      -0.0608776750       0.2870257814
   -279.7308974462      -0.3035545408       0.2704318466
   -268.3308974466      -0.4052345731       0.2608239866
   -256.9308974471      -0.4052547377       0.2562856990
   -245.5308974475       0.1004650760       0.2740767380
   -234.1308974459      -0.1383469569       0.2595793353
   -222.7308974463       0.0045157459       0.2614614770
   -211.3308974468       0.2007423456       0.2652999145
   -199.9308974472      -0.0814593045       0.2501516677
   -188.5308974476      -0.3666469482       0.2348775677
   -177.1308974460       0.1495881033       0.2520442328
   -165.7308974465      -0.3507794693       0.2290616535
   -154.3308974469       0.0021339561       0.2429492099
   -142.9308974473      -0.2631631675       0.2294527344
   -131.5308974457       0.1396852031       0.2417017261
   -120.1308974462      -0.0295842668       0.2324522221
   -108.7308974466       0.5994835482       0.2515609628
    -97.3308974470       0.3454866157       0.2400085780
    -85.9308974475       0.6411707802       0.2499225567
    -74.5308974459       1.6580070095       0.2748468819
    -63.1308974463       1.9191766564       0.2790598715
    -51.7308974467       2.5577118641       0.2928268447
    -40.3308974472       4.3723692073       0.3324827540
    -28.9308974476       8.6666176985       0.4121926123
    -17.5308974460      20.6945912399       0.5793751112
     -6.1308974464      37.8108782699       0.7516394245
      5.2691025531      39.0217330021       0.7551522658
     16.6691025527      25.9187700126       0.6209267882
     28.0691025523      15.6677430853       0.4996074520
     39.4691025539      12.2337555156       0.4517495013
     50.8691025534      12.4361506632       0.4503819053
     62.2691025530      18.7239888071       0.5385565547
     73.6691025526      24.2050913576       0.6021706671
     85.0691025542      26.2638733833       0.6243232692
     96.4691025537      21.1104101999       0.5670155082
    107.8691025533      14.4153244251       0.4872306929
    119.2691025529       9.9694002823       0.4170346501
    130.6691025524       7.1732443336       0.3699506538
    142.0691025540       5.7030352858       0.3426228074
    153.4691025536       5.3975653170       0.3366502582
    164.8691025532       4.1656372073       0.3114717115
    176.2691025527       4.4949668268       0.3183596409
    187.6691025523       3.7543615075       0.3025859995
    199.0691025539       3.1189604029       0.2883524796
    210.4691025535       3.2508200826       0.2913517300
    221.8691025530       2.6282752351       0.2768390184
    233.2691025526       2.6819998635       0.2781389262
    244.6691025542       2.1129470600       0.2642546876
    256.0691025538       2.0468216159       0.2625947927
    267.4691025533       2.0523725021       0.2602456318
    278.8691025529       2.0604176472       0.2629462742
    290.2691025525       1.5026471763       0.2509630926
    301.6691025541       1.3726889484       0.2450411248
    313.0691025536       1.6630099407       0.2527376557
    324.4691025532       1.3314742491       0.2438846334
    335.8691025528       1.3109433068       0.2456787297
    347.2691025523       0.9738198933       0.2385885183
    358.6691025539       1.6050036487       0.2587188479
    370.0691025535       1.6179226425       0.2617392221
    381.4691025531       0.8415030946       0.2420740961
    392.8691025526       1.0772668794       0.2517640432
    404.2691025542       0.9732524504       0.2514135053
    415.6691025538       1.4579409510       0.2687341503
    427.0691025534       1.2529185750       0.2688985939
    438.4691025529       1.1217611685       0.2648701154
    449.8691025525       1.1023098630       0.2611879369
    461.2691025541       0.9582697155       0.2629242615
    472.6691025537       1.1650714714       0.2728026405
    484.0691025532       1.0826255534       0.2736481538
    495.4691025528       1.2304333523       0.2820015777
    506.8691025524       0.9776114550       0.2774456875
    518.2691025540       1.2841189968       0.2915066036
    529.6691025535       1.8040456466       0.3124349333
    541.0691025531       1.6266181665       0.3112838759
    552.4691025527       1.3958933933       0.3082328469
    563.8691025543       2.0964307243       0.3361747348
    575.2691025538       3.1073153859       0.3728823217
    586.6691025534       3.4997842792       0.3907280058
    598.0691025530       2.2119847290       0.3569185993
    609.4691025525       3.0399659765       0.3833772042
    620.8691025541       2.9908298067       0.3957461950
