# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -343.8664057557       0.1766589160       0.2946172027
   -338.1664057559       0.1120234035       0.2874456956
   -332.4664057561       0.0031019481       0.2701886112
   -326.7664057563      -0.2384070700       0.2417027962
   -321.0664057566       0.1934072693       0.2854932396
   -315.3664057568       0.4248189531       0.3080480771
   -309.6664057570       0.0781831416       0.2736220971
   -303.9664057572       0.4265932923       0.3030197971
   -298.2664057574      -0.0240903834       0.2577432322
   -292.5664057576       0.5354341156       0.3077067737
   -286.8664057558      -0.0626282448       0.2493335814
   -281.1664057560      -0.6260227468       0.1746340164
   -275.4664057563      -0.3634482819       0.2104424932
   -269.7664057565       0.3268995303       0.2797251572
   -264.0664057567       0.3223254976       0.2788900569
   -258.3664057569      -0.2652118390       0.2156522617
   -252.6664057571       0.5237901994       0.2922557703
   -246.9664057573       0.4259979262       0.2797512671
   -241.2664057576       0.1375775689       0.2537645579
   -235.5664057557       0.0074918426       0.2378320173
   -229.8664057560       0.3291924394       0.2712480518
   -224.1664057562       0.0647324439       0.2399981233
   -218.4664057564      -0.6162800723       0.1633420627
   -212.7664057566       0.0639551018       0.2398512194
   -207.0664057568       0.0727144907       0.2373061533
   -201.3664057570      -0.0586776676       0.2248551087
   -195.6664057573       0.1683847695       0.2428210033
   -189.9664057575      -0.0471529821       0.2228697656
   -184.2664057557       0.0085993086       0.2254002629
   -178.5664057559       0.0472618646       0.2286705381
   -172.8664057561       0.0592893182       0.2271122646
   -167.1664057563      -0.5130998710       0.1678633648
   -161.4664057565       0.0666117130       0.2248298987
   -155.7664057567      -0.1733135063       0.2023731711
   -150.0664057570      -0.0796549104       0.2090118659
   -144.3664057572       0.1501279665       0.2290953251
   -138.6664057574       0.6142278027       0.2626144178
   -132.9664057576       0.0059239507       0.2141017166
   -127.2664057558       0.0442389885       0.2175025881
   -121.5664057560      -0.2070811483       0.1920915757
   -115.8664057562       0.0525534797       0.2157060729
   -110.1664057564       0.1610670238       0.2246159162
   -104.4664057567      -0.1581716339       0.1944316763
    -98.7664057569      -0.1089136219       0.1969021247
    -93.0664057571      -0.3233816756       0.1763673158
    -87.3664057573      -0.0632095404       0.1987982001
    -81.6664057575      -0.0649324121       0.1984982866
    -75.9664057557      -0.3585126171       0.1693411275
    -70.2664057559      -0.2921547509       0.1757191533
    -64.5664057561       0.4215328099       0.2323930092
    -58.8664057564      -0.1781582043       0.1844654306
    -53.1664057566       0.2589797610       0.2182697531
    -47.4664057568      -0.1002921302       0.1894932671
    -41.7664057570       0.1608466884       0.2107883970
    -36.0664057572       0.0372042422       0.1989468207
    -30.3664057574       0.5488937665       0.2365244167
    -24.6664057577       0.4192328838       0.2252708413
    -18.9664057558       0.3567012968       0.2208887813
    -13.2664057561       1.0653260597       0.2639454152
     -7.5664057563       1.4040851465       0.2881493566
     -1.8664057565       1.4040537595       0.2830152863
      3.8335942433       1.6041191336       0.2961301621
      9.5335942431       1.7027383522       0.3015410532
     15.2335942429       2.1668762643       0.3244799464
     20.9335942426       2.1070440904       0.3217153588
     26.6335942424       1.8885319960       0.3078396557
     32.3335942442       1.1396659364       0.2707639038
     38.0335942440       1.1961548566       0.2736618641
     43.7335942438       0.9814184337       0.2613530728
     49.4335942436       0.2299178070       0.2115992683
     55.1335942434       0.2618261227       0.2139904157
     60.8335942432       0.6336001492       0.2393937655
     66.5335942429       0.4487203660       0.2271859417
     72.2335942427      -0.1449312064       0.1818377286
     77.9335942425       0.0412417210       0.1970826268
     83.6335942443       0.1670455370       0.2068765505
     89.3335942441       0.9133722146       0.2569168318
     95.0335942439       0.2604933251       0.2137960071
    100.7335942437       0.6949985568       0.2432978318
    106.4335942435       0.9150683481       0.2571225182
    112.1335942432       0.8185017361       0.2510115720
    117.8335942430       1.9107716656       0.3115989920
    123.5335942428       2.0615993534       0.3188087542
    129.2335942426       2.7554369087       0.3514513141
    134.9335942424       2.8703962794       0.3560880952
    140.6335942442       2.6896693842       0.3483693410
    146.3335942440       3.4624244263       0.3811114290
    152.0335942438       2.4097258744       0.3356391363
    157.7335942435       2.5883548974       0.3434539755
