# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -293.6780001695      -0.7515882038       0.2542658281
   -282.2780001699       0.0638542685       0.2886871015
   -270.8780001703      -0.6235432175       0.2515194998
   -259.4780001708      -0.1332614581       0.2699787711
   -248.0780001712      -0.3712779234       0.2549180863
   -236.6780001696      -0.2807006899       0.2548293478
   -225.2780001700      -0.5247890713       0.2399069615
   -213.8780001705      -0.1603660529       0.2520396951
   -202.4780001709      -0.2495905662       0.2445521403
   -191.0780001713       0.1045919400       0.2552158498
   -179.6780001697      -0.3377514199       0.2338826016
   -168.2780001702       0.1505922338       0.2498291253
   -156.8780001706       0.1694431457       0.2505393150
   -145.4780001710       0.0622127460       0.2431672707
   -134.0780001694      -0.0778347808       0.2346189792
   -122.6780001699       0.2449439953       0.2434792602
   -111.2780001703       0.0937587589       0.2350915741
    -99.8780001707       0.2155560578       0.2365998441
    -88.4780001712       0.0318218589       0.2300234220
    -77.0780001696       0.3483722061       0.2357192587
    -65.6780001700       1.1060646046       0.2570135787
    -54.2780001704       1.9212783846       0.2774118951
    -42.8780001709       3.2772283327       0.3088220239
    -31.4780001713       7.3923833210       0.3912369105
    -20.0780001697      11.4115985890       0.4550359781
     -8.6780001701      12.3321349142       0.4644823745
      2.7219998294      14.5095802612       0.4911157855
     14.1219998290      14.9362897452       0.4922566118
     25.5219998286      12.3162299132       0.4552939871
     36.9219998302       7.0944620673       0.3706448333
     48.3219998297       4.7025567747       0.3214092208
     59.7219998293       3.3244168706       0.2946131918
     71.1219998289       2.3574818241       0.2716828269
     82.5219998305       2.6887847177       0.2796456735
     93.9219998300       2.2465257367       0.2688395403
    105.3219998296       2.3505774176       0.2740099099
    116.7219998292       2.1908132306       0.2673949089
    128.1219998287       2.0991267827       0.2651406902
    139.5219998303       2.6183151261       0.2778690691
    150.9219998299       2.4544883776       0.2738169469
    162.3219998295       2.0011006207       0.2625449073
    173.7219998290       2.0676089774       0.2642243194
    185.1219998286       2.0944877285       0.2649069780
    196.5219998302       2.0548458592       0.2639165278
    207.9219998298       2.7107819991       0.2800580705
    219.3219998293       2.4852197040       0.2746630668
    230.7219998289       2.5514399937       0.2762548918
    242.1219998305       1.8026225847       0.2574952347
    253.5219998301       1.5764937738       0.2515868477
    264.9219998296       1.9181975118       0.2579975903
    276.3219998292       1.5749265782       0.2515036696
    287.7219998288       1.6387949637       0.2556145094
    299.1219998304       1.6265416528       0.2528227496
    310.5219998299       1.7065796235       0.2549255226
    321.9219998295       1.5306808331       0.2502148381
    333.3219998291       1.0778525887       0.2401343458
    344.7219998286       1.1611485197       0.2448500493
    356.1219998302       1.4876280855       0.2564396376
    367.5219998298       1.0198610572       0.2456710192
    378.9219998294       1.8578848823       0.2719376225
    390.3219998289       2.0422916032       0.2798793717
    401.7219998305       1.6344340681       0.2716445672
    413.1219998301       1.5073582886       0.2710461018
    424.5219998297       1.5798245270       0.2795187316
    435.9219998292       1.8941182921       0.2886686837
    447.3219998288       1.8437065961       0.2839477006
    458.7219998304       2.0369937986       0.2963407722
    470.1219998300       1.4236634812       0.2818035312
    481.5219998295       2.1974534100       0.3085034899
    492.9219998291       2.1566374059       0.3113530385
    504.3219998287       2.5627991907       0.3273659225
    515.7219998303       2.2807210960       0.3236411435
    527.1219998298       2.5971754885       0.3377123503
    538.5219998294       2.9089621559       0.3517836763
    549.9219998290       2.9886053588       0.3594253519
    561.3219998306       3.1383229557       0.3694349766
    572.7219998301       3.1828407641       0.3766018040
    584.1219998297       3.1167566519       0.3808126004
    595.5219998293       3.6655932220       0.4038284556
    606.9219998288       3.5179182630       0.3993069884
    618.3219998304       3.8878201645       0.4252266239
