# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -297.3888738791      -0.0153130798       0.0698292034
   -292.3888738792       0.1477680083       0.0931421745
   -287.3888738794      -0.0454741726       0.0634014982
   -282.3888738796      -0.0005987999       0.0708988628
   -277.3888738798       0.0128979927       0.0716688494
   -272.3888738800       0.1428975159       0.0891799142
   -267.3888738802      -0.1167968353       0.0483007921
   -262.3888738804       0.0256630176       0.0723026445
   -257.3888738806       0.0046111750       0.0691702799
   -252.3888738808       0.0172137853       0.0698635612
   -247.3888738792       0.0371878503       0.0726625473
   -242.3888738794       0.0679253033       0.0755815265
   -237.3888738796      -0.0296929768       0.0616984763
   -232.3888738797       0.0965366420       0.0779357506
   -227.3888738799      -0.0357430583       0.0597852725
   -222.3888738801       0.0867113930       0.0755527777
   -217.3888738803       0.0868116046       0.0755770826
   -212.3888738805       0.0952890718       0.0754458804
   -207.3888738807       0.1131867903       0.0775396458
   -202.3888738791      -0.0175584796       0.0598256729
   -197.3888738793       0.0598433545       0.0711610111
   -192.3888738795      -0.0905051334       0.0474806493
   -187.3888738797       0.0607740625       0.0692620511
   -182.3888738799      -0.0401377092       0.0556779836
   -177.3888738801       0.0039582127       0.0611383884
   -172.3888738802      -0.0451489477       0.0541670383
   -167.3888738804      -0.0020608273       0.0595297323
   -162.3888738806       0.0456103489       0.0655843103
   -157.3888738790      -0.0697838921       0.0490206157
   -152.3888738792       0.0542818158       0.0657803774
   -147.3888738794      -0.0283441315       0.0544872457
   -142.3888738796      -0.0282634701       0.0545096172
   -137.3888738798      -0.0183780743       0.0551687646
   -132.3888738800      -0.0035543770       0.0571255524
   -127.3888738802       0.0198864119       0.0593453392
   -122.3888738804       0.1496549596       0.0734367948
   -117.3888738805      -0.0280429815       0.0525857095
   -112.3888738807      -0.0138300359       0.0544723886
   -107.3888738791       0.1125688957       0.0688652783
   -102.3888738793      -0.0461754677       0.0495417229
    -97.3888738795      -0.0325096593       0.0513919396
    -92.3888738797      -0.0049255191       0.0549687927
    -87.3888738799       0.0438295131       0.0600675395
    -82.3888738801       0.0905919783       0.0643792588
    -77.3888738803       0.0511984559       0.0602279513
    -72.3888738805       0.0452192646       0.0589231848
    -67.3888738807      -0.0061522521       0.0530300355
    -62.3888738791      -0.0485361283       0.0471086856
    -57.3888738793       0.0396493648       0.0577077330
    -52.3888738795      -0.0151630870       0.0508445871
    -47.3888738796       0.0342982479       0.0565400236
    -42.3888738798       0.1738961369       0.0694042090
    -37.3888738800       0.0169990702       0.0540680701
    -32.3888738802       0.1860939743       0.0704678535
    -27.3888738804       0.1307066978       0.0649064719
    -22.3888738806       0.2490460276       0.0749217445
    -17.3888738808       0.3447745932       0.0813678976
    -12.3888738792       0.1586760103       0.0667547251
     -7.3888738794       0.3567153905       0.0814285386
     -2.3888738796       0.2611222413       0.0758884122
      2.6111261202       0.4933653848       0.0904804207
      7.6111261201       0.6931148628       0.1032735682
     12.6111261199       0.4607421391       0.0892500743
     17.6111261197       0.4373363707       0.0877021962
     22.6111261195       0.6462528019       0.1005805936
     27.6111261193       0.6074833005       0.0974114730
     32.6111261209       0.4836904957       0.0907130009
     37.6111261207       0.7857884724       0.1083465309
     42.6111261205       0.9481351057       0.1167114738
     47.6111261203       1.3319889635       0.1344861427
     52.6111261201       1.6797359885       0.1487193289
     57.6111261199       2.7489794672       0.1858612598
     62.6111261197       4.5835254913       0.2363163393
     67.6111261196       6.6181041983       0.2819569839
     72.6111261194      10.3778753930       0.3508973633
     77.6111261210      12.4844385204       0.3842473606
     82.6111261208      12.8294843699       0.3893766787
     87.6111261206      12.6666481543       0.3869369822
     92.6111261204       9.7638155397       0.3406089864
     97.6111261202       6.5692128110       0.2808978871
    102.6111261200       4.8607042973       0.2429948276
    107.6111261198       3.2583335792       0.2010988508
    112.6111261196       2.4114905134       0.1749767928
    117.6111261194       1.8295002165       0.1544107117
    122.6111261193       1.7955004571       0.1531586347
    127.6111261208       1.5165480920       0.1421805327
    132.6111261206       1.1913322165       0.1282106492
    137.6111261205       1.2030779936       0.1287474851
    142.6111261203       1.5399773407       0.1431424001
    147.6111261201       1.3073260936       0.1333545195
    152.6111261199       0.9942203289       0.1189642701
    157.6111261197       1.0848187679       0.1221226441
    162.6111261195       1.0405193759       0.1211956818
    167.6111261193       0.9476116990       0.1166593929
    172.6111261209       0.9362220402       0.1161022730
    177.6111261207       1.0773149189       0.1241518520
    182.6111261205       1.0983068943       0.1239203791
    187.6111261203       0.9473900436       0.1166373374
    192.6111261202       1.1561859831       0.1265948408
    197.6111261200       0.9590156219       0.1172152812
    202.6111261198       0.8455781295       0.1104011456
    207.6111261196       0.7731928325       0.1076164092
    212.6111261194       0.7150813018       0.1044313324
    217.6111261210       0.8517189151       0.1128499178
    222.6111261208       0.6570643451       0.1011568571
    227.6111261206       0.7498387736       0.1063418837
