# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -295.9709792215      -0.2639156289       0.1211946916
   -284.5709792220      -0.1604613524       0.1211123173
   -273.1709792224      -0.1274538991       0.1196148215
   -261.7709792228      -0.3978633155       0.1120010737
   -250.3709792233      -0.0280841402       0.1174973438
   -238.9709792217      -0.3326034541       0.1096456066
   -227.5709792221      -0.2216201525       0.1100971248
   -216.1709792225      -0.2251160179       0.1083517954
   -204.7709792230       0.0563634696       0.1119117335
   -193.3709792234      -0.0829874188       0.1078224286
   -181.9709792218      -0.0632176635       0.1066730124
   -170.5709792222      -0.0813818642       0.1049094434
   -159.1709792227       0.0550812150       0.1072813736
   -147.7709792231      -0.0157647600       0.1046618893
   -136.3709792215       0.0572826096       0.1045553839
   -124.9709792219       0.0747538295       0.1035294807
   -113.5709792224       0.2249866006       0.1046840751
   -102.1709792228       0.0523736580       0.1006824180
    -90.7709792232       0.3386465341       0.1052056215
    -79.3709792216       0.5185156123       0.1054609582
    -67.9709792221       0.7540118925       0.1076492374
    -56.5709792225       1.4300781341       0.1155037252
    -45.1709792229       2.8962835992       0.1315820583
    -33.7709792234       5.3614839688       0.1547908212
    -22.3709792218       8.4119341098       0.1787942336
    -10.9709792222      12.7586194365       0.2078205410
      0.4290207774      15.2423332332       0.2213364715
     11.8290207769      13.7981563407       0.2103731276
     23.2290207765      10.5593683184       0.1890932234
     34.6290207781       7.3413661509       0.1652562947
     46.0290207777       4.2772262855       0.1375005533
     57.4290207772       3.0782278269       0.1269859394
     68.8290207768       2.5931908016       0.1218759580
     80.2290207784       2.1181650772       0.1166493342
     91.6290207780       1.8611740767       0.1137239874
    103.0290207775       1.9073645975       0.1153749758
    114.4290207771       1.6154451325       0.1108638179
    125.8290207767       1.5495203412       0.1100770038
    137.2290207783       1.5783410373       0.1104194666
    148.6290207778       1.4710779207       0.1091413883
    160.0290207774       1.3370350164       0.1075152982
    171.4290207770       1.4766848846       0.1092130846
    182.8290207765       1.3798511185       0.1080466276
    194.2290207781       1.0682464861       0.1042023725
    205.6290207777       1.2130653085       0.1060162701
    217.0290207773       0.9164297094       0.1022778243
    228.4290207768       0.9247663206       0.1023906719
    239.8290207784       0.8094765759       0.1009047407
    251.2290207780       0.7303437785       0.0998650955
    262.6290207776       0.7674949838       0.0994087210
    274.0290207771       0.8356315559       0.1012431420
    285.4290207767       0.7276212542       0.1008095032
    296.8290207783       0.7564300385       0.1002052070
    308.2290207779       0.7956199689       0.1007147997
    319.6290207774       0.7637723726       0.1002943564
    331.0290207770       0.9755926405       0.1040371317
    342.4290207766       0.6248656873       0.1004097791
    353.8290207782       0.7450680752       0.1030707607
    365.2290207777       0.8530251650       0.1056043083
    376.6290207773       0.6811233558       0.1043607540
    388.0290207769       0.8394307024       0.1076885751
    399.4290207785       0.9382972468       0.1102464988
    410.8290207780       1.0198897663       0.1126203094
    422.2290207776       0.9572452385       0.1143776202
    433.6290207772       1.1258917762       0.1167441308
    445.0290207767       0.9545893347       0.1129864501
    456.4290207783       1.2369297906       0.1196965835
    467.8290207779       1.4801400653       0.1245484276
    479.2290207775       1.6347041083       0.1282537755
    490.6290207770       1.6321553943       0.1298866424
    502.0290207766       1.7625938724       0.1334409358
    513.4290207782       1.8127469299       0.1359732061
    524.8290207778       2.2561260070       0.1440304121
    536.2290207773       2.4252929634       0.1484445927
    547.6290207769       2.5503952180       0.1523833045
    559.0290207785       2.6235507890       0.1557491375
    570.4290207781       2.4950351784       0.1564488772
    581.8290207776       2.9893502442       0.1659472754
    593.2290207772       3.2554301186       0.1724627019
    604.6290207768       3.2555563521       0.1724661452
    616.0290207784       3.5019862865       0.1821952526
