# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -313.5434413761       0.0389482447       0.2961801500
   -308.5434413763       0.1012162779       0.3026460899
   -303.5434413765       0.1143423673       0.2987306940
   -298.5434413767       0.1699545472       0.3037927110
   -293.5434413768      -0.2982370444       0.2474063874
   -288.5434413770       0.1202533099       0.2936474884
   -283.5434413772      -0.2992681229       0.2471563141
   -278.5434413774       0.2435100028       0.3005742687
   -273.5434413776       0.0709041021       0.2835741236
   -268.5434413778       0.0809508315       0.2798541087
   -263.5434413762      -0.0886101984       0.2621749492
   -258.5434413764       0.1987281130       0.2866950908
   -253.5434413766       0.0884973774       0.2758995304
   -248.5434413768      -0.5835971652       0.1963628603
   -243.5434413770      -0.2701539810       0.2343769826
   -238.5434413772      -0.3520300000       0.2216820634
   -233.5434413773      -0.0993112250       0.2488290654
   -228.5434413775       0.1627129984       0.2703983413
   -223.5434413777       0.0109021576       0.2558088681
   -218.5434413761       0.0238535580       0.2536469063
   -213.5434413763       0.1595716248       0.2698248076
   -208.5434413765      -0.6196766816       0.1803888548
   -203.5434413767      -0.3404238830       0.2133943647
   -198.5434413769       0.1723934247       0.2635233419
   -193.5434413771      -0.2748511717       0.2175782313
   -188.5434413773      -0.2309692226       0.2219544892
   -183.5434413775       0.7136148789       0.2995924108
   -178.5434413776      -0.0828396909       0.2334837775
   -173.5434413761       0.1447443746       0.2509134208
   -168.5434413763       0.3582274057       0.2684623947
   -163.5434413764      -0.1443356023       0.2218621427
   -158.5434413766      -0.3126308654       0.2052853762
   -153.5434413768      -0.2547647779       0.2085802832
   -148.5434413770       0.1098828323       0.2414102914
   -143.5434413772       0.2378468895       0.2491860849
   -138.5434413774      -0.3217093035       0.1993220817
   -133.5434413776       0.0047698984       0.2269079962
   -128.5434413778       0.0050770396       0.2269606705
   -123.5434413762       0.4716527069       0.2639170349
   -118.5434413764       0.2044201234       0.2407663082
   -113.5434413766      -0.3681355130       0.1900368398
   -108.5434413767      -0.4047146247       0.1864888575
   -103.5434413769      -0.1288103518       0.2102775337
    -98.5434413771      -0.2267199361       0.1992979403
    -93.5434413773      -0.4091019752       0.1818435473
    -88.5434413775      -0.5349739281       0.1670098823
    -83.5434413777      -0.1437788044       0.2044613280
    -78.5434413761      -0.2369468959       0.1942202912
    -73.5434413763      -0.0995701907       0.2060062687
    -68.5434413765      -0.2595554251       0.1901596795
    -63.5434413767      -0.0554548737       0.2076137005
    -58.5434413769       0.2859379880       0.2315546537
    -53.5434413771      -0.0810603071       0.2034041932
    -48.5434413772       0.3192512183       0.2339387043
    -43.5434413774      -0.3341859170       0.1796774264
    -38.5434413776       0.4176940441       0.2384598286
    -33.5434413778      -0.2241930226       0.1876411792
