# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -294.5895814908      -0.2466859406       0.2649966283
   -283.1895814912      -0.3621433428       0.2544939340
   -271.7895814917      -0.4208407519       0.2471287216
   -260.3895814921      -0.0613038060       0.2604150330
   -248.9895814925      -0.3387193738       0.2430805282
   -237.5895814909      -0.2529217883       0.2434688192
   -226.1895814914       0.0513341746       0.2536480233
   -214.7895814918      -0.0111117067       0.2471937046
   -203.3895814922       0.2263652686       0.2537802470
   -191.9895814927      -0.1619689343       0.2339626504
   -180.5895814911      -0.2716526942       0.2260886326
   -169.1895814915      -0.1244743192       0.2294418282
   -157.7895814919       0.2925221587       0.2468217589
   -146.3895814924      -0.3003067371       0.2193135151
   -134.9895814908       0.1929048827       0.2367372174
   -123.5895814912      -0.1363932512       0.2206322907
   -112.1895814916       0.2941153328       0.2347893330
   -100.7895814921      -0.0030734024       0.2207110210
    -89.3895814925       0.7513239845       0.2482891859
    -77.9895814909       0.8204218057       0.2449703080
    -66.5895814913      -0.0165968748       0.2126395396
    -55.1895814918       0.4402154451       0.2267176899
    -43.7895814922       0.3072679333       0.2196214345
    -32.3895814926       0.8571477166       0.2355347060
    -20.9895814910       3.0930522833       0.2953927321
     -9.5895814915       5.1390358589       0.3391656900
      1.8104185081       7.1867860708       0.3764370956
     13.2104185077       5.2494504897       0.3345981608
     24.6104185072       3.4616628968       0.2952614191
     36.0104185088       1.9113244455       0.2563573235
     47.4104185084       1.3059422420       0.2371869521
     58.8104185080       0.4436486264       0.2130673152
     70.2104185075       0.3450925498       0.2097865211
     81.6104185091       1.9382367382       0.2570620259
     93.0104185087       3.0625339885       0.2858082282
    104.4104185083       4.0121274351       0.3109855006
    115.8104185078       2.8628814165       0.2807871113
    127.2104185074       1.6996075711       0.2504631839
    138.6104185090       1.0616409779       0.2321292059
    150.0104185086       1.8220177058       0.2537640180
    161.4104185081       1.9826829102       0.2579629530
    172.8104185077       2.0502981139       0.2597282985
    184.2104185073       1.3296555296       0.2397328275
    195.6104185089       0.8843090199       0.2264381990
    207.0104185084       1.0865396564       0.2323773811
    218.4104185080       0.8629489221       0.2255554894
    229.8104185076       0.4198461088       0.2115179033
    241.2104185092       0.5258280963       0.2148063003
    252.6104185087       0.6171187927       0.2175520310
    264.0104185083       0.3243695138       0.2061784025
    275.4104185079       0.3093122587       0.2074220929
    286.8104185074       0.1596940699       0.2043407625
    298.2104185090       0.3018850149       0.2069312869
    309.6104185086       0.3806145732       0.2094082805
    321.0104185082       0.2676243495       0.2055669191
    332.4104185077       0.3938390935       0.2116260967
    343.8104185073       0.2151128967       0.2076445302
    355.2104185089       0.4335689099       0.2170596791
    366.6104185085       0.1603298344       0.2098486767
    378.0104185080       0.3093971050       0.2171257589
    389.4104185076       0.1278945356       0.2128817734
    400.8104185092       0.1118010669       0.2145203352
    412.2104185088       0.3494011915       0.2253501288
    423.6104185083       0.0620180353       0.2198421188
    435.0104185079       0.2713785618       0.2273713761
    446.4104185075      -0.0187213524       0.2137036168
    457.8104185091       0.2317342197       0.2281749205
    469.2104185086       0.7912083720       0.2510546705
    480.6104185082       0.7007240797       0.2508859085
    492.0104185078       1.2623487953       0.2734017275
    503.4104185073       1.2720966260       0.2771638356
    514.8104185089       1.3795371350       0.2844239924
    526.2104185085       1.8311109423       0.3033834192
    537.6104185081       1.4545068338       0.2949268816
    549.0104185076       1.3700212491       0.2962151693
    560.4104185092       1.7766742138       0.3148752495
    571.8104185088       2.3191032347       0.3380258801
    583.2104185084       2.7604000470       0.3578601106
    594.6104185079       2.3793267861       0.3511826425
    606.0104185075       2.9196162462       0.3688094162
    617.4104185091       3.4940278950       0.4007406930
