# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -255.7055162075      -0.4882187418       0.2546091935
   -245.7055162079      -0.4292117228       0.2528021801
   -235.7055162083      -0.0346901293       0.2668320055
   -225.7055162086       0.0981614460       0.2680527222
   -215.7055162090      -0.3438165001       0.2438203642
   -205.7055162076       0.0758044727       0.2583283783
   -195.7055162080      -0.3164132886       0.2373298958
   -185.7055162084      -0.2321788416       0.2373855182
   -175.7055162087      -0.1927321613       0.2355513982
   -165.7055162091      -0.0000193168       0.2400959489
   -155.7055162077      -0.6484518496       0.2093127180
   -145.7055162081       0.0235913559       0.2344638106
   -135.7055162085       0.3545140351       0.2470974522
   -125.7055162089      -0.0543900859       0.2283558327
   -115.7055162075       0.3245189101       0.2396295096
   -105.7055162078       0.3104097555       0.2361177017
    -95.7055162082       0.1147381987       0.2261724075
    -85.7055162086       0.9316811594       0.2513192118
    -75.7055162090       1.0778414668       0.2559979920
    -65.7055162076       1.4348891286       0.2609137653
    -55.7055162080       1.5188360038       0.2604595261
    -45.7055162083       1.5989842082       0.2599114528
    -35.7055162087       1.9938944581       0.2680165866
    -25.7055162091       3.2504999559       0.2968807328
    -15.7055162077       5.6774762478       0.3464474977
     -5.7055162081      10.3200913265       0.4251826423
      4.2944837915      11.7129032881       0.4425003423
     14.2944837912       8.8403793990       0.3930195653
     24.2944837908       5.7410102456       0.3375386757
     34.2944837922       3.4528141164       0.2898504215
     44.2944837918       1.7787264892       0.2468663305
     54.2944837914       1.6351851397       0.2454487814
     64.2944837910       1.5695328994       0.2436864227
     74.2944837924       2.4980245963       0.2674421065
     84.2944837921       2.4591525249       0.2664988691
     94.2944837917       2.2988099862       0.2650946607
    104.2944837913       2.6426294393       0.2709726837
    114.2944837909       1.5829253279       0.2440539562
    124.2944837923       1.3998896670       0.2391010891
    134.2944837919       1.8054895717       0.2499522882
    144.2944837916       1.8967722805       0.2523222061
    154.2944837912       1.4127135327       0.2394445978
    164.2944837908       1.3732840388       0.2383600182
    174.2944837922       1.3209585639       0.2369198376
    184.2944837918       0.9542489360       0.2265575068
    194.2944837915       0.9150742887       0.2254257180
    204.2944837911       1.1635004918       0.2325186921
    214.2944837925       0.4569725574       0.2117093221
    224.2944837921       0.1691429703       0.2026206208
    234.2944837917       0.5333099288       0.2120204113
    244.2944837913       0.0638844821       0.1991739138
    254.2944837910       0.0966727051       0.2022000043
    264.2944837924       0.0768471079       0.1995952522
    274.2944837920       0.0243210488       0.1978598761
    284.2944837916      -0.3157855778       0.1862782560
    294.2944837912       0.2562690698       0.2073822862
    304.2944837908       0.4159328560       0.2145647753
    314.2944837922      -0.0975102668       0.1996408693
    324.2944837919       0.3450884621       0.2167037959
    334.2944837915       0.4876751359       0.2236482038
    344.2944837911       0.5776920495       0.2289923505
    354.2944837925      -0.0384266749       0.2104633685
    364.2944837921       0.2289591408       0.2223320617
    374.2944837917       0.4139286497       0.2340603232
    384.2944837914       0.4460928788       0.2351626682
    394.2944837910       0.2870622423       0.2269192842
    404.2944837924       0.8434487409       0.2514409579
    414.2944837920       1.1083051733       0.2632432803
    424.2944837916       0.4977314317       0.2458097767
    434.2944837913       1.1609636581       0.2717870709
    444.2944837909       1.6943828226       0.2926595060
    454.2944837923       1.6347345030       0.2947778166
    464.2944837919       1.6886130698       0.3007019940
    474.2944837915       2.2645900496       0.3233843037
    484.2944837911       2.4222350955       0.3331236472
    494.2944837925       2.6324457849       0.3447969898
    504.2944837922       2.0458743062       0.3314478755
    514.2944837918       2.8010853891       0.3613895032
    524.2944837914       2.4379604409       0.3558072907
    534.2944837910       3.0688701697       0.3759538100
    544.2944837924       3.5151521368       0.4037381117
