# EnergLoss(meV)		Intensity(a.u.)		Errorbar
     20.5270234710       1.2854571134       0.2911471539
     26.2270234728       0.6792771202       0.2578444992
     31.9270234726       0.4503530230       0.2428933804
     37.6270234724       0.5821037623       0.2516676968
     43.3270234722       0.7450574184       0.2620062394
     49.0270234719       1.2040337605       0.2892997553
     54.7270234717       0.9420490392       0.2740708846
     60.4270234715       1.9862941032       0.3304406127
     66.1270234713       3.1690343664       0.3847702387
     71.8270234711       5.5537090092       0.4753392547
     77.5270234729       8.5358017447       0.5689210783
     83.2270234727      14.3577444800       0.7170024660
     88.9270234725      18.9366881231       0.8147728606
     94.6270234722      21.4194030052       0.8631096141
    100.3270234720      20.3701645053       0.8429443713
    106.0270234718      17.1898806781       0.7786434843
    111.7270234716      12.1235822886       0.6638446524
    117.4270234714       7.6762784962       0.5433778598
    123.1270234712       5.3529572871       0.4682241631
    128.8270234710       3.4232736591       0.3951210785
    134.5270234728       2.9014269334       0.3729618563
    140.2270234725       2.4087326861       0.3505961811
    145.9270234723       2.3411316598       0.3473258243
    151.6270234721       2.0827237317       0.3350963918
    157.3270234719       1.1991314979       0.2887446834
    163.0270234717       2.3432101679       0.3475213539
    168.7270234715       1.5360491130       0.3043209062
    174.4270234713       1.1986766933       0.2886931869
    180.1270234710       1.0996603406       0.2829770151
    185.8270234728       1.6236985699       0.3118323539
    191.5270234726       2.0477128229       0.3365219722
    197.2270234724       1.4267302710       0.3012863359
    202.9270234722       2.3420091277       0.3474083695
    208.6270234720       1.7194166893       0.3166885269
    214.3270234718       1.5570499722       0.3082518852
    220.0270234715       1.2451259022       0.2884575999
    225.7270234713       1.4926618198       0.3048717438
    231.4270234711       1.2957328046       0.2940805891
    237.1270234729       1.3148857806       0.2980542524
    242.8270234727       0.5756027860       0.2508213418
    248.5270234725       0.6751600341       0.2573216288
    254.2270234723       1.1641134909       0.2866229282
    259.9270234721       0.8054930746       0.2654450243
    265.6270234718       0.7140725053       0.2622635175
    271.3270234716       0.3809256283       0.2401738310
    277.0270234714       0.7882122812       0.2695144689
    282.7270234712       0.8237555788       0.2718435095
    288.4270234710       0.9139315654       0.2831155078
    294.1270234728       0.5553570751       0.2570521239
    299.8270234726       0.5254856721       0.2577540995
    305.5270234724       0.4180577148       0.2501814802
    311.2270234721       0.8179257478       0.2800061414
    316.9270234719       0.4921995647       0.2580985135
    322.6270234717       0.7824020853       0.2777443174
    328.3270234715       1.1223430995       0.3021660355
    334.0270234713       0.6731339334       0.2704852718
    339.7270234711       0.6103757898       0.2719928434
    345.4270234729       0.4611808682       0.2615646951
    351.1270234727       0.8485321742       0.2913341597
    356.8270234724       0.4245394987       0.2617879107
    362.5270234722       0.7416894653       0.2874519745
    368.2270234720       0.3859533680       0.2618544416
    373.9270234718       0.4670184649       0.2710130730
    379.6270234716       0.4268823995       0.2680247253
    385.3270234714       0.4276134285       0.2681349320
    391.0270234712       0.3452618094       0.2649104162
    396.7270234709       0.6858189663       0.2939884117
    402.4270234727       0.5990851755       0.2875232667
    408.1270234725       0.2162152482       0.2612012909
    413.8270234723       0.0401076615       0.2459140888
    419.5270234721       0.1289008880       0.2537996217
    425.2270234719       0.7456537968       0.3058272938
    430.9270234717       0.3018986271       0.2681343471
    436.6270234714       0.8470198405       0.3172557537
    442.3270234712       0.5747116367       0.2971425989
    448.0270234710       0.6263777249       0.3051148494
    453.7270234728       0.8633475124       0.3229946866
    459.4270234726       0.3438676025       0.2864836448
    465.1270234724       0.0541501507       0.2609284391
    470.8270234722       0.3433994047       0.2905858138
    476.5270234720       0.3435335062       0.2906088120
    482.2270234717       0.8577099551       0.3368239662
    487.9270234715       0.1377360313       0.2764499475
    493.6270234713       1.5626335361       0.3928732541
    499.3270234711       0.1842565024       0.2850885821
    505.0270234729       0.5638214778       0.3236626356
    510.7270234727      -0.0398750294       0.2676307324
    516.4270234725       0.6188725082       0.3283108342
    522.1270234723       1.0768717052       0.3702458198
    527.8270234720       0.5715855128       0.3297194085
    533.5270234718       0.8100144341       0.3552673510
    539.2270234716       0.9899739476       0.3701392945
    544.9270234714       0.7671830591       0.3580370167
    550.6270234712       0.7094448575       0.3533620911
    556.3270234710       1.1594258963       0.3969320001
    562.0270234728       1.2249337134       0.4022920866
