# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -292.1487466352      -0.2196495418       0.2742384042
   -280.7487466357      -0.4523132871       0.2579387316
   -269.3487466361      -0.0579460943       0.2716383316
   -257.9487466365      -0.0439184348       0.2675570654
   -246.5487466370       0.0378536959       0.2666139464
   -235.1487466354       0.1578747567       0.2672849088
   -223.7487466358       0.1849188348       0.2641779983
   -212.3487466362       0.3348909679       0.2660655216
   -200.9487466367      -0.0268486548       0.2478689688
   -189.5487466371      -0.3680240489       0.2302628098
   -178.1487466355       0.0881740210       0.2453759855
   -166.7487466359      -0.4779300197       0.2193681553
   -155.3487466364      -0.1635785663       0.2322393984
   -143.9487466368       0.2448191658       0.2446501429
   -132.5487466352       0.1065464014       0.2364087897
   -121.1487466356       0.0608443048       0.2317512456
   -109.7487466361       0.2011064288       0.2339674014
    -98.3487466365       1.0175466593       0.2582964607
    -86.9487466369       1.0982634557       0.2608064835
    -75.5487466353       1.3436175178       0.2621973106
    -64.1487466358       1.7007729644       0.2695228191
    -52.7487466362       2.1907200215       0.2798884549
    -41.3487466366       2.5144519799       0.2852614852
    -29.9487466371       4.4896253380       0.3283055182
    -18.5487466355       7.3886838728       0.3821092363
     -7.1487466359      12.3155851197       0.4586830871
      4.2512533637      14.9469999832       0.4914371212
     15.6512533632      10.9993651445       0.4301020394
     27.0512533628       7.1631729362       0.3668640557
     38.4512533644       4.5750172629       0.3171536625
     49.8512533640       2.6770445770       0.2724304743
     61.2512533635       2.3804990089       0.2678594156
     72.6512533631       1.5792277560       0.2474338152
     84.0512533647       2.5371524950       0.2716498131
     95.4512533643       1.6967286320       0.2505144543
    106.8512533638       2.4996848832       0.2733746058
    118.2512533634       2.0503296955       0.2595926437
    129.6512533630       1.8270916017       0.2538835477
    141.0512533646       1.5116522620       0.2455828701
    152.4512533641       1.5900415452       0.2476591811
    163.8512533637       1.4057363028       0.2427113017
    175.2512533633       1.1557564521       0.2358386181
    186.6512533628       1.2076155349       0.2372595556
    198.0512533644       0.6561769046       0.2214768430
    209.4512533640       1.1680939030       0.2361598023
    220.8512533636       0.7087418695       0.2230308475
    232.2512533631       1.0757481007       0.2335663503
    243.6512533647       0.4459811621       0.2151525201
    255.0512533643       0.8263271458       0.2264486439
    266.4512533639       0.2635007395       0.2075276791
    277.8512533634       0.2488697533       0.2090464571
    289.2512533630       0.0866490136       0.2058767027
    300.6512533646       0.0256457352       0.2019141140
    312.0512533642       0.8388836098       0.2267958092
    323.4512533637       0.4323584328       0.2147214097
    334.8512533633       0.3940561529       0.2156243821
    346.2512533629       0.4635032563       0.2199313087
    357.6512533645       0.0759076053       0.2096496283
    369.0512533640       0.3543694498       0.2209484981
    380.4512533636       0.6447732246       0.2325185400
    391.8512533632       0.2956619190       0.2237429500
    403.2512533648       0.4913324606       0.2326550697
    414.6512533643       0.0766253884       0.2212027999
    426.0512533639       0.3238529385       0.2350801816
    437.4512533635       0.2908982874       0.2339226770
    448.8512533630       0.6876396841       0.2444001724
    460.2512533646       0.8377882913       0.2552074234
    471.6512533642       0.5271659346       0.2479322790
    483.0512533638       1.1782842202       0.2727868465
    494.4512533633       0.6983783488       0.2603058505
    505.8512533629       1.5362295656       0.2915494588
    517.2512533645       1.7206525757       0.3013943247
    528.6512533641       1.6631402081       0.3038265704
    540.0512533636       2.1030521478       0.3222320886
    551.4512533632       1.8682668488       0.3195888637
    562.8512533648       2.2994834355       0.3383801626
    574.2512533644       1.7484476578       0.3257214734
    585.6512533639       2.7489214727       0.3637717016
    597.0512533635       2.2225591236       0.3529060779
    608.4512533631       2.8323677293       0.3726194423
    619.8512533647       3.4977897363       0.4073271980
