# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -303.7310382024       0.2203145076       0.2655083423
   -298.7310382026      -0.0459665343       0.2297139101
   -293.7310382028       0.1816616086       0.2558451175
   -288.7310382030      -0.0120540294       0.2301076226
   -283.7310382032       0.0835119991       0.2388935809
   -278.7310382034      -0.1032971750       0.2131639797
   -273.7310382036       0.3310984915       0.2690627537
   -268.7310382037       0.2872627745       0.2590061505
   -263.7310382039       0.1705387445       0.2455085312
   -258.7310382041       0.1348378044       0.2368497813
   -253.7310382025      -0.0357567684       0.2154024299
   -248.7310382027      -0.0077186986       0.2153379161
   -243.7310382029       0.3264477311       0.2549148493
   -238.7310382031       0.4514799045       0.2639730927
   -233.7310382033      -0.1407240095       0.1944209909
   -228.7310382035      -0.0051761669       0.2091356736
   -223.7310382037      -0.1623931873       0.1884110424
   -218.7310382039       0.0722287097       0.2154195084
   -213.7310382041       0.3238931122       0.2430468977
   -208.7310382025       0.0462796609       0.2093032590
   -203.7310382027      -0.3854864530       0.1520774695
   -198.7310382028       0.2619692804       0.2301348862
   -193.7310382030      -0.0278941823       0.1973814772
   -188.7310382032       0.2136888944       0.2250136896
   -183.7310382034      -0.0965715402       0.1862868303
   -178.7310382036      -0.1417119547       0.1807410061
   -173.7310382038       0.2919090217       0.2267255766
   -168.7310382040      -0.0249269261       0.1925197054
   -163.7310382024      -0.0902241827       0.1822642316
   -158.7310382026      -0.5320491870       0.1170441353
   -153.7310382028       0.1930439968       0.2112200840
   -148.7310382030       0.1927489152       0.2111598507
   -143.7310382031       0.0842790865       0.1974234259
   -138.7310382033      -0.2536015862       0.1571809534
   -133.7310382035       0.0622741249       0.1927319523
   -128.7310382037       0.4706351802       0.2319936105
   -123.7310382039       0.0414200261       0.1882858435
   -118.7310382041      -0.2007792953       0.1602348915
   -113.7310382025      -0.0389168899       0.1795119781
   -108.7310382027      -0.0198063289       0.1793560188
   -103.7310382029       0.0605741082       0.1881410899
    -98.7310382031      -0.0591125068       0.1749961009
    -93.7310382033       0.2693363989       0.2063177823
    -88.7310382035       0.0570956023       0.1834697341
    -83.7310382036       0.1332341458       0.1912040157
    -78.7310382038       0.0384165269       0.1796568838
    -73.7310382040       0.2951917256       0.2041951694
    -68.7310382024      -0.1949552665       0.1524436413
    -63.7310382026      -0.2315890703       0.1479782102
    -58.7310382028       0.1440019864       0.1862837304
    -53.7310382030       0.1427594319       0.1860489097
    -48.7310382032      -0.1171116848       0.1581222493
    -43.7310382034       0.1228137584       0.1822795317
    -38.7310382036       0.1244521779       0.1825891639
    -33.7310382038      -0.0312088156       0.1654446703
    -28.7310382039       0.1733139092       0.1853187817
    -23.7310382041       0.0521779686       0.1720305251
    -18.7310382026       0.4840680926       0.2096253233
    -13.7310382027       0.1978701163       0.1837751039
     -8.7310382029       0.5445841403       0.2165041549
     -3.7310382031       0.1332286279       0.1780002441
      1.2689617967       0.6168667547       0.2198900552
      6.2689617965       0.2520560282       0.1904017689
     11.2689617963       0.5162301348       0.2120760032
     16.2689617961       0.1192309865       0.1784439070
     21.2689617959       0.2301644948       0.1865909421
     26.2689617975       0.1191067541       0.1784208376
     31.2689617973       0.1844171539       0.1842994690
     36.2689617971       0.5172511427       0.2122354578
     41.2689617970       0.1174920506       0.1781209947
     46.2689617968       0.2514148741       0.1902901583
     51.2689617966       0.1826727623       0.1839861670
     56.2689617964       0.1849897373       0.1844023080
     61.2689617962       0.2484105257       0.1897671684
     66.2689617960       0.2828858896       0.1928681236
     71.2689617976       0.2821422706       0.1927405940
     76.2689617974       0.5475673339       0.2143715140
     81.2689617972       0.4794868603       0.2089009669
     86.2689617970       1.2409976462       0.2623976157
     91.2689617968       1.3397148111       0.2685159232
     96.2689617966       1.0082666096       0.2472147073
    101.2689617965       2.7621158832       0.3451847646
    106.2689617963       4.4428607024       0.4177826975
    111.2689617961       5.1066453714       0.4433648927
    116.2689617959       6.3572496651       0.4875756721
    121.2689617975       5.0767892989       0.4423700696
    126.2689617973       6.2556284868       0.4840350717
    131.2689617971       5.9032832903       0.4722446090
    136.2689617969       4.2071922171       0.4081802681
    141.2689617967       4.2450333860       0.4099021773
    146.2689617965       4.0098053555       0.4001469732
    151.2689617963       3.4031528151       0.3708761604
    156.2689617962       2.6255592790       0.3383716990
    161.2689617960       2.8229324011       0.3478333047
    166.2689617976       1.5022782280       0.2781812753
    171.2689617974       1.8519870455       0.3011654760
    176.2689617972       1.5029714915       0.2782635505
    181.2689617970       1.1716937673       0.2577910710
    186.2689617968       1.1069282754       0.2536922486
    191.2689617966       1.8645022855       0.2988521312
    196.2689617964       1.8152167677       0.2934094562
    201.2689617962       0.8741331429       0.2379458609
    206.2689617960       1.0733202311       0.2514569520
    211.2689617976       1.7818428213       0.2970598641
    216.2689617974       1.3709857221       0.2703248895
    221.2689617972       1.5656838557       0.2817651758
    226.2689617971       1.3698099770       0.2701812494
    231.2689617969       0.6430247055       0.2213325030
    236.2689617967       0.9415898802       0.2449562944
    241.2689617965       0.8407940483       0.2379432576
    246.2689617963       1.0461354528       0.2545582238
    251.2689617961       0.7027585883       0.2302371045
    256.2689617959       1.0534493036       0.2603213679
    261.2689617975       0.4890580727       0.2158805255
    266.2689617973       0.6948886323       0.2343304460
    271.2689617971       1.2315027505       0.2722273344
    276.2689617969       0.5816065962       0.2279144778
    281.2689617967       0.8009830956       0.2448795495
    286.2689617966       0.8005174118       0.2448101295
    291.2689617964       0.8735876840       0.2529081525
